,Lap,LapTime,LapSpeed,RunningPos
0,0,,,28
1,1,51.583,174.476,21
2,2,47.846,188.103,21
3,3,47.95,187.696,22
4,4,48.073,187.215,21
5,5,48.147,186.928,20
6,6,48.315,186.278,30
7,7,48.1,187.110,35
8,8,47.771,188.399,34
9,9,48.248,186.536,31
10,10,122.388,73.537,31
11,11,9999.999,0.900,37
12,12,128.015,70.304,30
13,13,164.391,54.748,31
14,14,129.591,69.449,31
15,15,125.826,71.527,31
16,16,108.056,83.290,16
17,17,130.053,69.203,18
18,18,145.818,61.721,37
19,19,127.864,70.387,34
20,20,200.007,44.998,34
21,21,1464.426,6.146,34
22,22,129.12,69.703,40
23,23,100.778,89.305,38
24,24,48.969,183.790,38
25,25,46.816,192.242,37
26,26,47.794,188.308,37
27,27,47.259,190.440,33
28,28,47.496,189.490,34
29,29,47.115,191.022,32
30,30,47.106,191.058,36
31,31,48.01,187.461,38
32,32,48.093,187.137,38
33,33,47.286,190.331,36
34,34,47.582,189.147,36
35,35,45.964,195.805,34
36,36,47.602,189.068,34
37,37,47.299,190.279,34
38,38,47.459,189.637,34
39,39,47.821,188.202,34
40,40,47.3,190.275,34
41,41,47.526,189.370,34
42,42,48.234,186.590,33
43,43,46.679,192.806,33
44,44,47.705,188.659,34
45,45,47.297,190.287,33
46,46,47.449,189.677,33
47,47,46.765,192.452,33
48,48,47.039,191.331,32
49,49,46.272,194.502,33
50,50,47.146,190.896,33
51,51,46.794,192.332,33
52,52,46.99,191.530,33
53,53,46.86,192.061,34
54,54,46.453,193.744,33
55,55,47.008,191.457,33
56,56,46.279,194.473,33
57,57,46.694,192.744,34
58,58,46.361,194.129,35
59,59,46.193,194.835,35
60,60,47.102,191.075,35
61,61,47.596,189.092,35
62,62,46.896,191.914,35
63,63,77.139,116.673,34
64,64,112.752,79.821,34
65,65,130.035,69.212,33
66,66,131.488,68.447,33
67,67,115.773,77.738,16
68,68,143.244,62.830,29
69,69,129.594,69.448,33
70,70,108.331,83.079,29
71,71,82.853,108.626,23
72,72,119.918,75.051,23
73,73,130.278,69.083,24
74,74,143.012,62.932,30
75,75,116.897,76.991,22
76,76,115.206,78.121,20
77,77,51.339,175.305,26
78,78,48.125,187.013,28
79,79,47.661,188.834,28
80,80,47.854,188.072,28
81,81,48.012,187.453,26
82,82,48.129,186.997,23
83,83,85.021,105.856,25
84,84,122.09,73.716,8
85,85,138.422,65.019,14
86,86,120.364,74.773,28
87,87,50.612,177.823,30
88,88,47.61,189.036,31
89,89,47.626,188.972,32
90,90,47.734,188.545,32
91,91,47.701,188.675,32
92,92,47.504,189.458,31
93,93,47.152,190.872,31
94,94,47.274,190.379,31
95,95,47.208,190.646,31
96,96,47.447,189.685,31
97,97,47.297,190.287,31
98,98,47.534,189.338,31
99,99,47.205,190.658,31
100,100,47.334,190.138,31
101,101,47.132,190.953,31
102,102,47.026,191.383,31
103,103,47.512,189.426,31
104,104,47.822,188.198,31
105,105,47.855,188.068,31
106,106,47.694,188.703,31
107,107,47.595,189.095,31
108,108,47.365,190.014,31
109,109,47.304,190.259,31
110,110,46.976,191.587,31
111,111,47.04,191.327,33
112,112,46.869,192.025,34
113,113,47.031,191.363,34
114,114,47.011,191.445,34
115,115,46.863,192.049,33
116,116,47.263,190.424,32
117,117,46.734,192.579,34
118,118,46.591,193.170,33
119,119,46.93,191.775,33
120,120,47.372,189.986,34
121,121,46.908,191.865,34
122,122,47.117,191.014,34
123,123,46.623,193.038,32
124,124,46.609,193.096,33
125,125,46.838,192.152,33
126,126,46.228,194.687,32
127,127,46.408,193.932,32
128,128,46.778,192.398,32
129,129,47.147,190.892,32
130,130,48.209,186.687,32
131,131,85.985,104.669,32
132,132,121.355,74.163,32
133,133,119.193,75.508,16
134,134,191.139,47.086,34
135,135,90.117,99.870,33
136,136,117.298,76.728,32
137,137,111.655,80.605,27
138,138,51.173,175.874,32
139,139,47.899,187.895,32
140,140,47.812,188.237,32
141,141,47.777,188.375,32
142,142,47.693,188.707,32
143,143,47.806,188.261,32
144,144,48.105,187.091,32
145,145,47.597,189.088,32
146,146,48.099,187.114,33
147,147,48.653,184.983,33
148,148,47.903,187.880,34
149,149,48.0,187.500,34
150,150,48.266,186.467,34
151,151,47.918,187.821,34
152,152,48.445,185.778,34
153,153,48.183,186.788,34
154,154,47.743,188.509,34
155,155,48.262,186.482,34
156,156,48.081,187.184,34
157,157,48.481,185.640,34
158,158,48.198,186.730,34
159,159,48.069,187.231,34
160,160,47.399,189.877,33
161,161,48.073,187.215,31
162,162,66.641,135.052,31
163,163,139.741,64.405,32
164,164,144.757,62.173,34
165,165,108.406,83.021,33
166,166,49.416,182.127,31
167,167,46.5,193.548,30
168,168,46.813,192.254,29
169,169,46.296,194.401,27
170,170,46.665,192.864,31
171,171,46.529,193.428,31
172,172,46.554,193.324,31
173,173,46.609,193.096,30
174,174,46.589,193.179,31
175,175,46.462,193.707,30
176,176,46.401,193.961,29
177,177,46.501,193.544,30
178,178,46.304,194.368,31
179,179,46.571,193.253,30
180,180,46.456,193.732,29
181,181,46.415,193.903,28
182,182,46.416,193.899,29
183,183,46.548,193.349,30
184,184,46.309,194.347,30
185,185,46.225,194.700,30
186,186,69.489,129.517,24
187,187,123.755,72.724,23
188,188,124.566,72.251,22
189,189,127.597,70.535,21
190,190,130.729,68.845,21
191,191,132.715,67.814,21
192,192,112.294,80.147,20
193,193,50.868,176.929,24
194,194,46.819,192.230,24
195,195,46.578,193.224,20
196,196,68.392,131.594,17
197,197,569.548,15.802,15
198,198,128.306,70.145,12
199,199,119.413,75.369,12
200,200,50.897,176.828,11
