,Lap,LapTime,LapSpeed,RunningPos
0,0,,,26
1,1,51.852,173.571,33
2,2,47.527,189.366,33
3,3,47.904,187.876,35
4,4,48.132,186.986,35
5,5,48.192,186.753,34
6,6,47.374,189.978,29
7,7,47.745,188.501,29
8,8,47.632,188.949,27
9,9,48.324,186.243,26
10,10,120.646,74.598,27
11,11,149.609,60.157,15
12,12,9999.999,0.900,27
13,13,162.027,55.546,27
14,14,129.863,69.304,27
15,15,123.943,72.614,27
16,16,115.854,77.684,19
17,17,142.108,63.332,34
18,18,124.905,72.055,28
19,19,127.678,70.490,26
20,20,165.986,54.221,26
21,21,1496.67,6.013,26
22,22,123.519,72.863,23
23,23,112.253,80.176,19
24,24,51.095,176.142,19
25,25,47.589,189.119,13
26,26,47.739,188.525,10
27,27,47.507,189.446,10
28,28,47.432,189.745,12
29,29,47.295,190.295,19
30,30,47.07,191.205,19
31,31,47.638,188.925,19
32,32,47.319,190.198,17
33,33,47.462,189.625,19
34,34,47.247,190.488,19
35,35,47.435,189.733,19
36,36,47.585,189.135,21
37,37,47.257,190.448,20
38,38,47.236,190.533,16
39,39,47.425,189.773,14
40,40,47.629,188.961,15
41,41,47.469,189.597,15
42,42,47.733,188.549,15
43,43,47.296,190.291,16
44,44,47.042,191.318,4
45,45,47.564,189.219,3
46,46,47.427,189.765,14
47,47,46.743,192.542,12
48,48,46.874,192.004,12
49,49,46.735,192.575,11
50,50,46.999,191.493,12
51,51,46.993,191.518,14
52,52,46.814,192.250,18
53,53,46.801,192.304,18
54,54,46.474,193.657,17
55,55,46.182,194.881,13
56,56,46.428,193.849,13
57,57,46.399,193.970,14
58,58,46.552,193.332,14
59,59,46.525,193.444,13
60,60,46.682,192.794,15
61,61,46.597,193.145,12
62,62,46.589,193.179,14
63,63,62.714,143.509,11
64,64,119.682,75.199,12
65,65,129.168,69.677,12
66,66,129.434,69.534,12
67,67,126.617,71.081,6
68,68,140.699,63.966,24
69,69,125.361,71.793,18
70,70,116.982,76.935,17
71,71,81.84,109.971,20
72,72,121.252,74.226,21
73,73,378.137,23.801,36
74,74,131.219,68.588,36
75,75,50.186,179.333,36
76,76,49.233,182.804,36
77,77,50.337,178.795,36
78,78,51.115,176.074,36
79,79,51.39,175.131,35
80,80,51.977,173.154,35
81,81,73.405,122.607,35
82,82,121.69,73.958,35
83,83,126.706,71.031,35
84,84,129.802,69.336,35
85,85,50.265,179.051,35
86,86,49.25,182.741,35
87,87,50.372,178.671,35
88,88,50.97,176.574,35
89,89,51.307,175.415,35
90,90,51.501,174.754,35
91,91,51.538,174.628,35
92,92,51.596,174.432,35
93,93,51.628,174.324,35
94,94,51.676,174.162,35
95,95,51.722,174.007,35
96,96,51.718,174.021,35
97,97,53.982,166.722,35
98,98,50.277,179.008,35
99,99,51.027,176.377,35
100,100,51.398,175.104,35
101,101,51.59,174.452,35
102,102,51.635,174.300,35
103,103,51.706,174.061,35
104,104,51.792,173.772,35
105,105,51.852,173.571,35
106,106,51.86,173.544,35
107,107,51.803,173.735,35
108,108,51.157,175.929,35
109,109,49.422,182.105,35
110,110,50.607,177.841,35
111,111,51.248,175.617,35
112,112,51.471,174.856,35
113,113,51.611,174.381,35
114,114,51.705,174.064,35
115,115,51.758,173.886,35
116,116,61.264,146.905,35
117,117,83.345,107.985,35
118,118,52.078,172.818,35
119,119,55.725,161.507,35
120,120,50.512,178.175,35
121,121,51.186,175.829,35
122,122,51.472,174.852,35
123,123,51.612,174.378,35
124,124,52.027,172.987,35
125,125,65.229,137.975,35
126,126,120.949,74.412,35
127,127,117.386,76.670,35
128,128,57.257,157.186,35
129,129,89.523,100.533,35
130,130,122.332,73.570,35
131,131,130.179,69.136,35
132,132,117.781,76.413,35
133,133,75.74,118.828,35
134,134,75.967,118.472,35
135,135,51.772,173.839,35
136,136,51.782,173.806,35
137,137,51.662,174.209,35
138,138,51.839,173.614,35
139,139,51.799,173.749,35
140,140,51.795,173.762,35
141,141,51.851,173.574,35
142,142,51.792,173.772,35
143,143,54.892,163.958,35
144,144,50.454,178.380,35
145,145,51.056,176.277,35
146,146,51.383,175.155,35
147,147,51.523,174.679,35
148,148,51.516,174.703,35
149,149,51.635,174.300,35
150,150,51.737,173.957,35
151,151,51.815,173.695,35
152,152,51.715,174.031,35
153,153,51.733,173.970,35
154,154,52.516,171.376,35
155,155,52.113,172.702,35
156,156,92.225,97.587,35
157,157,71.862,125.240,35
158,158,90.051,99.943,35
159,159,114.743,78.436,35
160,160,51.392,175.125,35
161,161,50.214,179.233,35
162,162,51.103,176.115,35
163,163,51.426,175.009,35
164,164,51.632,174.311,35
165,165,51.747,173.923,35
166,166,51.798,173.752,35
167,167,51.869,173.514,35
168,168,51.865,173.527,35
169,169,55.186,163.085,35
170,170,50.888,176.859,35
171,171,51.394,175.118,35
172,172,51.688,174.122,35
173,173,51.741,173.943,35
174,174,51.901,173.407,35
175,175,51.944,173.264,35
176,176,51.981,173.140,35
177,177,55.4,162.455,35
178,178,80.765,111.434,35
179,179,112.589,79.937,35
180,180,123.868,72.658,35
181,181,128.516,70.030,35
182,182,131.384,68.501,35
183,183,140.899,63.876,35
184,184,102.404,87.887,35
185,185,53.738,167.479,35
186,186,50.334,178.806,34
187,187,50.834,177.047,33
188,188,75.935,118.522,33
189,189,553.097,16.272,33
190,190,136.975,65.705,33
191,191,108.64,82.842,33
192,192,55.148,163.197,33
193,193,71.583,125.728,33
