,Lap,LapTime,LapSpeed,RunningPos
0,0,,,13
1,1,33.323,166.372,14
2,2,30.652,180.869,12
3,3,30.631,180.993,15
4,4,30.603,181.159,16
5,5,30.87,179.592,18
6,6,30.506,181.735,16
7,7,30.695,180.616,17
8,8,30.65,180.881,17
9,9,30.781,180.111,16
10,10,30.622,181.046,15
11,11,30.711,180.522,15
12,12,30.15,183.881,14
13,13,30.566,181.378,15
14,14,30.557,181.431,16
15,15,30.949,179.133,16
16,16,30.14,183.942,15
17,17,30.656,180.846,15
18,18,30.369,182.555,13
19,19,30.577,181.313,12
20,20,30.566,181.378,12
21,21,30.565,181.384,13
22,22,31.023,178.706,17
23,23,30.467,181.967,17
24,24,30.4,182.368,16
25,25,30.507,181.729,15
26,26,30.35,182.669,12
27,27,31.093,178.304,14
28,28,30.397,182.386,14
29,29,30.671,180.757,16
30,30,30.18,183.698,17
31,31,30.241,183.327,16
32,32,30.703,180.569,16
33,33,30.398,182.380,14
34,34,30.538,181.544,14
35,35,30.51,181.711,14
36,36,30.796,180.023,16
37,37,30.327,182.807,14
38,38,30.437,182.147,14
39,39,30.252,183.261,14
40,40,30.289,183.037,14
41,41,30.332,182.777,14
42,42,30.249,183.279,14
43,43,30.632,180.987,17
44,44,30.306,182.934,18
45,45,30.231,183.388,19
46,46,30.059,184.437,17
47,47,30.566,181.378,19
48,48,30.258,183.224,17
49,49,30.473,181.932,17
50,50,30.47,181.949,18
51,51,30.419,182.255,18
52,52,30.073,184.351,16
53,53,30.326,182.813,17
54,54,30.613,181.100,18
55,55,30.263,183.194,18
56,56,30.11,184.125,17
57,57,30.4,182.368,17
58,58,30.192,183.625,14
59,59,30.452,182.057,15
60,60,30.372,182.537,15
61,61,56.067,98.882,14
62,62,92.004,60.258,15
63,63,101.056,54.861,15
64,64,98.54,56.261,13
65,65,98.413,56.334,7
66,66,99.656,55.631,6
67,67,101.375,54.688,6
68,68,92.354,60.030,7
69,69,33.001,167.995,7
70,70,30.149,183.887,6
71,71,30.26,183.212,6
72,72,30.34,182.729,6
73,73,30.327,182.807,6
74,74,30.618,181.070,7
75,75,30.496,181.794,8
76,76,30.336,182.753,7
77,77,30.319,182.856,7
78,78,30.329,182.795,6
79,79,30.267,183.170,6
80,80,30.258,183.224,6
81,81,30.145,183.911,4
82,82,45.948,120.658,5
83,83,90.353,61.359,4
84,84,99.971,55.456,4
85,85,102.887,53.884,3
86,86,98.025,56.557,3
87,87,100.973,54.906,3
88,88,95.677,57.945,3
89,89,33.694,164.540,2
90,90,30.526,181.616,2
91,91,30.246,183.297,3
92,92,30.288,183.043,4
93,93,30.405,182.338,3
94,94,30.311,182.904,3
95,95,30.381,182.482,3
96,96,30.497,181.788,3
97,97,30.413,182.290,4
98,98,30.23,183.394,4
99,99,30.21,183.515,4
100,100,30.342,182.717,5
101,101,30.423,182.231,4
102,102,34.294,161.661,5
103,103,89.975,61.617,5
104,104,108.435,51.127,5
105,105,112.084,49.463,5
106,106,104.033,53.291,5
107,107,93.709,59.162,4
108,108,33.183,167.074,2
109,109,30.323,182.832,4
110,110,30.021,184.671,4
111,111,30.125,184.033,6
112,112,29.854,185.704,5
113,113,30.143,183.923,4
114,114,30.105,184.155,3
115,115,30.472,181.938,4
116,116,30.02,184.677,3
117,117,30.07,184.370,3
118,118,30.097,184.204,3
119,119,30.175,183.728,3
120,120,30.073,184.351,3
121,121,30.108,184.137,3
122,122,30.111,184.119,3
123,123,30.096,184.211,3
124,124,30.217,183.473,3
125,125,30.148,183.893,3
126,126,30.133,183.984,3
127,127,30.204,183.552,3
128,128,30.293,183.013,3
129,129,30.222,183.443,3
130,130,30.172,183.747,4
131,131,30.261,183.206,4
132,132,30.221,183.449,3
133,133,30.225,183.424,3
134,134,30.023,184.658,3
135,135,51.008,108.689,3
136,136,86.843,63.839,3
137,137,100.472,55.180,3
138,138,100.8,55.000,3
139,139,100.362,55.240,3
140,140,94.665,58.564,2
141,141,33.428,165.849,1
142,142,30.061,184.425,1
143,143,30.176,183.722,1
144,144,30.127,184.021,2
145,145,30.217,183.473,2
146,146,30.33,182.789,2
147,147,30.254,183.248,1
148,148,30.517,181.669,2
149,149,30.224,183.430,3
150,150,48.222,114.968,3
151,151,100.584,55.118,3
152,152,109.522,50.620,3
153,153,111.211,49.851,3
154,154,104.097,53.258,3
155,155,102.823,53.918,3
156,156,104.451,53.078,2
157,157,33.477,165.606,2
158,158,30.066,184.394,1
159,159,30.163,183.801,1
160,160,30.406,182.332,5
161,161,51.646,107.346,6
162,162,90.958,60.951,5
163,163,100.791,55.005,5
164,164,102.021,54.342,10
165,165,107.568,51.539,21
166,166,100.6,55.109,21
167,167,107.248,51.693,23
168,168,80.301,69.040,20
169,169,33.463,165.676,24
170,170,30.317,182.868,21
171,171,30.244,183.309,19
172,172,30.283,183.073,18
173,173,30.048,184.505,15
174,174,30.434,182.165,16
175,175,30.443,182.111,15
176,176,30.358,182.621,14
177,177,30.953,179.110,18
178,178,30.902,179.406,22
179,179,30.642,180.928,21
180,180,30.184,183.673,20
181,181,30.61,181.117,22
182,182,30.453,182.051,23
183,183,30.731,180.404,23
184,184,50.714,109.319,22
185,185,96.313,57.562,22
186,186,105.451,52.574,22
187,187,98.104,56.511,22
188,188,101.48,54.631,22
189,189,101.203,54.781,10
190,190,102.759,53.951,16
191,191,102.692,53.987,16
192,192,85.444,64.885,16
193,193,33.016,167.919,18
194,194,30.405,182.338,18
195,195,30.341,182.723,18
196,196,30.554,181.449,18
197,197,30.319,182.856,17
198,198,30.342,182.717,16
199,199,30.545,181.503,19
200,200,30.501,181.765,22
201,201,30.495,181.800,20
202,202,30.304,182.946,19
203,203,30.018,184.689,17
204,204,30.4,182.368,16
205,205,88.477,62.660,26
206,206,115.34,48.067,27
207,207,66.184,83.766,27
208,208,418.352,13.252,29
209,209,63.1,87.861,28
210,210,32.223,172.051,28
211,211,30.279,183.097,28
212,212,29.968,184.997,28
213,213,29.872,185.592,28
214,214,30.537,181.550,28
215,215,29.924,185.269,28
216,216,30.548,181.485,28
217,217,30.256,183.236,28
218,218,30.046,184.517,28
219,219,30.762,180.222,28
220,220,30.565,181.384,28
221,221,30.196,183.600,28
222,222,30.193,183.619,28
223,223,30.179,183.704,28
224,224,30.461,182.003,28
225,225,30.212,183.503,28
226,226,30.381,182.482,28
227,227,30.302,182.958,28
228,228,30.053,184.474,28
229,229,30.476,181.914,28
230,230,30.447,182.087,28
231,231,49.031,113.071,28
232,232,79.474,69.759,28
233,233,51.196,108.290,28
234,234,71.975,77.027,28
235,235,115.41,48.037,28
236,236,56.737,97.714,28
237,237,32.721,169.432,28
238,238,31.057,178.510,28
239,239,30.837,179.784,28
240,240,30.481,181.884,28
241,241,30.647,180.899,28
242,242,30.061,184.425,28
243,243,30.217,183.473,28
244,244,30.288,183.043,28
245,245,30.371,182.543,28
246,246,30.424,182.225,28
247,247,30.33,182.789,28
248,248,30.465,181.979,28
249,249,30.562,181.402,28
250,250,30.737,180.369,28
251,251,30.796,180.023,28
252,252,30.723,180.451,28
253,253,30.97,179.012,28
254,254,31.074,178.413,28
255,255,31.261,177.346,28
256,256,45.669,121.395,28
257,257,66.265,83.664,28
258,258,52.558,105.483,26
259,259,63.472,87.346,26
260,260,100.279,55.286,26
261,261,100.657,55.078,26
262,262,123.226,44.991,26
263,263,60.405,91.780,26
264,264,35.49,156.213,26
265,265,47.475,116.777,26
