,Lap,LapTime,LapSpeed,RunningPos
0,0,,,32
1,1,32.859,168.721,29
2,2,30.597,181.194,28
3,3,30.3,182.970,26
4,4,30.507,181.729,25
5,5,30.634,180.975,25
6,6,30.71,180.528,25
7,7,30.558,181.425,24
8,8,30.7,180.586,24
9,9,30.645,180.910,23
10,10,30.832,179.813,23
11,11,30.752,180.281,23
12,12,30.509,181.717,23
13,13,30.405,182.338,24
14,14,30.324,182.825,23
15,15,30.607,181.135,22
16,16,30.904,179.394,25
17,17,30.409,182.314,25
18,18,30.932,179.232,26
19,19,30.208,183.528,23
20,20,30.223,183.436,21
21,21,30.564,181.390,22
22,22,30.374,182.525,19
23,23,30.502,181.759,18
24,24,30.44,182.129,18
25,25,30.468,181.961,17
26,26,30.926,179.267,19
27,27,30.801,179.994,20
28,28,30.439,182.135,18
29,29,30.576,181.319,18
30,30,30.139,183.948,18
31,31,30.07,184.370,17
32,32,30.734,180.387,18
33,33,30.609,181.123,18
34,34,30.452,182.057,17
35,35,30.506,181.735,17
36,36,30.588,181.248,17
37,37,30.689,180.651,17
38,38,30.131,183.997,16
39,39,30.17,183.759,15
40,40,30.444,182.105,15
41,41,30.162,183.807,15
42,42,30.562,181.402,16
43,43,30.655,180.851,20
44,44,30.305,182.940,21
45,45,30.275,183.121,21
46,46,30.321,182.844,22
47,47,30.279,183.097,22
48,48,30.237,183.352,21
49,49,30.482,181.878,21
50,50,30.415,182.278,22
51,51,30.325,182.819,21
52,52,30.303,182.952,19
53,53,30.261,183.206,19
54,54,30.292,183.019,19
55,55,30.251,183.267,19
56,56,30.869,179.598,22
57,57,30.316,182.874,23
58,58,30.792,180.047,26
59,59,30.359,182.615,26
60,60,30.168,183.771,24
61,61,59.46,93.239,24
62,62,92.475,59.951,24
63,63,101.523,54.608,24
64,64,114.196,48.548,31
65,65,92.027,60.243,23
66,66,93.508,59.289,21
67,67,107.206,51.714,22
68,68,79.043,70.139,20
69,69,32.946,168.275,21
70,70,30.322,182.838,23
71,71,30.174,183.734,21
72,72,30.066,184.394,19
73,73,30.232,183.382,17
74,74,30.521,181.645,17
75,75,30.671,180.757,18
76,76,30.117,184.082,16
77,77,30.449,182.075,17
78,78,30.86,179.650,21
79,79,30.268,183.164,21
80,80,30.419,182.255,23
81,81,30.201,183.570,22
82,82,52.293,106.018,22
83,83,95.155,58.263,22
84,84,99.648,55.636,22
85,85,106.719,51.950,28
86,86,93.17,59.504,21
87,87,104.149,53.231,20
88,88,82.551,67.158,20
89,89,33.42,165.889,22
90,90,30.637,180.958,23
91,91,30.568,181.366,23
92,92,30.034,184.591,21
93,93,30.097,184.204,19
94,94,30.387,182.446,18
95,95,30.275,183.121,15
96,96,30.493,181.812,17
97,97,30.442,182.117,16
98,98,30.044,184.529,14
99,99,30.325,182.819,13
100,100,30.104,184.162,13
101,101,30.413,182.290,14
102,102,35.076,158.057,14
103,103,93.614,59.222,14
104,104,109.346,50.701,14
105,105,111.14,49.883,14
106,106,106.618,51.999,14
107,107,86.937,63.770,15
108,108,33.282,166.577,15
109,109,30.275,183.121,17
110,110,29.901,185.412,14
111,111,30.049,184.499,16
112,112,30.107,184.143,17
113,113,30.043,184.535,16
114,114,30.291,183.025,16
115,115,30.228,183.406,16
116,116,30.296,182.994,16
117,117,30.396,182.392,16
118,118,30.0,184.800,17
119,119,30.025,184.646,16
120,120,30.381,182.482,15
121,121,30.513,181.693,17
122,122,30.025,184.646,18
123,123,29.905,185.387,18
124,124,29.811,185.972,16
125,125,30.362,182.597,16
126,126,30.149,183.887,17
127,127,30.273,183.133,17
128,128,30.112,184.113,16
129,129,30.208,183.528,16
130,130,30.129,184.009,17
131,131,30.133,183.984,17
132,132,30.151,183.874,17
133,133,30.372,182.537,15
134,134,30.218,183.467,15
135,135,58.06,95.487,15
136,136,84.711,65.446,15
137,137,117.887,47.028,28
138,138,88.489,62.652,22
139,139,106.795,51.913,21
140,140,78.565,70.566,24
141,141,32.64,169.853,20
142,142,30.314,182.886,19
143,143,30.068,184.382,19
144,144,30.308,182.922,20
145,145,30.223,183.436,22
146,146,30.322,182.838,23
147,147,30.425,182.219,23
148,148,30.495,181.800,25
149,149,30.623,181.040,20
150,150,51.333,108.001,20
151,151,104.052,53.281,20
152,152,110.954,49.967,20
153,153,110.721,50.072,20
154,154,114.779,48.302,30
155,155,100.759,55.022,22
156,156,87.948,63.037,24
157,157,33.405,165.963,25
158,158,30.065,184.400,24
159,159,30.161,183.814,25
160,160,30.207,183.534,26
161,161,57.491,96.432,26
162,162,92.783,59.752,26
163,163,103.288,53.675,26
164,164,93.23,59.466,21
165,165,100.37,55.236,13
166,166,101.116,54.828,13
167,167,103.079,53.784,13
168,168,88.19,62.864,13
169,169,33.523,165.379,12
170,170,30.285,183.061,13
171,171,30.593,181.218,16
172,172,30.29,183.031,17
