,Lap,LapTime,LapSpeed,RunningPos
0,0,,,37
1,1,33.002,167.990,39
2,2,30.792,180.047,39
3,3,30.429,182.195,39
4,4,30.153,183.862,35
5,5,30.453,182.051,35
6,6,30.429,182.195,33
7,7,30.619,181.064,30
8,8,30.565,181.384,30
9,9,30.88,179.534,30
10,10,30.575,181.325,29
11,11,30.744,180.328,28
12,12,30.543,181.515,26
13,13,30.22,183.455,26
14,14,30.324,182.825,26
15,15,30.496,181.794,24
16,16,30.516,181.675,23
17,17,30.469,181.955,23
18,18,30.832,179.813,23
19,19,30.609,181.123,24
20,20,30.511,181.705,25
21,21,30.464,181.985,24
22,22,30.351,182.663,22
23,23,30.627,181.017,22
24,24,30.458,182.021,23
25,25,30.414,182.284,22
26,26,30.628,181.011,20
27,27,30.681,180.698,19
28,28,30.741,180.345,22
29,29,30.578,181.307,21
30,30,30.378,182.500,21
31,31,30.0,184.800,21
32,32,30.609,181.123,22
33,33,30.508,181.723,21
34,34,30.488,181.842,20
35,35,30.617,181.076,21
36,36,30.468,181.961,21
37,37,30.608,181.129,19
38,38,30.19,183.637,18
39,39,30.196,183.600,17
40,40,30.523,181.634,19
41,41,30.394,182.404,20
42,42,30.172,183.747,19
43,43,30.162,183.807,18
44,44,30.151,183.874,17
45,45,30.185,183.667,17
46,46,30.135,183.972,16
47,47,30.48,181.890,17
48,48,30.541,181.526,19
49,49,30.452,182.057,18
50,50,30.439,182.135,19
51,51,30.471,181.943,20
52,52,30.546,181.497,21
53,53,30.189,183.643,20
54,54,30.443,182.111,21
55,55,30.322,182.838,21
56,56,30.298,182.982,20
57,57,30.025,184.646,19
58,58,30.559,181.420,19
59,59,30.592,181.224,20
60,60,30.398,182.380,20
61,61,58.503,94.764,20
62,62,91.835,60.369,20
63,63,100.6,55.109,20
64,64,113.549,48.825,25
65,65,88.486,62.654,15
66,66,95.452,58.082,13
67,67,102.673,53.997,13
68,68,88.103,62.926,12
69,69,32.921,168.403,13
70,70,30.184,183.673,13
71,71,30.229,183.400,12
