,Driver_Name,Start_Pos,Lowest_Pos,Highest_Pos,Ending_Pos,Pos_Change,Slowest_Lap,Fastest_Lap,Ave_Lap,Highest_Speed,Lowest_Speed,Ave_Speed
0,AJ Allmendinger,12,30,1,30,-18,138.836,100.075,104.0838,86.335,70.091,83.8644
1,Alex Bowman,21,34,7,9,12,147.407,100.729,105.7501,85.775,73.779,84.0265
2,Austin Cindri,36,37,4,25,11,148.705,100.864,106.3139,85.66,72.918,83.0901
3,Austin Dillon,27,35,15,35,-8,142.148,100.795,105.2769,85.719,76.581,83.9142
4,Brad Keselowsk,26,34,11,15,11,144.168,100.772,104.9396,85.738,72.771,83.9014
5,Bubba Wallace,2,34,1,20,-18,140.09,100.329,104.0599,86.117,75.023,83.9131
6,Carson Hocevar,4,31,3,13,-9,141.95,100.641,104.5897,85.85,71.154,83.4951
7,Chase Briscoe,18,26,3,14,4,142.041,100.333,104.0413,86.113,78.53,84.5456
8,Chase Elliott,3,36,3,4,-1,144.47,100.332,103.8831,86.114,73.098,84.1261
9,Chris Buescher,24,28,7,7,17,142.348,100.158,104.511,86.264,76.379,84.2176
10,Christopher Bell,19,19,1,1,18,140.947,99.435,103.6869,86.891,80.224,84.8687
11,Cody Ware,37,37,18,31,6,142.819,102.007,107.5751,84.7,70.4,82.1403
12,Cole Custer,30,34,11,23,7,144.568,100.371,105.2944,86.081,73.601,83.6545
13,Connor Zilisch,14,37,10,14,0,145.163,100.17,104.7383,86.253,80.102,84.5957
14,Daniel Suarez,5,35,3,35,-30,142.164,100.399,105.5726,86.057,71.098,83.8162
15,Denny Hamlin,11,34,6,21,-10,143.269,100.818,105.1771,85.699,73.895,83.7934
16,Erik Jone,32,37,11,27,5,148.507,100.934,106.6945,85.6,70.194,82.1832
17,Joey Logano,23,33,2,24,-1,149.824,100.615,105.2592,85.872,75.403,83.7209
18,John Hunter Nemechek,33,36,9,22,11,142.047,100.819,105.7692,85.698,73.995,83.1773
19,Josh Berry,35,35,13,26,9,148.54,101.017,106.6654,85.53,74.422,83.1785
20,Justin Haley,29,33,5,16,13,142.525,100.029,104.8257,86.375,76.75,83.974
21,Kyle Busch,8,8,1,5,3,134.018,99.749,103.362,86.617,79.06,85.0063
22,Kyle Larson,7,37,4,32,-25,147.246,99.244,105.7314,87.058,70.959,83.2716
23,Michael McDowell,16,34,1,11,5,141.291,100.37,104.5459,86.081,72.099,84.0122
24,Noah Gragson,17,34,5,8,9,149.77,100.437,105.7811,86.024,75.706,83.4246
25,Ricky Stenhouse Jr,22,36,13,18,4,142.217,101.146,105.5105,85.421,73.598,83.1619
26,Riley Herbst,31,33,15,17,14,144.134,100.369,104.8191,86.082,73.781,83.7611
27,Ross Chastain,9,26,6,12,-3,145.234,100.35,104.5163,86.099,78.037,84.2135
28,Ryan Blaney,25,31,2,19,6,141.111,100.436,104.4839,86.025,76.091,84.0321
29,Ryan Preece,28,33,1,33,-5,139.033,100.264,104.6723,86.173,75.795,84.0621
30,Shane Van Gisbergen,6,10,1,6,0,135.304,100.099,103.6203,86.315,78.229,84.7996
31,Todd Gilliland,10,35,6,10,0,148.701,100.579,105.5956,85.903,74.657,83.6163
32,Ty Dillon,34,37,17,28,6,144.087,100.872,105.6282,85.653,72.02,82.8692
33,Ty Gibb,13,34,10,34,-21,137.212,100.701,105.2425,85.799,73.869,83.5252
34,Tyler Reddick,1,20,1,3,-2,142.056,100.071,103.7006,86.339,70.916,84.1577
35,William Byron,15,15,1,2,13,139.778,99.947,103.5572,86.446,79.492,84.9298
36,Zane Smith,20,35,14,29,-9,148.772,100.121,106.7425,86.296,70.952,82.6619
