,Lap,LapTime,LapSpeed,RunningPos
0,0,,,4
1,1,102.488,84.303,3
2,2,103.612,83.388,7
3,3,101.068,85.487,7
4,4,101.088,85.470,7
5,5,101.319,85.275,7
6,6,101.798,84.874,6
7,7,101.07,85.485,6
8,8,101.298,85.293,6
9,9,101.696,84.959,6
10,10,101.9,84.789,6
11,11,102.076,84.643,6
12,12,102.112,84.613,6
13,13,102.419,84.359,6
14,14,104.313,82.828,7
15,15,103.66,83.349,8
16,16,104.653,82.559,9
17,17,114.981,75.143,9
18,18,121.426,71.154,13
19,19,101.34,85.258,13
20,20,101.331,85.265,13
21,21,139.75,61.825,12
22,22,168.312,51.333,12
23,23,188.918,45.734,10
24,24,198.216,43.589,10
25,25,180.147,47.961,9
26,26,105.913,81.576,12
27,27,101.377,85.226,12
28,28,101.883,84.803,12
29,29,101.218,85.360,12
30,30,101.164,85.406,12
31,31,101.207,85.370,12
32,32,101.51,85.115,12
33,33,101.601,85.039,11
34,34,101.563,85.070,11
35,35,101.535,85.094,11
36,36,101.612,85.029,11
37,37,101.66,84.989,11
38,38,102.348,84.418,11
39,39,101.861,84.821,11
40,40,104.271,82.861,12
41,41,102.844,84.011,9
42,42,113.205,76.322,7
43,43,119.826,72.105,21
44,44,102.093,84.629,21
45,45,106.018,81.496,20
46,46,141.95,60.867,20
47,47,167.573,51.560,12
48,48,198.405,43.547,12
49,49,194.169,44.497,11
50,50,108.544,79.599,10
51,51,200.66,43.058,10
52,52,205.987,41.944,10
53,53,206.398,41.861,10
54,54,192.203,44.952,9
55,55,105.056,82.242,9
56,56,101.958,84.741,10
57,57,101.722,84.937,9
58,58,101.711,84.947,10
59,59,102.141,84.589,10
60,60,103.287,83.650,12
61,61,101.607,85.034,12
62,62,101.543,85.087,12
63,63,101.604,85.036,12
64,64,101.891,84.796,12
65,65,103.649,83.358,15
66,66,103.38,83.575,15
67,67,105.09,82.215,16
68,68,115.05,75.098,23
69,69,121.326,71.213,31
70,70,100.718,85.784,30
71,71,100.906,85.624,29
72,72,101.422,85.189,27
73,73,101.194,85.381,23
74,74,100.641,85.850,23
75,75,100.887,85.640,20
76,76,101.086,85.472,19
77,77,102.288,84.467,18
78,78,113.842,75.895,18
79,79,157.246,54.946,9
80,80,216.42,39.922,24
81,81,208.113,41.516,24
82,82,202.024,42.767,23
83,83,106.86,80.853,17
84,84,101.809,84.865,17
85,85,102.12,84.606,16
86,86,101.922,84.771,17
87,87,101.855,84.826,16
88,88,101.081,85.476,16
89,89,101.566,85.068,15
90,90,101.209,85.368,15
91,91,104.128,82.975,14
92,92,102.999,83.884,13
93,93,102.408,84.368,13
94,94,102.001,84.705,13
95,95,102.615,84.198,13
