,Lap,LapTime,LapSpeed,RunningPos
0,0,,,20
1,1,28.802,124.991,20
2,2,28.478,126.413,19
3,3,28.444,126.564,19
4,4,29.491,122.071,19
5,5,54.93,65.538,19
6,6,68.203,52.784,19
7,7,74.879,48.078,20
8,8,76.642,46.972,19
9,9,62.407,57.686,20
10,10,31.55,114.105,19
11,11,77.971,46.171,19
12,12,73.267,49.135,19
13,13,75.877,47.445,19
14,14,60.299,59.702,18
15,15,29.114,123.652,17
16,16,28.753,125.204,16
17,17,28.704,125.418,16
18,18,29.027,124.022,17
19,19,28.718,125.357,17
20,20,29.172,123.406,18
21,21,28.62,125.786,17
22,22,28.647,125.668,17
23,23,28.711,125.387,17
24,24,28.891,124.606,17
25,25,28.711,125.387,17
26,26,28.858,124.749,17
27,27,28.843,124.814,17
28,28,28.885,124.632,17
29,29,28.943,124.382,17
30,30,28.95,124.352,17
31,31,29.01,124.095,17
32,32,29.005,124.117,17
33,33,29.149,123.503,17
34,34,29.131,123.580,16
35,35,29.091,123.750,16
36,36,29.041,123.963,16
37,37,29.137,123.554,16
38,38,29.073,123.826,16
39,39,29.205,123.267,16
40,40,29.342,122.691,16
41,41,29.367,122.587,16
42,42,29.122,123.618,16
43,43,29.488,122.084,16
44,44,29.173,123.402,16
45,45,29.263,123.022,16
46,46,29.197,123.300,16
47,47,29.228,123.170,16
48,48,29.288,122.917,16
49,49,29.414,122.391,16
50,50,29.367,122.587,16
51,51,29.39,122.491,16
52,52,29.257,123.047,16
53,53,29.235,123.140,16
54,54,29.309,122.829,16
55,55,29.434,122.308,16
56,56,29.356,122.633,16
57,57,29.528,121.918,16
58,58,29.406,122.424,16
59,59,29.347,122.670,16
60,60,29.457,122.212,16
61,61,44.321,81.226,16
62,62,55.958,64.334,16
63,63,73.625,48.896,16
64,64,72.905,49.379,16
65,65,59.264,60.745,3
66,66,88.943,40.475,20
67,67,73.597,48.915,17
68,68,73.599,48.914,17
69,69,73.297,49.115,17
70,70,75.834,47.472,17
71,71,61.724,58.324,17
72,72,29.316,122.800,18
73,73,28.945,124.374,19
74,74,28.823,124.900,20
75,75,28.835,124.848,22
76,76,28.895,124.589,23
77,77,29.113,123.656,24
78,78,29.079,123.801,27
79,79,28.856,124.757,27
80,80,28.765,125.152,27
81,81,28.81,124.957,27
82,82,28.817,124.926,27
83,83,28.836,124.844,27
84,84,29.032,124.001,27
85,85,29.022,124.044,27
86,86,29.019,124.057,27
87,87,29.126,123.601,27
88,88,29.156,123.474,27
89,89,29.071,123.835,27
90,90,29.476,122.133,27
91,91,30.633,117.520,27
92,92,46.522,77.383,26
93,93,57.866,62.213,26
94,94,56.762,63.423,4
95,95,90.816,39.641,25
96,96,74.922,48.050,25
97,97,79.39,45.346,25
98,98,51.909,69.352,26
99,99,60.81,59.201,29
