,Lap,LapTime,LapSpeed,RunningPos
0,0,,,6
1,1,28.715,125.370,6
2,2,28.261,127.384,6
3,3,28.046,128.361,6
4,4,28.549,126.099,7
5,5,50.412,71.412,7
6,6,66.315,54.286,7
7,7,75.026,47.983,7
8,8,73.717,48.835,7
9,9,73.58,48.926,8
10,10,29.952,120.192,7
11,11,70.741,50.890,7
12,12,73.115,49.238,7
13,13,74.505,48.319,7
14,14,71.056,50.664,8
15,15,29.119,123.631,9
16,16,28.415,126.694,9
17,17,28.562,126.042,9
18,18,28.491,126.356,9
19,19,28.611,125.826,9
20,20,28.548,126.103,8
21,21,28.612,125.821,8
22,22,28.565,126.028,8
23,23,28.653,125.641,8
24,24,28.618,125.795,8
25,25,28.678,125.532,8
26,26,28.849,124.788,8
27,27,28.899,124.572,9
28,28,28.976,124.241,9
29,29,29.173,123.402,10
30,30,29.008,124.104,10
31,31,28.791,125.039,10
32,32,29.023,124.040,10
33,33,29.032,124.001,10
34,34,29.061,123.877,10
35,35,29.089,123.758,10
36,36,29.204,123.271,10
37,37,29.072,123.830,10
38,38,29.156,123.474,10
39,39,29.258,123.043,10
40,40,29.223,123.191,10
41,41,29.122,123.618,10
42,42,29.063,123.869,10
43,43,29.086,123.771,10
44,44,29.106,123.686,10
45,45,29.052,123.916,9
46,46,29.081,123.792,9
47,47,29.162,123.448,9
48,48,29.155,123.478,9
49,49,29.194,123.313,9
50,50,29.051,123.920,9
51,51,29.069,123.843,9
52,52,29.128,123.592,9
53,53,29.217,123.216,9
54,54,29.168,123.423,9
55,55,29.319,122.787,9
56,56,29.175,123.393,9
57,57,29.264,123.018,9
58,58,29.313,122.812,9
59,59,28.981,124.219,9
60,60,29.287,122.921,9
61,61,40.444,89.012,9
62,62,60.963,59.052,9
63,63,72.992,49.320,9
64,64,74.145,48.554,9
65,65,74.491,48.328,9
66,66,69.32,51.933,7
67,67,74.789,48.135,7
68,68,73.752,48.812,7
69,69,73.044,49.285,7
70,70,73.457,49.008,7
71,71,71.295,50.494,8
72,72,29.648,121.425,11
73,73,28.469,126.453,10
74,74,28.27,127.343,10
75,75,28.306,127.182,10
76,76,28.437,126.596,10
77,77,28.546,126.112,10
78,78,28.445,126.560,10
79,79,28.607,125.843,11
80,80,28.797,125.013,12
81,81,28.746,125.235,13
82,82,28.95,124.352,14
