,Lap,LapTime,LapSpeed,RunningPos
0,0,,,4
1,1,28.541,126.134,4
2,2,27.902,129.023,4
3,3,27.917,128.954,4
4,4,28.097,128.128,4
5,5,48.084,74.869,4
6,6,67.823,53.079,4
7,7,73.645,48.883,4
8,8,74.378,48.401,4
9,9,76.092,47.311,4
10,10,29.536,121.885,4
11,11,68.473,52.575,4
12,12,73.452,49.012,4
13,13,74.591,48.263,4
14,14,73.362,49.072,4
15,15,28.611,125.826,4
16,16,28.395,126.783,5
17,17,28.2,127.660,4
18,18,28.063,128.283,4
19,19,28.119,128.027,4
20,20,28.174,127.777,3
21,21,28.206,127.632,3
22,22,28.287,127.267,3
23,23,28.457,126.507,3
24,24,28.442,126.573,3
25,25,28.37,126.895,3
26,26,28.511,126.267,3
27,27,28.63,125.742,3
28,28,28.728,125.313,3
29,29,28.829,124.874,3
30,30,28.76,125.174,3
31,31,28.826,124.887,3
32,32,28.922,124.473,3
33,33,28.821,124.909,3
34,34,28.873,124.684,3
35,35,28.944,124.378,3
36,36,29.097,123.724,3
37,37,28.993,124.168,3
38,38,28.995,124.159,3
39,39,28.933,124.425,3
40,40,29.066,123.856,3
41,41,29.032,124.001,3
42,42,29.022,124.044,3
43,43,29.097,123.724,3
44,44,28.993,124.168,3
45,45,29.174,123.398,4
46,46,29.097,123.724,4
47,47,29.166,123.431,4
48,48,29.227,123.174,4
49,49,29.402,122.441,4
50,50,29.275,122.972,4
51,51,29.607,121.593,5
52,52,29.417,122.378,5
53,53,29.368,122.582,5
54,54,29.218,123.212,5
55,55,29.284,122.934,5
56,56,29.476,122.133,6
57,57,29.435,122.303,6
58,58,29.112,123.660,6
59,59,29.23,123.161,6
60,60,29.281,122.947,6
61,61,40.17,89.619,6
62,62,64.025,56.228,6
63,63,72.867,49.405,6
64,64,73.688,48.855,6
65,65,77.331,46.553,10
66,66,69.627,51.704,8
67,67,75.149,47.905,8
68,68,73.477,48.995,8
69,69,72.891,49.389,8
70,70,73.744,48.818,8
71,71,70.384,51.148,7
72,72,29.21,123.245,7
73,73,28.276,127.316,7
74,74,28.255,127.411,6
75,75,28.257,127.402,7
76,76,28.315,127.141,7
77,77,28.385,126.828,7
78,78,28.453,126.524,7
79,79,28.581,125.958,7
80,80,28.968,124.275,8
81,81,28.939,124.400,9
82,82,28.819,124.918,9
83,83,28.802,124.991,10
84,84,28.905,124.546,12
85,85,28.847,124.796,12
86,86,28.815,124.935,12
87,87,28.958,124.318,12
88,88,28.988,124.189,12
89,89,28.959,124.314,12
90,90,29.06,123.882,12
91,91,29.041,123.963,11
92,92,40.527,88.830,11
93,93,61.553,58.486,11
94,94,96.949,37.133,32
95,95,65.008,55.378,32
96,96,75.968,47.388,32
97,97,79.029,45.553,30
98,98,46.949,76.679,29
99,99,38.652,93.139,21
100,100,89.056,40.424,20
101,101,84.257,42.726,19
102,102,72.352,49.757,19
103,103,76.063,47.329,19
104,104,70.316,51.197,19
105,105,77.384,46.521,19
106,106,72.011,49.992,19
107,107,72.532,49.633,19
108,108,73.996,48.651,19
109,109,73.201,49.180,19
110,110,73.425,49.030,19
111,111,66.03,54.521,18
112,112,71.215,50.551,20
113,113,29.323,122.771,16
114,114,28.68,125.523,15
115,115,28.535,126.161,15
116,116,28.674,125.549,15
117,117,28.522,126.218,15
118,118,28.686,125.497,15
119,119,28.595,125.896,15
120,120,28.645,125.676,15
121,121,28.447,126.551,13
122,122,28.51,126.271,13
123,123,28.633,125.729,13
124,124,28.769,125.135,13
125,125,28.736,125.278,13
126,126,28.783,125.074,13
127,127,28.746,125.235,13
128,128,28.734,125.287,13
129,129,28.731,125.300,13
130,130,28.731,125.300,13
131,131,28.851,124.779,13
132,132,28.992,124.172,13
133,133,28.942,124.387,13
134,134,28.91,124.524,12
135,135,28.948,124.361,12
136,136,28.896,124.585,12
137,137,28.91,124.524,12
138,138,29.004,124.121,12
139,139,29.166,123.431,12
140,140,29.097,123.724,12
141,141,29.17,123.414,12
142,142,29.043,123.954,12
143,143,29.067,123.852,12
144,144,29.094,123.737,12
145,145,29.147,123.512,12
146,146,29.088,123.762,12
147,147,29.162,123.448,12
148,148,29.267,123.005,12
149,149,29.108,123.677,12
150,150,29.135,123.563,12
151,151,29.291,122.905,12
152,152,29.196,123.305,12
153,153,29.162,123.448,11
154,154,29.24,123.119,11
155,155,29.139,123.546,11
156,156,29.248,123.085,10
157,157,29.341,122.695,10
158,158,29.249,123.081,10
159,159,29.236,123.136,10
160,160,29.165,123.436,10
161,161,29.111,123.665,10
162,162,29.058,123.890,10
163,163,29.213,123.233,10
164,164,29.146,123.516,10
165,165,29.156,123.474,10
166,166,29.35,122.658,10
167,167,29.149,123.503,10
168,168,29.352,122.649,10
169,169,29.227,123.174,10
170,170,29.31,122.825,10
171,171,29.288,122.917,10
172,172,29.199,123.292,10
173,173,29.395,122.470,10
174,174,29.236,123.136,10
175,175,29.389,122.495,10
176,176,29.272,122.984,10
177,177,29.418,122.374,10
178,178,29.455,122.220,10
179,179,29.211,123.241,10
180,180,29.574,121.729,10
181,181,29.427,122.337,10
182,182,29.51,121.993,10
183,183,29.443,122.270,10
184,184,29.361,122.612,10
185,185,29.416,122.382,10
186,186,42.905,83.906,10
187,187,61.873,58.184,10
188,188,73.184,49.191,10
189,189,70.45,51.100,10
190,190,68.105,52.860,9
191,191,73.378,49.061,9
192,192,73.672,48.865,9
193,193,73.854,48.745,9
194,194,66.447,54.179,9
195,195,28.441,126.578,5
196,196,27.577,130.544,5
197,197,27.699,129.969,5
198,198,27.693,129.997,5
199,199,27.811,129.445,5
200,200,27.911,128.981,5
201,201,28.072,128.242,5
202,202,28.057,128.310,5
203,203,28.058,128.306,5
204,204,28.126,127.995,5
205,205,28.254,127.416,5
206,206,28.25,127.434,5
207,207,28.355,126.962,5
208,208,28.407,126.729,5
209,209,28.444,126.564,5
210,210,28.541,126.134,5
211,211,28.501,126.311,5
212,212,28.616,125.804,5
213,213,28.628,125.751,5
214,214,28.566,126.024,5
215,215,29.883,120.470,5
216,216,60.721,59.288,5
217,217,78.342,45.952,6
218,218,72.3,49.793,5
219,219,74.321,48.439,5
220,220,71.176,50.579,5
221,221,73.649,48.881,5
222,222,73.256,49.143,5
223,223,72.214,49.852,6
224,224,29.318,122.791,9
225,225,28.47,126.449,10
226,226,28.723,125.335,10
227,227,28.835,124.848,12
228,228,28.631,125.738,13
229,229,28.635,125.720,13
230,230,28.76,125.174,13
231,231,28.597,125.887,13
232,232,28.629,125.747,13
233,233,28.701,125.431,13
234,234,28.815,124.935,13
235,235,28.875,124.675,13
