,Lap,LapTime,LapSpeed,RunningPos
0,0,,,18
1,1,32.304,167.162,21
2,2,30.079,179.527,19
3,3,30.049,179.706,19
4,4,30.205,178.778,19
5,5,30.464,177.258,20
6,6,30.5,177.049,20
7,7,30.412,177.561,19
8,8,30.702,175.884,20
9,9,30.188,178.879,19
10,10,30.447,177.357,18
11,11,30.433,177.439,18
12,12,30.628,176.309,18
13,13,30.655,176.154,18
14,14,30.625,176.327,18
15,15,30.739,175.673,17
16,16,30.634,176.275,17
17,17,30.59,176.528,17
18,18,30.577,176.603,17
19,19,30.696,175.919,17
20,20,30.511,176.985,17
21,21,30.502,177.038,17
22,22,30.733,175.707,17
23,23,30.561,176.696,17
24,24,30.756,175.575,17
25,25,30.88,174.870,17
26,26,30.883,174.853,17
27,27,30.997,174.210,17
28,28,31.142,173.399,18
29,29,30.895,174.786,18
30,30,31.16,173.299,17
31,31,31.028,174.036,14
32,32,30.861,174.978,12
33,33,31.786,169.886,7
34,34,44.519,121.297,6
35,35,86.829,62.191,6
36,36,110.987,48.654,17
37,37,100.392,53.789,9
38,38,100.93,53.502,9
39,39,96.285,56.084,8
40,40,86.782,62.225,7
41,41,32.07,168.382,7
42,42,29.849,180.911,9
43,43,29.833,181.008,8
44,44,29.907,180.560,8
45,45,30.141,179.158,7
46,46,29.958,180.252,7
47,47,30.12,179.283,7
48,48,30.0,180.000,7
49,49,30.266,178.418,7
50,50,30.376,177.772,7
51,51,30.248,178.524,7
52,52,30.257,178.471,7
53,53,30.247,178.530,7
54,54,30.22,178.690,7
55,55,30.476,177.189,7
56,56,30.272,178.383,7
57,57,30.379,177.754,7
58,58,30.493,177.090,7
59,59,30.62,176.355,7
60,60,30.663,176.108,7
61,61,30.44,177.398,7
62,62,30.385,177.719,6
63,63,30.473,177.206,6
64,64,30.751,175.604,6
65,65,30.709,175.844,6
66,66,30.731,175.718,6
67,67,31.136,173.433,7
68,68,30.659,176.131,7
69,69,30.907,174.718,7
70,70,30.894,174.791,7
71,71,30.804,175.302,6
72,72,30.855,175.012,6
73,73,30.778,175.450,6
74,74,30.681,176.005,6
75,75,30.653,176.165,6
76,76,30.741,175.661,6
77,77,30.818,175.222,6
78,78,30.741,175.661,6
79,79,30.833,175.137,6
80,80,30.674,176.045,6
81,81,43.961,122.836,6
82,82,86.771,62.233,6
83,83,99.102,54.489,6
84,84,112.851,47.851,22
85,85,90.211,59.860,12
86,86,99.776,54.121,11
87,87,98.815,54.648,10
88,88,86.397,62.502,10
89,89,32.06,168.434,9
90,90,30.047,179.718,8
91,91,29.751,181.507,8
92,92,29.644,182.162,7
93,93,29.907,180.560,7
94,94,30.085,179.491,8
95,95,30.161,179.039,8
96,96,30.397,177.649,8
97,97,30.166,179.009,8
98,98,30.17,178.986,8
99,99,30.345,177.954,8
100,100,30.304,178.194,8
101,101,30.443,177.381,8
102,102,30.48,177.165,8
103,103,30.684,175.987,8
104,104,30.821,175.205,9
105,105,30.513,176.974,9
106,106,30.485,177.136,9
107,107,30.821,175.205,9
108,108,49.545,108.992,9
109,109,95.283,56.673,21
110,110,88.518,61.005,8
111,111,102.089,52.895,8
112,112,89.561,60.294,7
113,113,34.113,158.297,7
114,114,85.582,63.097,7
115,115,99.197,54.437,7
116,116,99.09,54.496,7
117,117,99.106,54.487,7
118,118,100.096,53.948,7
119,119,90.476,59.684,8
120,120,32.229,167.551,9
121,121,30.059,179.647,9
122,122,29.915,180.511,10
123,123,29.785,181.299,8
124,124,30.017,179.898,8
125,125,29.995,180.030,8
126,126,29.973,180.162,8
127,127,30.393,177.672,8
128,128,30.374,177.784,8
129,129,30.241,178.566,8
130,130,30.327,178.059,8
131,131,30.439,177.404,8
132,132,30.578,176.598,8
133,133,30.36,177.866,8
134,134,30.398,177.643,8
135,135,30.375,177.778,8
136,136,30.502,177.038,8
137,137,30.343,177.965,8
138,138,30.502,177.038,8
139,139,30.432,177.445,8
140,140,30.523,176.916,8
141,141,30.715,175.810,8
142,142,30.596,176.494,8
143,143,30.619,176.361,8
144,144,30.781,175.433,8
145,145,30.877,174.887,8
146,146,30.717,175.798,8
147,147,38.712,139.492,8
148,148,91.191,59.216,8
149,149,108.327,49.849,21
150,150,92.798,58.191,14
151,151,97.932,55.140,12
152,152,86.787,62.221,12
153,153,32.344,166.955,12
154,154,30.089,179.468,13
155,155,30.407,177.591,12
156,156,30.272,178.383,13
157,157,30.092,179.450,13
158,158,30.321,178.094,13
159,159,30.561,176.696,13
160,160,30.638,176.252,14
161,161,31.091,173.684,18
162,162,30.879,174.876,17
163,163,30.801,175.319,17
164,164,30.652,176.171,16
165,165,30.54,176.817,16
166,166,51.593,104.665,16
167,167,88.344,61.125,16
168,168,98.055,55.071,16
169,169,108.099,49.954,27
170,170,94.339,57.240,21
171,171,98.586,54.775,20
172,172,100.882,53.528,20
173,173,79.868,67.612,19
174,174,31.61,170.832,18
175,175,30.15,179.104,16
176,176,30.186,178.891,16
177,177,30.044,179.736,16
178,178,30.067,179.599,16
179,179,30.244,178.548,16
180,180,30.506,177.014,17
181,181,30.366,177.830,17
182,182,30.609,176.419,17
183,183,30.602,176.459,17
184,184,30.506,177.014,17
185,185,30.581,176.580,17
186,186,30.579,176.592,17
187,187,30.567,176.661,17
188,188,45.224,119.406,17
189,189,99.844,54.084,27
190,190,94.191,57.330,21
191,191,99.209,54.431,20
192,192,97.54,55.362,20
193,193,108.289,49.867,20
194,194,81.815,66.003,19
195,195,36.946,146.159,12
196,196,91.817,58.813,13
197,197,97.852,55.185,11
198,198,98.446,54.852,8
199,199,100.694,53.628,8
200,200,88.899,60.743,8
201,201,32.064,168.413,8
202,202,29.902,180.590,8
203,203,29.89,180.662,8
204,204,30.002,179.988,9
205,205,29.858,180.856,9
206,206,30.064,179.617,9
207,207,30.326,178.065,9
208,208,30.593,176.511,10
209,209,30.195,178.838,10
210,210,30.532,176.864,10
211,211,30.689,175.959,10
212,212,30.706,175.861,10
213,213,30.533,176.858,9
214,214,30.656,176.148,9
215,215,30.507,177.009,9
216,216,30.737,175.684,9
217,217,30.461,177.276,9
218,218,30.591,176.523,9
