,Lap,LapTime,LapSpeed,RunningPos
0,0,,,32
1,1,31.76,170.025,30
2,2,30.214,178.725,29
3,3,30.488,177.119,30
4,4,30.774,175.473,30
5,5,30.918,174.656,31
6,6,30.75,175.610,30
7,7,30.511,176.985,30
8,8,30.755,175.581,31
9,9,30.894,174.791,32
10,10,30.894,174.791,32
11,11,31.131,173.461,33
12,12,31.121,173.516,33
13,13,30.819,175.217,33
14,14,30.872,174.916,33
15,15,31.205,173.049,34
16,16,30.999,174.199,34
17,17,30.952,174.464,34
18,18,31.761,170.020,35
19,19,31.264,172.723,35
20,20,31.1,173.633,35
21,21,31.01,174.137,35
22,22,31.496,171.450,35
23,23,31.057,173.874,34
24,24,31.019,174.087,34
25,25,31.167,173.260,35
26,26,31.165,173.271,35
27,27,31.361,172.188,35
28,28,31.369,172.144,34
29,29,31.345,172.276,34
30,30,31.653,170.600,34
31,31,31.643,170.654,32
32,32,31.541,171.206,23
33,33,38.581,139.965,21
34,34,47.018,114.850,19
35,35,78.189,69.063,19
36,36,88.41,61.079,11
37,37,118.818,45.448,22
38,38,98.182,55.000,22
39,39,102.349,52.761,21
40,40,73.365,73.605,19
41,41,31.933,169.104,20
42,42,30.412,177.561,21
43,43,30.317,178.118,21
44,44,30.475,177.194,22
45,45,30.516,176.956,21
46,46,30.193,178.849,20
47,47,30.283,178.318,20
48,48,30.619,176.361,20
49,49,30.738,175.678,20
50,50,30.498,177.061,20
51,51,30.729,175.730,19
52,52,30.51,176.991,18
53,53,30.52,176.933,18
54,54,30.582,176.574,18
55,55,30.672,176.056,18
56,56,30.53,176.875,18
57,57,30.674,176.045,18
58,58,30.666,176.091,18
59,59,30.646,176.206,18
60,60,31.033,174.008,18
61,61,30.809,175.273,18
62,62,30.779,175.444,18
63,63,30.87,174.927,17
64,64,30.827,175.171,17
65,65,30.785,175.410,17
66,66,30.851,175.035,17
67,67,30.816,175.234,17
68,68,30.86,174.984,17
69,69,30.896,174.780,17
70,70,31.044,173.947,17
71,71,30.99,174.250,17
72,72,30.972,174.351,17
73,73,31.111,173.572,17
74,74,31.092,173.678,17
75,75,31.074,173.779,17
76,76,30.918,174.656,17
77,77,30.97,174.362,17
78,78,31.063,173.840,17
79,79,31.243,172.839,17
80,80,31.868,169.449,18
81,81,50.606,106.707,18
82,82,79.11,68.259,18
83,83,97.978,55.114,18
84,84,90.84,59.445,10
85,85,111.678,48.353,23
86,86,97.366,55.461,22
87,87,103.527,52.160,22
88,88,75.331,71.684,21
89,89,32.158,167.921,21
90,90,29.978,180.132,19
91,91,30.404,177.608,18
92,92,30.133,179.206,19
93,93,30.274,178.371,19
94,94,30.382,177.737,19
95,95,30.573,176.626,19
96,96,30.794,175.359,18
97,97,30.449,177.346,19
98,98,30.434,177.433,19
99,99,30.489,177.113,19
100,100,30.492,177.096,19
101,101,30.537,176.835,19
102,102,30.601,176.465,19
103,103,30.584,176.563,19
104,104,30.751,175.604,19
105,105,30.927,174.605,19
106,106,30.92,174.644,19
107,107,32.552,165.888,19
108,108,51.667,104.515,19
109,109,74.836,72.158,11
110,110,109.828,49.168,24
111,111,108.187,49.914,23
112,112,74.68,72.309,23
113,113,35.432,152.405,21
114,114,94.147,57.357,22
115,115,98.333,54.915,23
116,116,100.04,53.978,23
117,117,99.132,54.473,23
118,118,106.088,50.901,23
119,119,74.314,72.665,22
120,120,32.156,167.931,21
121,121,30.341,177.977,20
122,122,29.879,180.729,17
123,123,30.107,179.360,17
124,124,30.204,178.784,16
125,125,30.323,178.083,15
126,126,30.29,178.277,15
127,127,30.391,177.684,15
128,128,30.37,177.807,15
129,129,30.461,177.276,15
130,130,30.304,178.194,15
131,131,30.322,178.089,15
132,132,30.503,177.032,14
133,133,30.593,176.511,14
134,134,30.597,176.488,14
135,135,30.546,176.783,14
136,136,30.551,176.754,14
137,137,30.713,175.821,14
138,138,30.615,176.384,14
139,139,30.711,175.833,13
140,140,30.96,174.419,14
141,141,30.827,175.171,14
142,142,30.672,176.056,14
143,143,30.904,174.735,14
144,144,31.137,173.427,15
145,145,31.275,172.662,16
146,146,32.562,165.837,18
147,147,53.787,100.396,26
148,148,83.906,64.358,28
149,149,107.513,50.226,31
150,150,70.112,77.020,1
151,151,142.308,37.946,32
152,152,52.914,102.052,32
153,153,32.172,167.848,31
154,154,30.535,176.846,30
155,155,30.524,176.910,30
156,156,30.638,176.252,30
157,157,30.526,176.898,29
158,158,30.72,175.781,29
159,159,30.802,175.313,29
160,160,31.357,172.210,30
161,161,31.663,170.546,30
162,162,31.614,170.810,30
163,163,31.691,170.395,30
164,164,32.021,168.639,30
165,165,32.263,167.374,30
166,166,52.63,102.603,30
167,167,182.685,29.559,32
168,168,103.615,52.116,33
169,169,79.502,67.923,33
170,170,121.359,44.496,33
171,171,103.253,52.299,33
172,172,68.516,78.814,33
173,173,31.572,171.038,33
174,174,29.864,180.820,33
175,175,30.884,174.848,33
176,176,30.369,177.813,33
177,177,30.482,177.154,33
178,178,30.918,174.656,33
179,179,30.988,174.261,33
