,Lap,LapTime,LapSpeed,RunningPos
0,0,,,18
1,1,34.665,155.777,18
2,2,33.079,163.246,17
3,3,33.438,161.493,16
4,4,33.582,160.800,15
5,5,33.849,159.532,14
6,6,34.173,158.019,15
7,7,34.279,157.531,15
8,8,34.395,157.000,16
9,9,34.725,155.508,16
10,10,34.518,156.440,17
11,11,34.523,156.417,17
12,12,34.665,155.777,17
13,13,34.534,156.368,17
14,14,34.617,155.993,16
15,15,34.641,155.885,16
16,16,34.761,155.347,16
17,17,34.706,155.593,16
18,18,35.053,154.052,16
19,19,34.958,154.471,16
20,20,35.057,154.035,16
21,21,34.993,154.317,16
22,22,34.77,155.306,16
23,23,34.876,154.834,15
24,24,35.157,153.597,15
25,25,35.035,154.132,15
26,26,35.56,151.856,14
27,27,35.199,153.413,14
28,28,35.237,153.248,14
29,29,35.399,152.547,14
30,30,35.298,152.983,14
31,31,35.303,152.962,11
32,32,35.388,152.594,7
33,33,35.696,151.277,4
34,34,35.305,152.953,3
35,35,35.202,153.400,3
36,36,35.659,151.434,3
37,37,35.388,152.594,3
38,38,35.454,152.310,3
39,39,58.971,91.570,21
40,40,46.59,115.905,29
41,41,33.825,159.645,24
42,42,33.742,160.038,23
43,43,33.897,159.306,22
44,44,33.871,159.428,22
45,45,34.085,158.427,22
46,46,34.313,157.375,21
47,47,34.422,156.876,21
48,48,34.362,157.150,20
49,49,34.205,157.872,20
50,50,34.352,157.196,19
51,51,34.666,155.772,19
52,52,34.605,156.047,19
53,53,34.678,155.718,19
54,54,34.548,156.304,19
55,55,34.661,155.795,19
56,56,34.555,156.273,19
57,57,34.726,155.503,19
58,58,34.59,156.114,19
59,59,34.507,156.490,19
60,60,34.762,155.342,19
61,61,34.639,155.894,19
62,62,34.486,156.585,19
63,63,34.42,156.886,19
64,64,34.659,155.804,19
65,65,34.901,154.723,19
66,66,35.171,153.536,19
67,67,35.012,154.233,18
68,68,34.791,155.213,18
69,69,34.802,155.163,16
70,70,43.269,124.801,16
71,71,61.35,88.020,16
72,72,102.954,52.451,23
73,73,91.691,58.893,15
74,74,99.308,54.376,15
75,75,81.85,65.974,15
76,76,34.596,156.087,16
77,77,33.586,160.781,14
78,78,33.639,160.528,15
79,79,33.891,159.334,14
80,80,33.966,158.983,14
81,81,57.097,94.576,14
82,82,89.571,60.287,14
83,83,97.906,55.155,14
84,84,107.92,50.037,26
85,85,87.145,61.966,13
86,86,98.096,55.048,12
87,87,99.292,54.385,12
88,88,85.277,63.323,12
89,89,34.312,157.379,8
90,90,33.289,162.216,10
91,91,33.245,162.430,10
92,92,33.367,161.837,10
93,93,33.6,160.714,10
