,Lap,LapTime,LapSpeed,RunningPos
0,0,,,22
1,1,34.488,156.576,20
2,2,33.344,161.948,19
3,3,33.619,160.623,19
4,4,33.586,160.781,18
5,5,33.893,159.325,18
6,6,34.137,158.186,18
7,7,34.355,157.182,19
8,8,34.525,156.408,19
9,9,34.773,155.293,19
10,10,34.504,156.504,19
11,11,34.571,156.200,19
12,12,34.487,156.581,19
13,13,34.904,154.710,20
14,14,35.105,153.824,20
15,15,34.887,154.785,20
16,16,34.728,155.494,20
17,17,35.253,153.178,21
18,18,35.176,153.514,21
19,19,35.442,152.362,22
20,20,35.039,154.114,22
21,21,35.237,153.248,22
22,22,35.406,152.517,23
23,23,35.669,151.392,23
24,24,35.261,153.144,23
25,25,35.215,153.344,23
26,26,35.127,153.728,23
27,27,35.285,153.040,23
28,28,35.439,152.375,23
29,29,35.187,153.466,23
30,30,35.295,152.996,23
31,31,35.88,150.502,21
32,32,35.845,150.649,15
33,33,60.347,89.482,25
34,34,46.546,116.014,35
35,35,33.625,160.595,34
36,36,33.745,160.024,33
37,37,33.791,159.806,32
38,38,34.078,158.460,32
39,39,34.158,158.089,31
40,40,34.56,156.250,28
41,41,34.59,156.114,23
42,42,35.772,150.956,24
43,43,34.36,157.159,24
44,44,34.616,155.997,24
45,45,34.619,155.984,24
46,46,34.595,156.092,24
47,47,34.555,156.273,24
48,48,34.877,154.830,24
49,49,34.585,156.137,24
50,50,34.895,154.750,25
51,51,34.72,155.530,25
52,52,34.781,155.257,25
53,53,34.948,154.515,25
54,54,35.035,154.132,25
55,55,35.282,153.053,27
56,56,35.207,153.379,27
57,57,34.986,154.347,27
58,58,35.024,154.180,27
59,59,35.382,152.620,27
60,60,35.178,153.505,27
61,61,35.049,154.070,27
62,62,34.95,154.506,27
63,63,35.055,154.044,27
64,64,35.187,153.466,27
65,65,35.186,153.470,27
66,66,35.119,153.763,27
67,67,35.305,152.953,27
68,68,35.514,152.053,28
69,69,37.99,142.143,28
70,70,76.026,71.028,27
71,71,96.59,55.906,27
72,72,97.787,55.222,27
73,73,62.279,86.707,27
74,74,65.805,82.061,27
75,75,68.14,79.249,28
76,76,37.448,144.200,33
77,77,35.076,153.951,33
78,78,35.24,153.235,33
79,79,35.257,153.161,32
80,80,36.873,146.449,32
81,81,57.503,93.908,32
82,82,89.818,60.122,32
83,83,97.964,55.122,32
84,84,130.863,41.265,35
85,85,70.845,76.223,32
86,86,90.053,59.965,31
87,87,108.975,49.553,31
88,88,66.081,81.718,31
89,89,35.048,154.074,33
90,90,33.519,161.103,32
91,91,33.761,159.948,31
92,92,33.845,159.551,29
93,93,34.118,158.274,30
94,94,34.391,157.018,30
95,95,34.101,158.353,30
96,96,34.331,157.292,30
97,97,35.044,154.092,32
98,98,34.654,155.826,32
99,99,34.379,157.073,31
100,100,34.232,157.747,30
101,101,34.323,157.329,29
102,102,34.299,157.439,29
103,103,35.267,153.118,29
104,104,35.115,153.780,30
105,105,34.629,155.939,30
106,106,34.641,155.885,29
107,107,34.692,155.655,29
108,108,34.61,156.024,29
109,109,34.797,155.186,29
110,110,34.879,154.821,29
111,111,34.754,155.378,29
112,112,34.794,155.199,29
113,113,34.94,154.551,29
114,114,36.82,146.659,31
115,115,60.561,89.166,35
116,116,47.256,114.271,35
117,117,34.14,158.172,35
118,118,33.873,159.419,34
119,119,33.939,159.109,35
120,120,33.915,159.222,34
121,121,34.169,158.038,34
122,122,34.125,158.242,33
123,123,34.24,157.710,31
124,124,34.053,158.576,30
125,125,34.018,158.739,28
126,126,34.32,157.343,27
127,127,34.618,155.988,28
128,128,34.483,156.599,27
129,129,34.27,157.572,27
130,130,34.509,156.481,28
131,131,34.577,156.173,27
132,132,34.63,155.934,27
133,133,34.736,155.458,28
134,134,34.878,154.825,29
135,135,35.224,153.305,31
136,136,34.91,154.683,32
137,137,34.812,155.119,32
138,138,34.882,154.808,32
139,139,35.176,153.514,32
140,140,34.942,154.542,32
141,141,34.982,154.365,32
142,142,35.113,153.789,32
143,143,35.556,151.873,33
144,144,35.458,152.293,33
145,145,35.269,153.109,33
146,146,35.078,153.943,33
147,147,35.179,153.501,33
148,148,35.196,153.427,33
149,149,35.292,153.009,33
150,150,35.696,151.277,34
151,151,35.222,153.313,34
152,152,35.119,153.763,34
153,153,35.482,152.190,34
154,154,35.612,151.634,34
155,155,35.6,151.685,34
156,156,35.839,150.674,34
157,157,35.736,151.108,34
158,158,35.651,151.468,34
159,159,35.596,151.702,34
160,160,35.67,151.388,34
161,161,35.654,151.456,34
162,162,35.935,150.271,34
163,163,35.798,150.846,34
164,164,35.802,150.830,34
165,165,52.719,102.430,34
166,166,78.86,68.476,34
167,167,98.081,55.057,34
168,168,89.374,60.420,34
169,169,135.152,39.955,34
170,170,79.185,68.195,34
171,171,106.349,50.776,34
172,172,66.1,81.694,35
173,173,34.58,156.160,33
174,174,33.748,160.009,33
175,175,33.863,159.466,33
176,176,33.81,159.716,33
177,177,34.146,158.144,33
178,178,34.57,156.205,33
179,179,34.113,158.297,33
180,180,34.661,155.795,33
181,181,34.447,156.763,33
182,182,34.571,156.200,33
183,183,34.581,156.155,33
184,184,34.593,156.101,33
185,185,34.733,155.472,32
186,186,34.763,155.338,31
187,187,35.217,153.335,31
188,188,34.47,156.658,31
189,189,34.66,155.799,31
190,190,34.644,155.871,31
191,191,34.574,156.187,29
192,192,34.99,154.330,29
193,193,34.822,155.074,29
194,194,34.892,154.763,29
195,195,35.025,154.176,29
196,196,34.645,155.867,29
197,197,34.876,154.834,29
198,198,34.805,155.150,29
199,199,35.126,153.732,29
200,200,34.78,155.262,29
201,201,35.279,153.066,29
202,202,35.101,153.842,29
203,203,35.239,153.239,29
204,204,35.263,153.135,29
205,205,35.214,153.348,29
206,206,41.697,129.506,29
207,207,57.233,94.351,29
208,208,76.91,70.212,28
209,209,95.323,56.649,28
210,210,94.867,56.922,28
211,211,97.27,55.516,28
212,212,80.004,67.497,28
213,213,38.482,140.325,28
214,214,81.884,65.947,26
215,215,106.066,50.912,26
216,216,68.201,79.178,25
217,217,34.639,155.894,24
218,218,33.854,159.508,26
219,219,33.568,160.867,27
220,220,33.77,159.905,26
221,221,33.9,159.292,24
222,222,34.037,158.651,24
223,223,34.106,158.330,24
224,224,34.165,158.056,24
225,225,34.039,158.642,24
226,226,34.436,156.813,24
227,227,34.488,156.576,25
228,228,34.538,156.350,25
229,229,34.386,157.041,23
230,230,34.467,156.672,23
231,231,34.532,156.377,23
232,232,34.367,157.127,23
233,233,34.464,156.685,23
234,234,34.668,155.763,23
235,235,34.742,155.431,23
236,236,34.73,155.485,23
237,237,34.705,155.597,23
238,238,34.757,155.364,23
239,239,34.994,154.312,23
240,240,34.912,154.675,23
241,241,34.733,155.472,23
242,242,35.027,154.167,23
243,243,35.27,153.105,23
244,244,35.313,152.918,23
245,245,34.857,154.919,23
246,246,35.332,152.836,23
247,247,35.239,153.239,23
248,248,35.263,153.135,22
249,249,35.44,152.370,22
250,250,35.194,153.435,22
251,251,35.36,152.715,22
252,252,35.166,153.557,21
253,253,35.578,151.779,21
254,254,35.397,152.555,21
255,255,35.491,152.151,21
256,256,35.623,151.587,21
257,257,35.608,151.651,21
258,258,35.577,151.783,21
259,259,35.8,150.838,21
260,260,35.682,151.337,21
261,261,35.477,152.211,21
262,262,35.548,151.907,21
