,Lap,LapTime,LapSpeed,RunningPos
0,0,,,26
1,1,34.471,156.653,23
2,2,33.209,162.607,21
3,3,33.87,159.433,22
4,4,34.015,158.753,23
5,5,34.022,158.721,22
6,6,34.241,157.706,22
7,7,34.469,156.663,22
8,8,34.337,157.265,22
9,9,34.535,156.363,22
10,10,34.521,156.427,22
11,11,34.822,155.074,23
12,12,34.765,155.329,23
13,13,35.045,154.088,24
14,14,34.949,154.511,25
15,15,35.121,153.754,25
16,16,35.028,154.162,25
17,17,34.962,154.453,25
18,18,35.007,154.255,25
19,19,35.061,154.017,24
20,20,35.087,153.903,24
21,21,34.991,154.325,24
22,22,35.055,154.044,24
23,23,35.372,152.663,24
24,24,35.471,152.237,25
25,25,35.33,152.845,25
26,26,35.223,153.309,25
27,27,35.267,153.118,25
28,28,35.359,152.719,25
29,29,35.288,153.027,25
30,30,35.495,152.134,25
31,31,60.147,89.780,36
32,32,46.541,116.027,35
33,33,33.559,160.911,34
34,34,33.653,160.461,31
35,35,33.708,160.199,30
36,36,33.801,159.759,29
37,37,33.891,159.334,28
38,38,33.925,159.175,28
39,39,34.055,158.567,27
40,40,34.061,158.539,22
41,41,34.111,158.307,18
42,42,34.114,158.293,17
43,43,34.033,158.670,16
44,44,34.201,157.890,16
45,45,34.357,157.173,16
46,46,34.392,157.013,16
47,47,34.34,157.251,16
48,48,34.299,157.439,16
49,49,34.492,156.558,16
50,50,34.44,156.794,16
51,51,34.659,155.804,16
52,52,34.665,155.777,16
53,53,34.982,154.365,16
54,54,34.762,155.342,16
55,55,34.799,155.177,16
56,56,35.056,154.039,17
57,57,34.786,155.235,17
58,58,34.816,155.101,17
59,59,34.887,154.785,17
60,60,34.948,154.515,17
61,61,34.893,154.759,17
62,62,34.933,154.582,17
63,63,34.973,154.405,17
64,64,34.915,154.661,17
65,65,35.282,153.053,17
66,66,35.122,153.750,17
67,67,35.177,153.509,17
68,68,35.271,153.100,17
69,69,35.642,151.507,17
70,70,43.837,123.184,17
71,71,60.445,89.337,17
72,72,99.669,54.179,17
73,73,88.921,60.728,6
74,74,96.783,55.795,6
75,75,89.41,60.396,7
76,76,34.791,155.213,8
77,77,34.419,156.890,17
78,78,34.564,156.232,21
79,79,34.471,156.653,21
80,80,34.41,156.931,22
81,81,59.703,90.448,22
82,82,90.697,59.539,22
83,83,98.236,54.970,22
84,84,104.516,51.667,28
85,85,92.0,58.696,22
86,86,94.97,56.860,21
87,87,104.362,51.743,21
88,88,76.279,70.793,20
89,89,34.683,155.696,21
90,90,33.61,160.666,21
91,91,33.643,160.509,22
92,92,33.52,161.098,20
93,93,33.94,159.104,20
94,94,33.899,159.297,20
95,95,34.037,158.651,20
96,96,34.32,157.343,21
97,97,34.359,157.164,21
98,98,34.316,157.361,21
99,99,34.31,157.389,21
100,100,34.267,157.586,20
101,101,34.306,157.407,20
102,102,34.268,157.581,20
103,103,34.383,157.054,20
104,104,34.792,155.208,20
105,105,34.458,156.713,20
106,106,34.509,156.481,19
107,107,34.587,156.128,19
108,108,34.383,157.054,19
109,109,35.006,154.259,19
110,110,34.719,155.534,19
111,111,34.919,154.644,19
112,112,35.01,154.242,19
113,113,35.178,153.505,20
114,114,34.841,154.990,20
115,115,35.115,153.780,19
116,116,59.443,90.843,33
117,117,46.32,116.580,34
118,118,33.454,161.416,33
119,119,33.569,160.863,31
120,120,33.789,159.815,30
121,121,33.684,160.314,30
122,122,34.197,157.909,28
123,123,33.821,159.664,26
124,124,34.048,158.600,26
125,125,34.195,157.918,23
126,126,34.2,157.895,21
127,127,34.13,158.219,21
128,128,34.134,158.200,19
129,129,34.297,157.448,19
130,130,34.324,157.324,18
131,131,34.415,156.908,18
132,132,34.413,156.917,18
133,133,34.586,156.133,19
134,134,34.728,155.494,19
135,135,34.595,156.092,19
136,136,34.804,155.155,19
137,137,34.906,154.701,19
138,138,34.866,154.879,19
139,139,35.033,154.140,19
140,140,35.047,154.079,20
141,141,35.051,154.061,20
142,142,34.688,155.673,19
143,143,34.931,154.590,20
144,144,34.975,154.396,20
145,145,34.833,155.025,20
146,146,35.371,152.667,21
