,Lap,LapTime,LapSpeed,RunningPos
0,0,,,24
1,1,21.295,88.922,23
2,2,20.861,90.772,24
3,3,20.975,90.279,24
4,4,20.772,91.161,24
5,5,20.861,90.772,25
6,6,20.833,90.894,25
7,7,20.908,90.568,25
8,8,20.977,90.270,25
9,9,20.915,90.538,26
10,10,20.901,90.599,25
11,11,20.947,90.400,25
12,12,21.096,89.761,26
13,13,21.096,89.761,26
14,14,21.079,89.833,26
15,15,21.045,89.979,26
16,16,21.005,90.150,26
17,17,21.028,90.051,26
18,18,20.969,90.305,26
19,19,21.049,89.962,26
20,20,21.135,89.595,26
21,21,21.198,89.329,27
22,22,21.345,88.714,27
23,23,21.357,88.664,27
24,24,21.216,89.253,27
25,25,21.366,88.627,28
26,26,21.317,88.831,28
27,27,21.335,88.756,28
28,28,21.319,88.822,28
29,29,21.276,89.002,28
30,30,21.226,89.211,28
31,31,29.196,64.858,28
32,32,41.77,45.334,28
33,33,33.46,56.593,20
34,34,72.362,26.168,30
35,35,51.035,37.104,29
36,36,50.904,37.199,29
37,37,57.483,32.942,29
38,38,43.345,43.687,29
39,39,42.268,44.800,29
40,40,21.49,88.115,29
41,41,21.136,89.591,29
42,42,21.229,89.199,30
43,43,21.055,89.936,28
44,44,20.842,90.855,28
45,45,20.901,90.599,28
46,46,21.054,89.940,28
47,47,21.105,89.723,28
48,48,21.33,88.776,28
49,49,21.334,88.760,28
50,50,21.423,88.391,28
51,51,21.204,89.304,27
52,52,21.357,88.664,28
53,53,21.318,88.826,28
54,54,21.332,88.768,27
55,55,21.49,88.115,27
56,56,21.479,88.161,27
57,57,21.281,88.981,27
58,58,21.092,89.778,26
59,59,21.239,89.157,26
60,60,21.186,89.380,26
61,61,21.328,88.785,26
62,62,21.281,88.981,26
63,63,21.341,88.731,26
64,64,21.25,89.111,26
65,65,21.322,88.810,26
66,66,21.52,87.993,26
67,67,21.32,88.818,26
68,68,21.365,88.631,26
69,69,21.316,88.835,26
70,70,21.915,86.407,26
71,71,35.0,54.103,25
72,72,43.62,43.411,25
73,73,33.743,56.118,18
74,74,68.366,27.698,26
75,75,48.891,38.731,23
76,76,51.265,36.937,23
77,77,51.979,36.430,23
78,78,35.404,53.485,23
79,79,21.264,89.052,23
80,80,21.195,89.342,24
81,81,43.807,43.226,24
82,82,47.982,39.465,24
83,83,57.015,33.212,24
84,84,49.03,38.621,24
85,85,52.234,36.252,24
86,86,47.901,39.532,24
87,87,50.335,37.620,19
88,88,52.327,36.188,18
89,89,54.082,35.013,18
90,90,48.875,38.744,18
91,91,54.747,34.588,18
92,92,43.955,43.080,18
93,93,21.183,89.392,18
94,94,20.715,91.412,17
95,95,20.826,90.925,17
96,96,20.885,90.668,18
97,97,20.92,90.516,17
98,98,20.789,91.087,16
99,99,20.938,90.438,16
100,100,20.952,90.378,16
101,101,20.934,90.456,16
102,102,21.085,89.808,16
103,103,21.123,89.646,16
104,104,21.161,89.485,16
105,105,21.179,89.409,15
106,106,21.087,89.799,15
107,107,20.962,90.335,15
108,108,21.019,90.090,15
109,109,21.001,90.167,15
110,110,21.007,90.141,15
111,111,21.095,89.765,15
112,112,21.137,89.587,15
113,113,21.019,90.090,15
114,114,21.141,89.570,15
115,115,21.18,89.405,15
116,116,21.136,89.591,15
117,117,21.125,89.638,15
118,118,21.125,89.638,15
119,119,21.151,89.528,15
120,120,21.104,89.727,15
121,121,21.08,89.829,15
122,122,27.456,68.969,15
123,123,36.818,51.431,15
124,124,47.572,39.805,15
125,125,50.776,37.293,15
126,126,39.801,47.577,10
127,127,66.57,28.445,18
128,128,51.588,36.706,18
129,129,50.3,37.646,17
130,130,54.638,34.657,17
131,131,44.545,42.510,18
132,132,21.266,89.044,17
133,133,20.736,91.319,16
134,134,20.703,91.465,16
135,135,20.804,91.021,14
136,136,20.88,90.690,14
137,137,20.742,91.293,14
138,138,20.874,90.716,14
139,139,20.876,90.707,14
140,140,21.067,89.885,14
141,141,20.921,90.512,14
142,142,20.929,90.477,14
143,143,20.879,90.694,14
144,144,21.049,89.962,14
145,145,21.054,89.940,14
146,146,21.042,89.991,14
147,147,21.208,89.287,14
148,148,21.252,89.102,14
149,149,21.179,89.409,14
150,150,21.17,89.447,14
151,151,21.108,89.710,14
152,152,21.23,89.195,14
153,153,21.199,89.325,14
154,154,21.227,89.207,14
