,Lap,LapTime,LapSpeed,RunningPos
0,0,,,30
1,1,31.796,154.661,30
2,2,30.998,158.642,29
3,3,30.884,159.228,29
4,4,37.942,129.608,26
5,5,88.668,55.461,26
6,6,85.725,57.365,20
7,7,110.625,44.453,27
8,8,65.21,75.412,25
9,9,32.47,151.451,27
10,10,31.456,156.333,28
11,11,31.489,156.169,28
12,12,31.5,156.114,27
13,13,31.21,157.565,26
14,14,31.268,157.273,26
15,15,32.159,152.915,26
16,16,31.687,155.193,27
17,17,31.782,154.729,28
18,18,32.292,152.285,28
19,19,31.685,155.203,27
20,20,31.605,155.596,27
21,21,31.848,154.408,28
22,22,31.567,155.783,28
23,23,31.573,155.753,28
24,24,43.68,112.582,28
25,25,72.371,67.950,28
26,26,82.924,59.302,15
27,27,106.662,46.105,29
28,28,100.327,49.016,28
29,29,65.982,74.529,28
30,30,32.688,150.441,27
31,31,31.098,158.132,27
32,32,30.987,158.699,26
33,33,31.137,157.934,26
34,34,31.467,156.278,27
35,35,31.607,155.586,28
36,36,31.485,156.189,28
37,37,31.297,157.127,28
38,38,31.5,156.114,28
39,39,31.474,156.243,28
40,40,31.656,155.345,28
41,41,31.575,155.743,28
42,42,31.591,155.665,28
43,43,31.696,155.149,28
44,44,32.299,152.252,28
45,45,31.933,153.997,28
46,46,31.614,155.551,28
47,47,31.634,155.453,28
48,48,31.476,156.233,28
49,49,31.807,154.607,28
50,50,31.796,154.661,28
51,51,31.778,154.749,28
52,52,32.315,152.177,27
53,53,31.885,154.229,27
54,54,31.763,154.822,27
55,55,31.813,154.578,27
56,56,31.829,154.501,27
57,57,31.86,154.350,27
58,58,31.827,154.510,27
59,59,31.835,154.471,27
60,60,32.116,153.120,27
61,61,32.214,152.654,27
62,62,32.13,153.053,27
63,63,32.191,152.763,27
64,64,32.186,152.787,27
65,65,32.181,152.811,27
66,66,32.267,152.403,27
67,67,32.296,152.267,27
68,68,32.439,151.595,27
69,69,32.357,151.979,27
70,70,32.562,151.023,27
71,71,32.95,149.244,27
72,72,33.224,148.013,27
73,73,33.15,148.344,26
74,74,32.756,150.128,26
75,75,32.825,149.813,26
76,76,32.656,150.588,26
77,77,33.035,148.860,25
78,78,32.996,149.036,24
79,79,32.521,151.213,24
80,80,32.694,150.413,24
81,81,32.645,150.639,24
82,82,39.448,124.660,24
83,83,54.412,90.377,24
