,Lap,LapTime,LapSpeed,RunningPos
0,0,,,6
1,1,16.262,117.993,3
2,2,15.795,121.481,3
3,3,15.876,120.862,3
4,4,15.985,120.038,4
5,5,15.973,120.128,4
6,6,16.022,119.760,4
7,7,16.353,117.336,6
8,8,16.167,118.686,7
9,9,16.397,117.021,9
10,10,16.869,113.747,13
11,11,16.786,114.310,15
12,12,16.358,117.300,15
13,13,16.426,116.815,15
14,14,16.161,118.730,15
15,15,16.247,118.102,15
16,16,16.312,117.631,15
17,17,16.214,118.342,14
18,18,16.455,116.609,14
19,19,16.441,116.708,14
20,20,16.431,116.779,14
21,21,16.374,117.186,13
22,22,16.541,116.003,13
23,23,16.478,116.446,13
24,24,16.389,117.079,13
25,25,16.413,116.907,13
26,26,16.404,116.971,13
27,27,16.671,115.098,13
28,28,16.498,116.305,13
29,29,16.602,115.576,13
30,30,16.496,116.319,13
31,31,16.319,117.581,13
32,32,16.318,117.588,13
33,33,16.385,117.107,13
34,34,16.212,118.357,12
35,35,16.375,117.179,12
36,36,16.278,117.877,12
37,37,16.19,118.518,12
38,38,16.367,117.236,11
39,39,16.174,118.635,11
40,40,16.046,119.581,11
41,41,16.063,119.455,11
42,42,16.337,117.451,11
43,43,16.225,118.262,11
44,44,16.255,118.044,11
45,45,16.304,117.689,10
46,46,16.383,117.121,10
47,47,16.311,117.638,10
48,48,16.31,117.646,10
49,49,16.155,118.774,10
50,50,16.115,119.069,10
51,51,16.065,119.440,10
52,52,16.135,118.922,10
53,53,16.038,119.641,10
54,54,15.934,120.422,10
55,55,15.99,120.000,10
56,56,15.913,120.581,10
57,57,15.823,121.267,10
58,58,15.813,121.343,10
59,59,15.965,120.188,10
60,60,15.957,120.248,10
61,61,15.787,121.543,10
62,62,15.888,120.770,10
63,63,15.768,121.689,10
64,64,15.859,120.991,10
65,65,16.044,119.596,10
66,66,15.994,119.970,10
67,67,16.029,119.708,10
68,68,16.078,119.343,10
69,69,16.013,119.828,10
70,70,15.923,120.505,10
71,71,15.883,120.808,10
72,72,16.017,119.798,10
73,73,16.063,119.455,10
74,74,16.058,119.492,10
75,75,15.97,120.150,10
76,76,15.94,120.376,10
77,77,16.04,119.626,10
78,78,15.976,120.105,10
79,79,15.984,120.045,10
80,80,15.963,120.203,10
81,81,15.978,120.090,10
82,82,15.906,120.634,10
83,83,15.889,120.763,10
