,Lap,LapTime,LapSpeed,RunningPos
0,0,,,38
1,1,52.759,181.505,37
2,2,51.54,185.797,39
3,3,51.029,187.658,38
4,4,51.088,187.441,35
5,5,51.2,187.031,38
6,6,50.838,188.363,36
7,7,50.756,188.667,37
8,8,50.461,189.770,35
9,9,50.806,188.482,37
10,10,50.764,188.638,37
11,11,51.045,187.599,36
12,12,51.155,187.196,36
13,13,50.75,188.690,31
14,14,50.613,189.200,31
15,15,50.872,188.237,33
16,16,51.071,187.504,34
17,17,50.795,188.522,35
18,18,50.781,188.574,36
19,19,50.691,188.909,35
20,20,50.691,188.909,33
21,21,50.949,187.953,34
22,22,50.59,189.286,35
23,23,50.449,189.815,35
24,24,50.689,188.917,39
25,25,49.877,191.992,37
26,26,49.89,191.942,28
27,27,49.987,191.570,21
28,28,49.905,191.885,14
29,29,50.44,189.849,28
30,30,50.266,190.507,37
31,31,49.44,193.689,36
32,32,49.875,192.000,37
33,33,49.677,192.765,36
34,34,49.66,192.831,37
35,35,49.391,193.881,36
36,36,49.579,193.146,34
37,37,49.718,192.606,32
38,38,49.828,192.181,32
39,39,50.069,191.256,34
40,40,49.674,192.777,34
41,41,49.733,192.548,21
42,42,49.056,195.205,20
43,43,103.844,92.215,23
44,44,80.912,118.351,23
45,45,94.989,100.812,23
46,46,138.173,69.304,23
47,47,138.15,69.316,22
48,48,138.628,69.077,22
49,49,150.547,63.608,27
50,50,143.828,66.580,35
51,51,108.068,88.611,32
52,52,82.44,116.157,34
53,53,134.974,70.947,31
54,54,139.597,68.597,31
55,55,141.883,67.492,28
56,56,115.366,83.005,29
57,57,53.587,178.700,35
58,58,49.935,191.769,34
59,59,51.133,187.276,34
60,60,52.702,181.701,35
61,61,92.331,103.714,35
62,62,135.268,70.793,35
63,63,124.161,77.126,5
64,64,160.294,59.740,32
65,65,135.146,70.857,25
66,66,113.839,84.119,26
67,67,53.52,178.924,32
68,68,50.269,190.495,31
69,69,50.799,188.508,31
70,70,51.192,187.060,32
71,71,51.053,187.570,32
