,Lap,LapTime,LapSpeed,RunningPos
0,0,,,28
1,1,53.338,179.534,28
2,2,51.382,186.369,29
3,3,50.778,188.586,16
4,4,51.054,187.566,10
5,5,51.029,187.658,9
6,6,50.783,188.567,6
7,7,50.763,188.641,7
8,8,50.615,189.193,10
9,9,50.693,188.902,6
10,10,50.838,188.363,9
11,11,51.202,187.024,14
12,12,51.088,187.441,13
13,13,51.054,187.566,16
14,14,50.613,189.200,14
15,15,50.747,188.701,13
16,16,50.927,188.034,12
17,17,50.859,188.285,13
18,18,50.803,188.493,15
19,19,50.757,188.664,16
20,20,50.626,189.152,14
21,21,50.945,187.967,16
22,22,50.678,188.958,15
23,23,50.457,189.785,16
24,24,50.163,190.898,12
25,25,50.197,190.768,14
26,26,50.521,189.545,25
27,27,50.525,189.530,33
28,28,50.261,190.525,37
29,29,49.771,192.401,32
30,30,49.428,193.736,27
31,31,49.625,192.967,27
32,32,49.791,192.324,26
33,33,49.741,192.517,28
34,34,49.401,193.842,26
35,35,49.822,192.204,26
36,36,49.938,191.758,33
37,37,49.956,191.689,36
38,38,50.01,191.482,39
39,39,50.329,190.268,39
40,40,49.722,192.591,39
41,41,77.032,124.312,33
42,42,56.685,168.934,34
43,43,78.024,122.731,32
44,44,88.247,108.514,31
45,45,84.556,113.250,31
46,46,137.795,69.495,31
47,47,138.498,69.142,31
48,48,137.362,69.714,31
49,49,131.702,72.710,15
50,50,136.74,70.031,13
51,51,127.253,75.252,15
52,52,74.114,129.206,13
53,53,133.632,71.659,14
54,54,137.523,69.632,14
55,55,142.445,67.226,14
56,56,126.619,75.628,12
57,57,53.18,180.068,13
58,58,49.609,193.029,12
59,59,49.824,192.197,20
60,60,51.023,187.680,30
61,61,95.529,100.242,30
62,62,134.199,71.357,30
63,63,123.282,77.676,1
64,64,215.731,44.389,34
65,65,97.623,98.092,34
66,66,100.525,95.260,34
67,67,52.653,181.870,33
68,68,50.087,191.187,26
69,69,50.648,189.070,25
70,70,51.133,187.276,26
71,71,51.117,187.335,26
72,72,51.036,187.632,24
73,73,51.143,187.240,28
74,74,50.932,188.015,27
75,75,50.996,187.779,28
76,76,50.825,188.411,30
77,77,51.815,184.811,33
78,78,50.844,188.341,33
79,79,49.482,193.525,21
80,80,51.362,186.441,29
81,81,51.352,186.478,31
82,82,51.368,186.420,32
83,83,50.557,189.410,31
84,84,51.204,187.017,32
85,85,51.293,186.692,32
86,86,51.11,187.361,32
87,87,50.829,188.396,32
88,88,50.33,190.264,32
89,89,50.479,189.703,32
90,90,49.87,192.019,33
91,91,50.462,189.767,31
92,92,51.078,187.478,32
93,93,50.325,190.283,30
94,94,49.915,191.846,21
95,95,50.749,188.693,18
96,96,50.765,188.634,17
97,97,50.853,188.307,19
98,98,50.587,189.298,16
99,99,50.681,188.947,12
100,100,50.758,188.660,7
101,101,50.743,188.716,11
102,102,50.236,190.620,6
103,103,50.677,188.961,7
104,104,50.28,190.453,7
105,105,50.162,190.901,6
106,106,49.94,191.750,5
107,107,49.978,191.604,2
108,108,50.473,189.725,2
109,109,50.542,189.466,1
110,110,49.777,192.378,3
111,111,50.324,190.287,4
112,112,74.552,128.447,3
113,113,57.612,166.215,3
114,114,50.393,190.026,1
115,115,49.616,193.002,2
116,116,49.095,195.050,3
117,117,49.096,195.046,3
118,118,49.365,193.984,3
119,119,49.103,195.019,3
120,120,48.847,196.041,5
121,121,82.527,116.035,4
122,122,130.877,73.168,5
123,123,175.823,54.464,29
124,124,120.324,79.585,28
125,125,142.247,67.320,28
126,126,114.757,83.446,28
127,127,52.279,183.171,28
128,128,50.712,188.831,29
129,129,50.634,189.122,28
130,130,50.604,189.234,29
131,131,50.516,189.564,30
132,132,50.409,189.966,28
133,133,50.409,189.966,30
134,134,50.116,191.077,30
135,135,49.98,191.597,29
136,136,49.43,193.729,29
137,137,49.842,192.127,28
138,138,49.641,192.905,31
139,139,49.344,194.066,29
140,140,49.945,191.731,27
141,141,49.902,191.896,24
142,142,50.084,191.199,26
143,143,50.232,190.635,27
144,144,50.569,189.365,29
145,145,50.074,191.237,30
146,146,50.11,191.100,31
147,147,49.805,192.270,28
148,148,49.847,192.108,30
149,149,49.876,191.996,28
150,150,49.711,192.633,28
151,151,49.509,193.419,28
152,152,49.057,195.202,26
153,153,49.604,193.049,26
154,154,49.391,193.881,26
155,155,49.959,191.677,28
156,156,49.546,193.275,26
157,157,49.897,191.915,26
158,158,49.98,191.597,27
159,159,50.094,191.161,29
160,160,50.251,190.563,28
161,161,49.726,192.575,28
162,162,49.8,192.289,27
163,163,50.157,190.921,29
164,164,77.615,123.378,21
165,165,57.115,167.662,21
166,166,50.089,191.180,21
167,167,49.686,192.730,21
168,168,49.771,192.401,21
169,169,49.905,191.885,21
170,170,49.436,193.705,21
171,171,49.512,193.408,21
172,172,50.11,191.100,19
173,173,49.426,193.744,14
174,174,49.003,195.417,11
175,175,49.424,193.752,10
176,176,49.365,193.984,11
177,177,49.586,193.119,9
178,178,49.45,193.650,10
179,179,49.591,193.100,10
180,180,49.277,194.330,9
181,181,49.338,194.090,10
182,182,49.709,192.641,11
183,183,49.539,193.302,11
184,184,49.284,194.302,10
185,185,49.176,194.729,10
186,186,49.395,193.866,12
187,187,48.974,195.532,11
188,188,48.432,197.721,8
