,Lap,LapTime,LapSpeed,RunningPos
0,0,,,30
1,1,53.118,180.278,29
2,2,51.438,186.166,30
3,3,51.166,187.156,32
4,4,50.968,187.883,25
5,5,51.049,187.584,24
6,6,50.808,188.474,23
7,7,50.748,188.697,23
8,8,50.57,189.361,23
9,9,50.736,188.742,24
10,10,50.862,188.274,24
11,11,51.192,187.060,29
12,12,51.128,187.295,27
13,13,51.002,187.757,30
14,14,50.56,189.399,27
15,15,50.793,188.530,27
16,16,50.938,187.993,26
17,17,50.8,188.504,27
18,18,50.742,188.719,26
19,19,50.789,188.545,28
20,20,50.73,188.764,28
21,21,50.863,188.270,28
22,22,50.586,189.301,26
23,23,50.468,189.744,26
24,24,50.522,189.541,31
25,25,50.133,191.012,30
26,26,49.834,192.158,19
27,27,50.137,190.997,16
28,28,50.028,191.413,16
29,29,49.497,193.466,12
30,30,49.616,193.002,12
31,31,49.636,192.924,11
32,32,49.829,192.177,11
33,33,49.671,192.789,12
34,34,49.439,193.693,12
35,35,49.921,191.823,11
36,36,49.691,192.711,9
37,37,49.602,193.057,9
38,38,49.693,192.703,10
39,39,49.982,191.589,11
40,40,49.65,192.870,11
41,41,49.817,192.224,5
42,42,49.559,193.224,4
43,43,49.617,192.998,2
44,44,79.861,119.908,2
45,45,135.58,70.630,2
46,46,139.262,68.762,2
47,47,138.545,69.118,2
48,48,139.447,68.671,2
49,49,148.198,64.616,12
50,50,141.839,67.513,17
51,51,124.158,77.128,14
52,52,74.514,128.513,15
53,53,132.086,72.498,12
54,54,137.724,69.530,12
55,55,141.683,67.588,12
56,56,128.431,74.561,13
57,57,53.142,180.196,12
58,58,49.872,192.012,20
59,59,49.214,194.579,8
60,60,49.86,192.058,4
61,61,85.301,112.261,4
62,62,132.01,72.540,4
63,63,159.399,60.076,22
64,64,130.006,73.658,18
65,65,139.384,68.702,16
66,66,120.822,79.257,17
67,67,53.235,179.882,15
68,68,50.407,189.974,10
69,69,50.735,188.745,10
70,70,51.11,187.361,12
71,71,51.144,187.236,13
72,72,51.104,187.383,15
73,73,50.973,187.864,13
74,74,50.825,188.411,9
75,75,50.93,188.023,10
76,76,50.953,187.938,13
77,77,50.818,188.437,7
78,78,50.748,188.697,10
79,79,50.773,188.604,4
80,80,50.667,188.999,5
81,81,50.971,187.872,8
82,82,50.994,187.787,5
83,83,50.943,187.975,6
84,84,50.979,187.842,7
85,85,51.083,187.460,7
86,86,51.147,187.225,7
87,87,50.85,188.319,11
88,88,50.567,189.373,11
89,89,50.452,189.804,12
90,90,50.229,190.647,9
91,91,50.681,188.947,10
92,92,50.751,188.686,12
93,93,50.572,189.354,8
94,94,50.574,189.346,6
95,95,50.816,188.445,9
96,96,50.916,188.074,9
97,97,50.99,187.802,13
98,98,50.593,189.275,11
99,99,50.754,188.675,9
100,100,50.804,188.489,6
101,101,50.746,188.705,10
102,102,50.369,190.117,10
103,103,50.764,188.638,12
104,104,50.519,189.552,19
105,105,50.119,191.065,13
106,106,49.801,192.285,11
107,107,50.003,191.509,9
108,108,50.587,189.298,9
109,109,76.379,125.375,27
110,110,56.874,168.372,27
111,111,50.56,189.399,26
112,112,49.653,192.858,26
113,113,68.813,139.160,30
114,114,58.024,165.035,32
115,115,52.487,182.445,32
116,116,52.54,182.261,31
117,117,52.693,181.732,31
118,118,53.156,180.149,27
119,119,53.388,179.366,27
120,120,63.722,150.278,27
121,121,62.086,154.238,26
122,122,104.95,91.243,24
123,123,126.644,75.614,2
124,124,136.034,70.394,1
125,125,164.483,58.219,30
126,126,112.654,85.004,30
127,127,51.257,186.823,25
128,128,50.412,189.955,17
129,129,50.315,190.321,16
130,130,50.706,188.853,18
131,131,50.431,189.883,17
132,132,50.509,189.590,20
133,133,50.224,190.666,19
134,134,50.097,191.149,21
135,135,50.234,190.628,25
136,136,49.694,192.699,25
137,137,49.78,192.366,24
138,138,49.591,193.100,25
139,139,49.495,193.474,21
140,140,49.955,191.693,22
141,141,50.33,190.264,23
142,142,49.707,192.649,23
143,143,50.304,190.363,22
144,144,50.514,189.571,22
145,145,49.778,192.374,20
146,146,49.929,191.792,21
147,147,49.769,192.409,22
148,148,50.026,191.420,20
149,149,49.838,192.143,18
150,150,49.808,192.258,17
151,151,49.35,194.043,18
152,152,49.429,193.732,18
153,153,49.539,193.302,18
154,154,49.407,193.819,16
155,155,49.75,192.482,16
156,156,49.678,192.761,15
157,157,49.857,192.069,14
158,158,49.854,192.081,13
159,159,49.989,191.562,12
160,160,50.108,191.107,14
161,161,49.674,192.777,12
162,162,49.966,191.650,11
163,163,50.303,190.366,10
164,164,50.689,188.917,8
165,165,50.041,191.363,9
166,166,49.652,192.862,11
167,167,49.758,192.451,12
168,168,49.67,192.792,13
169,169,50.167,190.882,13
170,170,50.018,191.451,12
171,171,50.066,191.268,7
172,172,75.477,126.873,5
173,173,57.162,167.524,8
174,174,49.75,192.482,10
175,175,49.44,193.689,11
176,176,49.351,194.039,10
177,177,49.678,192.761,12
178,178,49.456,193.627,12
179,179,49.588,193.111,11
180,180,49.278,194.326,12
181,181,49.354,194.027,12
182,182,49.559,193.224,10
183,183,49.545,193.279,10
184,184,49.334,194.105,11
185,185,49.193,194.662,11
186,186,49.267,194.369,9
187,187,48.992,195.460,9
188,188,48.507,197.415,7
