,Lap,LapTime,LapSpeed,RunningPos
0,0,,,27
1,1,53.456,179.138,27
2,2,51.284,186.725,25
3,3,51.427,186.206,33
4,4,51.317,186.605,37
5,5,50.992,187.794,34
6,6,51.013,187.717,37
7,7,50.75,188.690,36
8,8,50.48,189.699,36
9,9,50.451,189.808,29
10,10,50.901,188.130,32
11,11,50.94,187.986,27
12,12,51.179,187.108,28
13,13,50.889,188.174,28
14,14,50.82,188.430,33
15,15,50.829,188.396,34
16,16,50.906,188.111,31
17,17,50.721,188.798,29
18,18,50.695,188.894,28
19,19,50.666,189.002,26
20,20,50.872,188.237,31
21,21,50.797,188.515,27
22,22,50.651,189.058,27
23,23,50.543,189.462,30
24,24,50.1,191.138,20
25,25,50.184,190.818,24
26,26,50.58,189.324,36
27,27,50.463,189.763,38
28,28,49.574,193.166,28
29,29,49.598,193.072,21
30,30,49.733,192.548,22
31,31,49.616,193.002,23
32,32,49.9,191.904,23
33,33,49.608,193.033,22
34,34,49.536,193.314,23
35,35,49.854,192.081,24
36,36,49.688,192.723,23
37,37,49.73,192.560,24
38,38,50.256,190.544,34
39,39,50.394,190.023,37
40,40,49.375,193.944,36
41,41,49.53,193.337,20
42,42,49.252,194.429,21
43,43,52.042,184.005,14
44,44,90.708,105.570,14
45,45,131.286,72.940,14
46,46,138.996,68.894,14
47,47,138.104,69.339,14
48,48,137.826,69.479,14
49,49,196.471,48.740,35
50,50,101.412,94.427,33
51,51,110.051,87.014,30
52,52,77.538,123.501,28
53,53,145.992,65.593,34
54,54,137.316,69.737,34
55,55,139.853,68.472,29
56,56,113.467,84.395,26
57,57,52.715,181.656,29
58,58,49.452,193.642,23
59,59,49.945,191.731,30
60,60,49.588,193.111,22
61,61,91.604,104.537,22
62,62,134.209,71.351,21
63,63,145.953,65.610,16
64,64,131.456,72.846,12
65,65,138.753,69.015,11
66,66,123.806,77.347,9
67,67,53.733,178.215,13
68,68,50.608,189.219,15
69,69,50.786,188.556,17
70,70,50.939,187.990,13
71,71,51.085,187.452,12
72,72,51.036,187.632,11
73,73,51.025,187.673,12
74,74,51.132,187.280,17
75,75,50.904,188.119,17
76,76,50.785,188.560,16
77,77,50.992,187.794,19
78,78,50.649,189.066,16
79,79,50.97,187.875,17
80,80,50.644,189.085,18
81,81,50.705,188.857,10
82,82,51.022,187.684,7
83,83,50.969,187.879,9
84,84,50.934,188.008,8
85,85,51.055,187.562,8
86,86,51.112,187.353,5
87,87,50.507,189.597,2
88,88,50.645,189.081,2
89,89,50.406,189.977,2
90,90,50.391,190.034,3
91,91,50.66,189.025,4
92,92,50.63,189.137,3
93,93,50.744,188.712,4
94,94,50.695,188.894,4
95,95,50.655,189.044,2
96,96,50.79,188.541,2
97,97,50.823,188.419,2
98,98,50.735,188.745,2
99,99,50.803,188.493,3
100,100,50.917,188.071,2
101,101,50.626,189.152,2
102,102,50.384,190.060,3
103,103,50.603,189.238,3
104,104,50.161,190.905,3
105,105,50.283,190.442,3
106,106,50.004,191.505,3
107,107,50.253,190.556,5
108,108,50.485,189.680,5
109,109,50.651,189.058,6
110,110,49.567,193.193,4
111,111,76.489,125.194,22
112,112,56.863,168.405,23
113,113,51.163,187.167,22
114,114,48.993,195.456,16
115,115,49.513,193.404,16
116,116,49.127,194.923,16
117,117,49.031,195.305,14
118,118,49.28,194.318,14
119,119,49.037,195.281,13
120,120,48.79,196.270,13
121,121,86.9,110.196,14
122,122,129.922,73.706,12
123,123,160.566,59.639,22
124,124,124.953,76.637,20
125,125,141.104,67.865,17
126,126,120.55,79.436,17
127,127,53.917,177.606,18
128,128,50.852,188.311,22
129,129,50.514,189.571,24
130,130,50.366,190.128,19
131,131,50.553,189.425,21
132,132,50.283,190.442,18
133,133,50.134,191.008,14
134,134,49.842,192.127,9
135,135,49.616,193.002,7
136,136,49.688,192.723,7
137,137,49.605,193.045,9
138,138,49.837,192.146,11
139,139,49.86,192.058,10
140,140,49.965,191.654,10
141,141,50.125,191.042,10
142,142,49.833,192.162,10
143,143,50.181,190.829,7
144,144,50.282,190.446,7
145,145,50.01,191.482,7
146,146,49.819,192.216,7
147,147,49.743,192.509,7
148,148,50.141,190.981,7
149,149,50.064,191.275,7
150,150,49.916,191.842,8
151,151,49.391,193.881,8
152,152,49.467,193.584,10
153,153,49.526,193.353,9
154,154,49.611,193.022,12
155,155,49.633,192.936,10
156,156,49.806,192.266,12
157,157,49.967,191.646,13
158,158,49.964,191.658,14
159,159,50.078,191.222,15
160,160,49.984,191.581,13
161,161,49.774,192.390,14
162,162,50.171,190.867,17
163,163,50.363,190.140,18
164,164,50.482,189.691,13
165,165,49.89,191.942,10
166,166,49.54,193.298,9
167,167,49.576,193.158,6
168,168,49.668,192.800,6
169,169,50.132,191.016,6
170,170,50.072,191.245,7
171,171,77.272,123.926,15
172,172,56.376,169.860,14
173,173,49.376,193.940,9
174,174,49.563,193.209,7
175,175,49.393,193.874,6
176,176,49.376,193.940,7
177,177,49.603,193.053,5
178,178,49.458,193.619,6
179,179,49.544,193.283,6
180,180,49.296,194.255,5
181,181,49.343,194.070,6
182,182,49.72,192.599,7
183,183,49.534,193.322,7
184,184,49.259,194.401,7
185,185,49.207,194.606,7
186,186,49.391,193.881,8
187,187,48.996,195.445,7
188,188,48.516,197.378,6
