,Lap,LapTime,LapSpeed,RunningPos
0,0,,,19
1,1,31.385,172.057,18
2,2,30.197,178.826,18
3,3,29.971,180.174,17
4,4,29.939,180.367,17
5,5,29.751,181.507,17
6,6,29.893,180.644,17
7,7,29.786,181.293,17
8,8,29.711,181.751,17
9,9,29.726,181.659,17
10,10,29.886,180.687,17
11,11,29.853,180.886,17
12,12,30.112,179.330,17
13,13,29.983,180.102,17
14,14,30.0,180.000,17
15,15,30.007,179.958,17
16,16,30.087,179.480,17
17,17,30.062,179.629,17
18,18,30.191,178.861,17
19,19,30.186,178.891,17
20,20,33.528,161.059,17
21,21,51.719,104.410,17
22,22,82.266,65.641,23
23,23,84.02,64.270,6
24,24,95.412,56.597,6
25,25,88.238,61.198,6
26,26,31.609,170.837,7
27,27,30.135,179.194,8
28,28,29.629,182.254,8
29,29,29.605,182.402,8
30,30,29.46,183.299,8
31,31,29.449,183.368,8
32,32,29.591,182.488,8
33,33,29.574,182.593,8
34,34,29.721,181.690,8
35,35,29.785,181.299,8
36,36,29.836,180.989,8
37,37,29.885,180.693,8
38,38,29.869,180.789,8
39,39,29.84,180.965,8
40,40,30.341,177.977,9
41,41,30.485,177.136,10
42,42,29.941,180.355,10
43,43,29.731,181.629,10
44,44,29.952,180.288,10
45,45,30.337,178.000,11
46,46,30.239,178.577,11
47,47,30.023,179.862,11
48,48,29.804,181.184,11
49,49,29.849,180.911,11
50,50,30.161,179.039,12
51,51,30.061,179.635,12
52,52,30.414,177.550,13
53,53,30.478,177.177,13
54,54,30.475,177.194,14
55,55,30.663,176.108,16
56,56,30.456,177.305,16
57,57,30.197,178.826,16
58,58,30.092,179.450,16
59,59,30.052,179.689,16
60,60,30.133,179.206,16
61,61,30.763,175.536,18
62,62,30.192,178.855,18
63,63,30.735,175.695,18
64,64,30.385,177.719,18
65,65,30.527,176.893,20
66,66,30.412,177.561,20
67,67,30.103,179.384,20
68,68,30.209,178.755,20
69,69,30.164,179.021,20
70,70,30.561,176.696,21
71,71,30.878,174.882,22
72,72,30.734,175.701,23
73,73,30.902,174.746,23
74,74,33.154,162.876,23
75,75,52.121,103.605,23
76,76,63.236,85.394,23
77,77,95.941,56.285,23
78,78,96.88,55.739,23
79,79,95.443,56.578,23
80,80,95.821,56.355,23
81,81,93.546,57.726,23
82,82,95.53,56.527,23
83,83,106.431,50.737,30
84,84,91.343,59.118,30
85,85,90.288,59.809,28
86,86,103.023,52.415,26
87,87,69.546,77.646,25
88,88,31.982,168.845,22
89,89,60.529,89.213,21
90,90,90.8,59.471,22
91,91,94.95,56.872,21
92,92,101.276,53.320,21
93,93,73.976,72.997,22
94,94,31.02,174.081,21
95,95,29.507,183.007,20
96,96,30.074,179.557,21
97,97,30.141,179.158,22
98,98,29.773,181.372,22
99,99,29.978,180.132,22
100,100,29.927,180.439,22
101,101,29.886,180.687,22
102,102,29.813,181.129,22
103,103,30.115,179.313,22
104,104,29.754,181.488,22
105,105,29.697,181.837,22
106,106,29.693,181.861,22
107,107,29.755,181.482,22
108,108,29.716,181.720,22
109,109,29.785,181.299,22
110,110,30.057,179.659,22
111,111,29.826,181.050,22
112,112,29.765,181.421,22
113,113,30.132,179.211,23
114,114,29.712,181.745,23
115,115,29.916,180.505,23
116,116,30.018,179.892,23
117,117,29.77,181.391,23
118,118,29.849,180.911,23
119,119,29.963,180.222,23
120,120,29.812,181.135,23
121,121,30.052,179.689,23
122,122,29.896,180.626,23
123,123,29.963,180.222,23
124,124,29.824,181.062,23
125,125,41.122,131.317,22
126,126,52.3,103.250,22
127,127,78.503,68.787,28
