,Lap,LapTime,LapSpeed,RunningPos
0,0,,,16
1,1,31.595,170.913,17
2,2,30.23,178.630,17
3,3,30.147,179.122,18
4,4,29.968,180.192,18
5,5,29.854,180.880,18
6,6,29.857,180.862,18
7,7,29.903,180.584,18
8,8,29.755,181.482,18
9,9,29.763,181.433,18
10,10,29.825,181.056,18
11,11,29.833,181.008,18
12,12,30.07,179.581,18
13,13,30.091,179.456,18
14,14,29.917,180.499,18
15,15,30.037,179.778,18
16,16,30.014,179.916,18
17,17,30.066,179.605,18
18,18,30.235,178.601,18
19,19,30.075,179.551,18
20,20,33.944,159.086,18
21,21,51.538,104.777,18
22,22,74.049,72.925,10
23,23,94.261,57.288,11
24,24,97.263,55.520,11
25,25,84.137,64.181,10
26,26,31.748,170.089,10
27,27,30.087,179.480,10
28,28,29.924,180.457,11
29,29,29.776,181.354,11
30,30,29.662,182.051,11
31,31,29.71,181.757,11
32,32,29.618,182.322,11
33,33,29.589,182.500,11
34,34,29.637,182.205,11
35,35,29.752,181.500,11
36,36,29.731,181.629,11
37,37,29.816,181.111,11
38,38,29.855,180.874,11
39,39,30.076,179.545,12
40,40,29.937,180.379,12
41,41,30.222,178.678,12
42,42,29.948,180.313,12
43,43,29.825,181.056,12
44,44,29.925,180.451,12
45,45,30.046,179.724,12
46,46,30.367,177.825,12
47,47,30.148,179.116,13
48,48,30.121,179.277,14
49,49,30.045,179.730,14
50,50,29.857,180.862,14
51,51,29.933,180.403,14
52,52,29.98,180.120,14
53,53,30.339,177.989,14
54,54,30.031,179.814,13
55,55,29.948,180.313,13
56,56,29.875,180.753,13
57,57,29.917,180.499,13
58,58,29.928,180.433,13
59,59,29.922,180.469,13
60,60,30.051,179.695,13
61,61,29.64,182.186,13
62,62,29.635,182.217,13
63,63,29.745,181.543,13
64,64,29.846,180.929,13
65,65,29.761,181.446,13
66,66,29.806,181.172,13
67,67,29.866,180.808,13
68,68,29.88,180.723,13
69,69,29.958,180.252,13
70,70,29.929,180.427,13
71,71,29.985,180.090,13
72,72,29.939,180.367,13
73,73,29.986,180.084,13
74,74,30.071,179.575,13
75,75,44.194,122.189,13
76,76,77.136,70.006,13
77,77,97.751,55.242,13
78,78,95.681,56.438,13
79,79,95.689,56.433,13
80,80,95.534,56.524,13
81,81,94.917,56.892,13
82,82,96.165,56.153,13
83,83,91.148,59.244,9
84,84,101.261,53.328,17
85,85,93.664,57.653,15
86,86,123.504,43.723,36
87,87,57.88,93.296,35
88,88,36.707,147.111,33
89,89,60.005,89.993,32
90,90,88.815,60.801,31
91,91,107.629,50.172,34
92,92,97.998,55.103,35
93,93,61.976,87.131,31
94,94,30.829,175.160,29
95,95,29.799,181.214,29
96,96,29.862,180.832,29
