,Lap,LapTime,LapSpeed,RunningPos
0,0,,,21
1,1,32.93,163.984,16
2,2,31.188,173.144,14
3,3,30.744,175.644,11
4,4,31.004,174.171,10
5,5,31.283,172.618,10
6,6,31.161,173.294,9
7,7,46.288,116.661,9
8,8,86.211,62.637,5
9,9,122.21,44.186,22
10,10,76.657,70.444,23
11,11,33.667,160.394,21
12,12,32.06,168.434,22
13,13,31.708,170.304,20
14,14,32.136,168.036,24
15,15,31.425,171.838,20
16,16,30.986,174.272,17
17,17,31.201,173.071,15
18,18,31.259,172.750,14
19,19,31.442,171.745,13
20,20,31.464,171.625,12
21,21,31.438,171.767,12
22,22,31.371,172.133,11
23,23,31.509,171.380,11
24,24,31.582,170.983,11
25,25,31.739,170.138,11
26,26,31.645,170.643,10
27,27,31.904,169.258,10
28,28,31.74,170.132,9
29,29,31.546,171.179,9
30,30,31.61,170.832,9
31,31,31.674,170.487,9
32,32,31.988,168.813,9
33,33,32.057,168.450,9
34,34,32.025,168.618,8
35,35,31.791,169.859,7
36,36,31.758,170.036,5
37,37,31.677,170.471,5
38,38,31.765,169.998,4
39,39,31.775,169.945,3
40,40,31.845,169.571,1
41,41,32.016,168.666,1
42,42,43.792,123.310,3
43,43,59.096,91.377,15
44,44,30.683,175.993,14
45,45,30.91,174.701,12
46,46,30.919,174.650,11
47,47,30.861,174.978,10
48,48,30.919,174.650,10
49,49,30.965,174.390,10
50,50,31.009,174.143,10
51,51,31.049,173.919,10
52,52,31.13,173.466,10
53,53,31.653,170.600,9
54,54,31.403,171.958,9
55,55,31.794,169.843,7
56,56,31.283,172.618,7
57,57,31.414,171.898,7
58,58,31.503,171.412,7
59,59,31.593,170.924,7
60,60,31.662,170.551,7
61,61,31.627,170.740,7
62,62,31.75,170.079,7
63,63,31.781,169.913,7
64,64,32.046,168.508,7
65,65,31.975,168.882,7
66,66,31.917,169.189,6
67,67,32.111,168.167,6
68,68,32.145,167.989,6
69,69,32.619,165.548,6
70,70,32.12,168.120,6
71,71,32.17,167.858,6
72,72,32.229,167.551,6
73,73,32.45,166.410,6
74,74,32.383,166.754,6
75,75,32.339,166.981,6
76,76,32.363,166.857,6
77,77,32.673,165.274,6
78,78,32.791,164.679,6
79,79,33.144,162.925,6
80,80,33.55,160.954,6
81,81,50.978,105.928,6
82,82,87.017,62.057,6
83,83,103.248,52.301,6
84,84,94.819,56.951,4
85,85,102.483,52.692,5
86,86,99.875,54.068,5
87,87,102.459,52.704,5
88,88,94.944,56.876,6
89,89,32.798,164.644,4
90,90,30.712,175.827,5
91,91,30.856,175.006,5
92,92,31.154,173.332,6
93,93,31.215,172.994,7
94,94,31.802,169.801,8
95,95,31.379,172.090,7
96,96,31.201,173.071,7
97,97,31.156,173.321,7
98,98,31.257,172.761,7
99,99,31.263,172.728,7
100,100,31.505,171.401,7
101,101,31.434,171.789,7
102,102,31.326,172.381,7
103,103,31.396,171.996,7
104,104,31.739,170.138,6
105,105,31.444,171.734,6
106,106,31.481,171.532,6
107,107,31.681,170.449,6
108,108,31.626,170.746,6
109,109,31.714,170.272,6
110,110,31.921,169.168,6
111,111,31.842,169.587,7
112,112,31.936,169.088,7
113,113,32.093,168.261,7
114,114,32.065,168.408,7
115,115,31.85,169.545,7
116,116,31.951,169.009,7
117,117,31.92,169.173,7
118,118,32.087,168.292,7
119,119,32.19,167.754,7
120,120,32.31,167.131,7
121,121,32.171,167.853,7
122,122,32.451,166.405,7
123,123,32.346,166.945,7
124,124,32.444,166.441,6
125,125,32.44,166.461,4
