,Lap,LapTime,LapSpeed,RunningPos
0,0,,,16
1,1,33.217,162.567,14
2,2,31.482,171.527,15
3,3,31.805,169.785,17
4,4,31.599,170.891,17
5,5,31.675,170.481,17
6,6,31.733,170.170,17
7,7,49.086,110.011,17
8,8,88.182,61.237,20
9,9,106.05,50.919,14
10,10,84.526,63.886,13
11,11,34.058,158.553,17
12,12,32.252,167.431,20
13,13,31.802,169.801,19
14,14,31.964,168.940,19
15,15,31.874,169.417,21
16,16,31.787,169.881,22
17,17,32.001,168.745,22
18,18,31.974,168.887,22
19,19,31.991,168.797,22
20,20,31.906,169.247,22
21,21,32.005,168.724,22
22,22,32.03,168.592,22
23,23,32.195,167.728,23
24,24,32.107,168.188,23
25,25,32.378,166.780,24
26,26,32.277,167.302,24
27,27,32.421,166.559,25
28,28,32.263,167.374,26
29,29,32.688,165.198,27
30,30,32.449,166.415,27
31,31,32.607,165.609,27
32,32,32.735,164.961,28
33,33,32.816,164.554,29
34,34,44.782,120.584,37
35,35,61.074,88.417,37
36,36,31.354,172.227,35
37,37,30.963,174.402,34
38,38,31.082,173.734,34
39,39,31.217,172.983,34
40,40,31.336,172.326,32
41,41,31.423,171.849,32
42,42,31.598,170.897,31
43,43,31.613,170.816,30
44,44,31.742,170.122,30
45,45,31.615,170.805,30
46,46,31.548,171.168,27
47,47,31.526,171.287,26
48,48,31.83,169.651,27
49,49,31.582,170.983,27
50,50,31.57,171.048,27
51,51,31.557,171.119,27
52,52,31.58,170.994,27
53,53,31.521,171.314,27
54,54,31.762,170.014,27
55,55,31.707,170.309,27
56,56,31.688,170.412,27
57,57,31.607,170.848,27
58,58,31.703,170.331,27
59,59,31.897,169.295,27
60,60,31.844,169.577,27
61,61,32.204,167.681,27
62,62,32.311,167.126,27
63,63,32.404,166.646,27
64,64,32.356,166.893,27
65,65,32.346,166.945,26
66,66,32.205,167.676,25
67,67,32.374,166.801,25
68,68,32.62,165.543,25
69,69,32.508,166.113,25
70,70,32.685,165.213,25
71,71,32.535,165.975,25
72,72,32.764,164.815,24
73,73,32.774,164.765,24
74,74,33.071,163.285,25
75,75,32.81,164.584,25
76,76,32.646,165.411,25
77,77,32.625,165.517,25
78,78,33.057,163.354,25
79,79,33.286,162.230,25
80,80,49.402,109.307,25
81,81,90.386,59.744,25
82,82,102.604,52.630,25
83,83,99.128,54.475,25
84,84,100.881,53.528,24
85,85,115.638,46.697,24
86,86,123.61,43.686,33
87,87,63.483,85.062,32
88,88,33.008,163.597,31
89,89,31.4,171.975,27
90,90,31.083,173.728,26
91,91,31.287,172.596,25
92,92,31.457,171.663,25
93,93,31.351,172.243,25
94,94,31.384,172.062,25
95,95,31.66,170.562,25
96,96,31.331,172.353,24
97,97,31.53,171.265,24
98,98,32.066,168.403,24
99,99,31.816,169.726,24
100,100,31.681,170.449,24
101,101,31.829,169.657,24
102,102,31.695,170.374,24
103,103,31.746,170.100,24
104,104,32.01,168.697,24
105,105,31.95,169.014,24
106,106,31.827,169.667,24
107,107,31.858,169.502,24
108,108,31.861,169.486,24
109,109,31.787,169.881,24
110,110,31.805,169.785,24
111,111,31.881,169.380,24
112,112,31.918,169.184,24
113,113,32.018,168.655,24
114,114,32.107,168.188,24
115,115,32.066,168.403,24
116,116,32.102,168.214,24
117,117,32.042,168.529,24
118,118,32.27,167.338,24
119,119,32.335,167.002,24
120,120,32.247,167.457,24
121,121,32.401,166.662,22
122,122,32.292,167.224,22
123,123,32.305,167.157,20
124,124,44.466,121.441,24
125,125,59.583,90.630,31
126,126,31.328,172.370,30
127,127,31.328,172.370,28
128,128,31.021,174.076,28
129,129,31.156,173.321,28
130,130,31.101,173.628,28
131,131,31.294,172.557,27
132,132,31.152,173.344,27
133,133,31.114,173.555,27
134,134,31.216,172.988,26
135,135,31.223,172.949,24
136,136,31.283,172.618,24
137,137,31.604,170.864,23
138,138,31.402,171.964,23
139,139,31.528,171.276,23
140,140,31.594,170.919,23
141,141,31.723,170.223,23
142,142,31.86,169.492,23
143,143,31.75,170.079,23
144,144,31.676,170.476,23
145,145,31.94,169.067,23
146,146,31.965,168.935,23
147,147,31.851,169.539,23
148,148,31.93,169.120,23
149,149,32.014,168.676,23
150,150,32.174,167.837,23
151,151,32.31,167.131,23
152,152,32.08,168.329,23
153,153,32.713,165.072,23
154,154,32.478,166.266,23
155,155,32.433,166.497,23
156,156,32.326,167.048,23
157,157,32.63,165.492,23
158,158,32.826,164.504,23
159,159,32.483,166.241,23
160,160,32.975,163.760,23
161,161,32.89,164.184,23
162,162,33.024,163.517,23
163,163,33.66,160.428,24
164,164,34.143,158.158,24
165,165,48.336,111.718,24
166,166,83.643,64.560,24
167,167,101.217,53.351,24
168,168,91.538,58.992,24
169,169,99.506,54.268,22
170,170,116.122,46.503,24
171,171,115.699,46.673,24
172,172,82.565,65.403,24
173,173,32.828,164.494,22
174,174,31.597,170.902,23
175,175,31.56,171.103,25
176,176,31.221,172.961,24
177,177,32.261,167.385,25
178,178,32.098,168.235,26
179,179,31.701,170.342,26
180,180,31.754,170.057,26
181,181,32.043,168.524,26
182,182,31.848,169.555,26
183,183,31.896,169.300,26
184,184,31.878,169.396,26
185,185,31.944,169.046,26
186,186,31.936,169.088,26
187,187,32.007,168.713,26
188,188,31.984,168.834,26
189,189,32.032,168.581,26
190,190,32.074,168.361,26
191,191,32.181,167.801,26
192,192,32.282,167.276,26
193,193,32.563,165.832,26
194,194,52.514,102.830,26
195,195,68.579,78.741,25
196,196,98.631,54.750,25
197,197,100.939,53.498,24
198,198,68.321,79.039,23
199,199,57.947,93.189,23
200,200,76.286,70.786,22
201,201,42.352,127.503,21
202,202,93.643,57.666,21
203,203,98.918,54.591,17
204,204,108.625,49.712,22
205,205,108.81,49.628,22
206,206,78.529,68.764,22
207,207,34.376,157.086,20
208,208,91.124,59.260,20
209,209,101.226,53.346,19
210,210,101.98,52.952,19
211,211,110.672,48.793,19
212,212,82.767,65.243,20
213,213,67.681,79.786,22
214,214,1343.783,4.019,32
215,215,35.236,153.252,32
216,216,35.642,151.507,32
217,217,35.254,153.174,32
218,218,35.4,152.542,32
