,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,15,3,Chv
1,1,51.596,174.432,16,3,Chv
2,2,48.017,187.434,16,3,Chv
3,3,47.848,188.096,15,3,Chv
4,4,48.004,187.484,14,3,Chv
5,5,48.087,187.161,12,3,Chv
6,6,48.187,186.772,11,3,Chv
7,7,47.8,188.285,12,3,Chv
8,8,47.831,188.162,17,3,Chv
9,9,48.173,186.827,17,3,Chv
10,10,115.612,77.847,16,3,Chv
11,11,145.238,61.967,7,3,Chv
12,12,9999.999,0.900,16,3,Chv
13,13,161.433,55.751,16,3,Chv
14,14,127.507,70.584,16,3,Chv
15,15,127.803,70.421,16,3,Chv
16,16,118.498,75.951,9,3,Chv
17,17,143.733,62.616,27,3,Chv
18,18,125.507,71.709,22,3,Chv
19,19,127.195,70.757,20,3,Chv
20,20,149.04,60.386,20,3,Chv
21,21,1511.243,5.955,20,3,Chv
22,22,126.468,71.164,18,3,Chv
23,23,114.912,78.321,16,3,Chv
24,24,51.172,175.877,15,3,Chv
25,25,47.825,188.186,16,3,Chv
26,26,47.85,188.088,16,3,Chv
27,27,47.527,189.366,17,3,Chv
28,28,47.442,189.705,19,3,Chv
29,29,47.072,191.196,18,3,Chv
30,30,47.01,191.449,17,3,Chv
31,31,47.64,188.917,17,3,Chv
32,32,47.363,190.022,16,3,Chv
33,33,47.354,190.058,15,3,Chv
34,34,47.161,190.836,12,3,Chv
35,35,47.446,189.689,12,3,Chv
36,36,47.511,189.430,11,3,Chv
37,37,47.279,190.359,12,3,Chv
38,38,47.418,189.801,14,3,Chv
39,39,47.475,189.573,13,3,Chv
40,40,47.58,189.155,13,3,Chv
41,41,47.508,189.442,13,3,Chv
42,42,47.432,189.745,8,3,Chv
43,43,47.325,190.174,5,3,Chv
44,44,47.598,189.084,13,3,Chv
45,45,47.541,189.310,11,3,Chv
46,46,46.947,191.706,8,3,Chv
47,47,46.625,193.029,5,3,Chv
48,48,46.813,192.254,7,3,Chv
49,49,47.424,189.777,18,3,Chv
50,50,46.937,191.746,19,3,Chv
51,51,47.254,190.460,26,3,Chv
52,52,47.396,189.889,32,3,Chv
53,53,46.579,193.220,32,3,Chv
54,54,46.436,193.815,31,3,Chv
55,55,46.674,192.827,29,3,Chv
