,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,1,19,Tyt
1,1,52.289,172.120,1,19,Tyt
2,2,47.875,187.990,1,19,Tyt
3,3,47.89,187.931,1,19,Tyt
4,4,48.103,187.099,1,19,Tyt
5,5,48.294,186.359,3,19,Tyt
6,6,48.275,186.432,3,19,Tyt
7,7,47.768,188.411,4,19,Tyt
8,8,47.746,188.497,3,19,Tyt
9,9,48.089,187.153,4,19,Tyt
10,10,109.124,82.475,4,19,Tyt
11,11,137.627,65.394,3,19,Tyt
12,12,9999.999,0.900,4,19,Tyt
13,13,160.273,56.154,4,19,Tyt
14,14,128.189,70.209,4,19,Tyt
15,15,128.287,70.155,4,19,Tyt
16,16,127.902,70.366,5,19,Tyt
17,17,134.628,66.851,14,19,Tyt
18,18,128.08,70.269,10,19,Tyt
19,19,127.915,70.359,8,19,Tyt
20,20,136.374,65.995,8,19,Tyt
21,21,1522.152,5.913,8,19,Tyt
22,22,125.545,71.687,6,19,Tyt
23,23,125.712,71.592,5,19,Tyt
24,24,51.803,173.735,4,19,Tyt
25,25,47.963,187.645,5,19,Tyt
26,26,47.881,187.966,5,19,Tyt
27,27,47.503,189.462,4,19,Tyt
28,28,47.308,190.243,5,19,Tyt
29,29,47.096,191.099,6,19,Tyt
30,30,47.064,191.229,5,19,Tyt
31,31,47.877,187.982,11,19,Tyt
32,32,47.37,189.994,10,19,Tyt
33,33,47.354,190.058,9,19,Tyt
34,34,47.188,190.726,6,19,Tyt
35,35,47.436,189.729,6,19,Tyt
36,36,47.481,189.550,5,19,Tyt
37,37,47.284,190.339,6,19,Tyt
38,38,47.442,189.705,7,19,Tyt
39,39,47.476,189.569,7,19,Tyt
40,40,47.594,189.099,8,19,Tyt
41,41,47.476,189.569,8,19,Tyt
42,42,47.413,189.821,4,19,Tyt
43,43,47.47,189.593,4,19,Tyt
44,44,47.417,189.805,5,19,Tyt
45,45,47.661,188.834,7,19,Tyt
46,46,47.394,189.897,17,19,Tyt
47,47,46.822,192.217,16,19,Tyt
48,48,46.382,194.041,8,19,Tyt
49,49,46.985,191.550,8,19,Tyt
50,50,46.998,191.498,11,19,Tyt
51,51,46.972,191.604,12,19,Tyt
52,52,46.824,192.209,16,19,Tyt
53,53,46.787,192.361,16,19,Tyt
54,54,46.763,192.460,22,19,Tyt
55,55,46.524,193.449,23,19,Tyt
56,56,46.571,193.253,24,19,Tyt
57,57,46.761,192.468,29,19,Tyt
58,58,46.749,192.517,30,19,Tyt
59,59,46.38,194.049,32,19,Tyt
60,60,47.451,189.669,34,19,Tyt
61,61,47.604,189.060,34,19,Tyt
62,62,46.918,191.824,34,19,Tyt
63,63,75.769,118.782,33,19,Tyt
64,64,113.903,79.015,33,19,Tyt
65,65,130.105,69.175,32,19,Tyt
66,66,131.172,68.612,32,19,Tyt
67,67,120.989,74.387,25,19,Tyt
68,68,143.883,62.551,35,19,Tyt
69,69,118.917,75.683,25,19,Tyt
70,70,114.581,78.547,34,19,Tyt
71,71,113.689,79.163,33,19,Tyt
72,72,95.56,94.182,31,19,Tyt
73,73,166.185,54.157,33,19,Tyt
74,74,84.426,106.602,24,19,Tyt
75,75,125.042,71.976,10,19,Tyt
76,76,123.281,73.004,26,19,Tyt
77,77,50.99,176.505,28,19,Tyt
78,78,48.801,184.422,31,19,Tyt
79,79,47.788,188.332,31,19,Tyt
80,80,47.902,187.884,31,19,Tyt
81,81,47.777,188.375,31,19,Tyt
82,82,48.539,185.418,31,19,Tyt
83,83,86.129,104.494,31,19,Tyt
84,84,125.648,71.629,22,19,Tyt
85,85,139.512,64.511,30,19,Tyt
86,86,113.655,79.187,31,19,Tyt
87,87,49.881,180.429,28,19,Tyt
88,88,47.815,188.225,32,19,Tyt
89,89,47.54,189.314,31,19,Tyt
90,90,47.568,189.203,31,19,Tyt
91,91,47.657,188.849,30,19,Tyt
92,92,47.572,189.187,30,19,Tyt
93,93,47.06,191.245,29,19,Tyt
94,94,47.382,189.946,30,19,Tyt
95,95,47.147,190.892,28,19,Tyt
96,96,47.436,189.729,29,19,Tyt
97,97,47.225,190.577,25,19,Tyt
98,98,47.209,190.642,21,19,Tyt
99,99,47.28,190.355,22,19,Tyt
100,100,47.389,189.917,23,19,Tyt
101,101,47.195,190.698,24,19,Tyt
102,102,47.004,191.473,22,19,Tyt
103,103,47.538,189.322,23,19,Tyt
104,104,47.783,188.352,23,19,Tyt
105,105,47.698,188.687,20,19,Tyt
106,106,47.887,187.942,23,19,Tyt
107,107,47.59,189.115,25,19,Tyt
108,108,47.384,189.938,25,19,Tyt
109,109,47.046,191.302,21,19,Tyt
110,110,46.563,193.287,18,19,Tyt
111,111,46.67,192.843,18,19,Tyt
112,112,46.887,191.951,17,19,Tyt
113,113,46.898,191.906,19,19,Tyt
114,114,46.801,192.304,23,19,Tyt
115,115,47.023,191.396,25,19,Tyt
116,116,47.589,189.119,26,19,Tyt
117,117,47.549,189.278,30,19,Tyt
118,118,46.333,194.246,28,19,Tyt
119,119,45.683,197.010,24,19,Tyt
120,120,47.331,190.150,26,19,Tyt
121,121,46.732,192.588,25,19,Tyt
122,122,46.889,191.943,24,19,Tyt
123,123,46.383,194.037,17,19,Tyt
124,124,46.481,193.628,18,19,Tyt
125,125,46.412,193.915,18,19,Tyt
126,126,46.399,193.970,19,19,Tyt
127,127,46.55,193.340,19,19,Tyt
128,128,46.786,192.365,20,19,Tyt
129,129,47.26,190.436,24,19,Tyt
130,130,47.23,190.557,25,19,Tyt
131,131,84.664,106.303,25,19,Tyt
132,132,122.53,73.451,25,19,Tyt
133,133,124.302,72.404,19,19,Tyt
134,134,140.063,64.257,28,19,Tyt
135,135,122.963,73.193,24,19,Tyt
136,136,132.102,68.129,25,19,Tyt
137,137,113.659,79.184,24,19,Tyt
138,138,50.5,178.218,10,19,Tyt
139,139,47.709,188.644,9,19,Tyt
140,140,47.708,188.648,9,19,Tyt
141,141,47.729,188.565,9,19,Tyt
142,142,47.759,188.446,9,19,Tyt
143,143,47.605,189.056,10,19,Tyt
144,144,47.835,188.147,11,19,Tyt
145,145,47.693,188.707,8,19,Tyt
146,146,47.996,187.516,10,19,Tyt
147,147,48.013,187.449,9,19,Tyt
148,148,47.973,187.606,8,19,Tyt
149,149,47.913,187.840,9,19,Tyt
150,150,48.135,186.974,10,19,Tyt
151,151,48.252,186.521,9,19,Tyt
152,152,48.247,186.540,9,19,Tyt
153,153,48.049,187.309,10,19,Tyt
154,154,47.996,187.516,9,19,Tyt
155,155,48.041,187.340,12,19,Tyt
156,156,48.167,186.850,9,19,Tyt
157,157,48.452,185.751,11,19,Tyt
158,158,48.128,187.001,8,19,Tyt
