,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,10,22,Frd
1,1,51.9,173.410,10,22,Frd
2,2,47.874,187.993,10,22,Frd
3,3,48.016,187.438,10,22,Frd
4,4,48.119,187.036,12,22,Frd
5,5,48.294,186.359,13,22,Frd
6,6,48.033,187.371,9,22,Frd
7,7,47.758,188.450,10,22,Frd
8,8,47.53,189.354,4,22,Frd
9,9,48.078,187.196,5,22,Frd
10,10,109.895,81.896,5,22,Frd
11,11,137.876,65.276,4,22,Frd
12,12,9999.999,0.900,6,22,Frd
13,13,160.949,55.918,6,22,Frd
14,14,128.03,70.296,6,22,Frd
15,15,128.039,70.291,6,22,Frd
16,16,126.248,71.288,6,22,Frd
17,17,130.887,68.762,7,22,Frd
18,18,127.75,70.450,6,22,Frd
19,19,128.817,69.867,5,22,Frd
20,20,135.021,66.656,5,22,Frd
21,21,1522.664,5.911,5,22,Frd
22,22,125.924,71.472,1,22,Frd
23,23,128.562,70.005,1,22,Frd
24,24,51.842,173.604,1,22,Frd
25,25,47.931,187.770,1,22,Frd
26,26,47.686,188.735,1,22,Frd
27,27,47.494,189.498,1,22,Frd
28,28,47.408,189.841,1,22,Frd
29,29,47.046,191.302,1,22,Frd
30,30,47.175,190.779,1,22,Frd
31,31,47.949,187.699,4,22,Frd
32,32,47.185,190.739,2,22,Frd
33,33,47.375,189.974,2,22,Frd
34,34,47.333,190.142,2,22,Frd
35,35,47.469,189.597,1,22,Frd
36,36,47.377,189.966,1,22,Frd
37,37,47.203,190.666,1,22,Frd
38,38,47.508,189.442,1,22,Frd
39,39,47.461,189.629,1,22,Frd
40,40,47.625,188.976,2,22,Frd
41,41,47.422,189.785,2,22,Frd
42,42,47.523,189.382,1,22,Frd
43,43,47.467,189.605,1,22,Frd
44,44,47.427,189.765,1,22,Frd
45,45,47.69,188.719,1,22,Frd
46,46,46.959,191.657,1,22,Frd
47,47,46.556,193.316,1,22,Frd
48,48,46.641,192.963,1,22,Frd
49,49,46.698,192.728,1,22,Frd
50,50,47.145,190.900,1,22,Frd
51,51,46.921,191.812,1,22,Frd
52,52,46.906,191.873,1,22,Frd
53,53,46.639,192.972,1,22,Frd
54,54,46.512,193.498,1,22,Frd
55,55,46.584,193.199,1,22,Frd
56,56,46.436,193.815,1,22,Frd
57,57,46.234,194.662,1,22,Frd
58,58,46.251,194.590,1,22,Frd
59,59,46.481,193.628,1,22,Frd
60,60,46.599,193.137,1,22,Frd
61,61,46.726,192.612,1,22,Frd
62,62,46.632,193.001,1,22,Frd
63,63,58.358,154.221,1,22,Frd
64,64,118.178,76.156,1,22,Frd
65,65,129.057,69.737,1,22,Frd
66,66,129.129,69.698,1,22,Frd
67,67,130.608,68.908,1,22,Frd
68,68,127.389,70.650,1,22,Frd
69,69,129.478,69.510,1,22,Frd
70,70,128.461,70.060,1,22,Frd
71,71,75.759,118.798,6,22,Frd
72,72,120.639,74.603,7,22,Frd
73,73,131.504,68.439,9,22,Frd
74,74,295.325,30.475,35,22,Frd
75,75,89.323,100.758,35,22,Frd
76,76,60.751,148.146,35,22,Frd
77,77,54.174,166.131,35,22,Frd
78,78,54.064,166.469,35,22,Frd
79,79,53.846,167.143,34,22,Frd
80,80,53.824,167.212,34,22,Frd
81,81,54.403,165.432,34,22,Frd
82,82,58.088,154.937,34,22,Frd
83,83,89.528,100.527,34,22,Frd
84,84,63.972,140.687,34,22,Frd
85,85,137.098,65.646,34,22,Frd
86,86,76.375,117.840,34,22,Frd
