,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,35,7,Chv
1,1,51.936,173.290,38,7,Chv
2,2,47.731,188.557,41,7,Chv
3,3,47.739,188.525,40,7,Chv
4,4,47.714,188.624,36,7,Chv
5,5,48.325,186.239,38,7,Chv
6,6,47.941,187.731,37,7,Chv
7,7,47.615,189.016,37,7,Chv
8,8,47.823,188.194,37,7,Chv
9,9,48.641,185.029,37,7,Chv
10,10,123.333,72.973,37,7,Chv
11,11,156.882,57.368,22,7,Chv
12,12,9999.999,0.900,37,7,Chv
13,13,151.829,59.277,37,7,Chv
14,14,131.164,68.616,37,7,Chv
15,15,123.562,72.838,37,7,Chv
16,16,109.788,81.976,32,7,Chv
17,17,118.332,76.057,11,7,Chv
18,18,151.905,59.248,38,7,Chv
19,19,128.756,69.900,35,7,Chv
20,20,200.145,44.967,35,7,Chv
21,21,1463.847,6.148,35,7,Chv
22,22,120.741,74.540,34,7,Chv
23,23,107.759,83.520,37,7,Chv
24,24,49.017,183.610,37,7,Chv
25,25,47.038,191.335,38,7,Chv
26,26,47.846,188.103,38,7,Chv
27,27,47.801,188.281,38,7,Chv
28,28,47.652,188.869,39,7,Chv
29,29,46.899,191.902,39,7,Chv
30,30,47.006,191.465,38,7,Chv
31,31,47.656,188.853,39,7,Chv
32,32,48.124,187.017,39,7,Chv
33,33,47.323,190.182,39,7,Chv
34,34,47.399,189.877,37,7,Chv
35,35,46.214,194.746,36,7,Chv
36,36,48.771,184.536,38,7,Chv
37,37,46.655,192.905,36,7,Chv
38,38,47.681,188.754,41,7,Chv
39,39,48.168,186.846,40,7,Chv
40,40,47.127,190.973,41,7,Chv
41,41,47.836,188.143,39,7,Chv
42,42,47.707,188.652,40,7,Chv
43,43,48.703,184.794,39,7,Chv
44,44,47.418,189.801,39,7,Chv
45,45,47.057,191.257,39,7,Chv
46,46,46.849,192.107,37,7,Chv
47,47,46.739,192.559,37,7,Chv
48,48,46.148,195.025,37,7,Chv
49,49,46.856,192.078,37,7,Chv
50,50,46.774,192.415,37,7,Chv
51,51,46.875,192.000,39,7,Chv
52,52,46.902,191.889,39,7,Chv
53,53,47.187,190.730,39,7,Chv
54,54,47.366,190.010,39,7,Chv
55,55,46.823,192.213,39,7,Chv
56,56,46.792,192.341,39,7,Chv
57,57,47.627,188.968,39,7,Chv
58,58,48.441,185.793,39,7,Chv
59,59,48.88,184.124,39,7,Chv
60,60,49.141,183.146,39,7,Chv
61,61,49.405,182.168,39,7,Chv
62,62,49.018,183.606,39,7,Chv
63,63,70.673,127.347,38,7,Chv
64,64,106.969,84.137,38,7,Chv
65,65,130.309,69.067,37,7,Chv
66,66,130.459,68.987,37,7,Chv
67,67,116.223,77.437,20,7,Chv
68,68,123.363,72.955,6,7,Chv
69,69,148.905,60.441,34,7,Chv
70,70,107.103,84.031,30,7,Chv
71,71,87.755,102.558,28,7,Chv
72,72,118.336,76.055,28,7,Chv
73,73,128.205,70.200,26,7,Chv
74,74,126.676,71.047,25,7,Chv
75,75,132.635,67.855,24,7,Chv
76,76,114.496,78.605,21,7,Chv
77,77,50.778,177.242,16,7,Chv
78,78,48.097,187.122,16,7,Chv
79,79,47.587,189.127,13,7,Chv
80,80,47.95,187.696,15,7,Chv
81,81,48.073,187.215,16,7,Chv
82,82,48.356,186.120,16,7,Chv
83,83,81.21,110.824,16,7,Chv
84,84,128.649,69.958,12,7,Chv
85,85,137.441,65.483,18,7,Chv
86,86,117.215,76.782,14,7,Chv
87,87,51.806,173.725,19,7,Chv
88,88,47.672,188.790,22,7,Chv
89,89,47.377,189.966,21,7,Chv
90,90,47.706,188.656,25,7,Chv
91,91,47.976,187.594,27,7,Chv
92,92,47.962,187.649,32,7,Chv
93,93,47.393,189.901,32,7,Chv
94,94,47.275,190.375,32,7,Chv
95,95,47.367,190.006,32,7,Chv
96,96,47.353,190.062,32,7,Chv
97,97,47.158,190.848,32,7,Chv
98,98,47.654,188.861,32,7,Chv
99,99,47.134,190.945,32,7,Chv
100,100,47.372,189.986,32,7,Chv
101,101,47.151,190.876,32,7,Chv
102,102,47.001,191.485,32,7,Chv
103,103,47.563,189.223,32,7,Chv
104,104,47.804,188.269,32,7,Chv
105,105,47.848,188.096,32,7,Chv
106,106,47.69,188.719,32,7,Chv
107,107,47.707,188.652,32,7,Chv
108,108,47.313,190.223,32,7,Chv
109,109,47.243,190.504,33,7,Chv
110,110,47.128,190.969,33,7,Chv
111,111,46.643,192.955,34,7,Chv
112,112,46.73,192.596,33,7,Chv
113,113,46.988,191.538,33,7,Chv
114,114,47.002,191.481,33,7,Chv
115,115,47.026,191.383,34,7,Chv
116,116,47.255,190.456,33,7,Chv
117,117,46.351,194.171,32,7,Chv
118,118,46.668,192.852,31,7,Chv
119,119,46.735,192.575,31,7,Chv
120,120,47.192,190.710,30,7,Chv
121,121,46.615,193.071,29,7,Chv
122,122,46.133,195.088,29,7,Chv
123,123,47.389,189.917,29,7,Chv
124,124,46.764,192.456,30,7,Chv
125,125,47.234,190.541,30,7,Chv
126,126,46.229,194.683,29,7,Chv
127,127,46.139,195.063,29,7,Chv
128,128,46.711,192.674,28,7,Chv
129,129,47.337,190.126,28,7,Chv
130,130,47.855,188.068,28,7,Chv
131,131,83.833,107.356,28,7,Chv
132,132,122.131,73.691,28,7,Chv
133,133,117.74,76.440,6,7,Chv
134,134,128.584,69.993,6,7,Chv
135,135,142.181,63.300,30,7,Chv
136,136,130.747,68.835,28,7,Chv
137,137,113.321,79.420,32,7,Chv
138,138,50.538,178.084,33,7,Chv
139,139,48.005,187.480,33,7,Chv
140,140,47.924,187.797,33,7,Chv
141,141,47.692,188.711,33,7,Chv
142,142,47.816,188.222,33,7,Chv
143,143,47.667,188.810,33,7,Chv
144,144,48.147,186.928,33,7,Chv
145,145,47.652,188.869,33,7,Chv
146,146,47.895,187.911,34,7,Chv
147,147,48.64,185.033,34,7,Chv
148,148,47.774,188.387,33,7,Chv
149,149,47.924,187.797,33,7,Chv
150,150,48.213,186.672,33,7,Chv
151,151,47.956,187.672,33,7,Chv
152,152,48.437,185.808,33,7,Chv
153,153,48.164,186.862,33,7,Chv
154,154,47.76,188.442,33,7,Chv
155,155,48.232,186.598,33,7,Chv
156,156,48.124,187.017,33,7,Chv
157,157,48.46,185.720,33,7,Chv
158,158,48.202,186.714,33,7,Chv
159,159,48.062,187.258,33,7,Chv
160,160,47.396,189.889,31,7,Chv
161,161,48.23,186.606,33,7,Chv
162,162,67.433,133.466,33,7,Chv
163,163,123.835,72.677,12,7,Chv
