,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,21,8,Chv
1,1,51.689,174.118,22,8,Chv
2,2,47.804,188.269,22,8,Chv
3,3,47.789,188.328,21,8,Chv
4,4,48.144,186.939,22,8,Chv
5,5,48.3,186.335,22,8,Chv
6,6,47.742,188.513,18,8,Chv
7,7,47.755,188.462,19,8,Chv
8,8,47.514,189.418,13,8,Chv
9,9,48.172,186.831,13,8,Chv
10,10,114.504,78.600,14,8,Chv
11,11,141.901,63.425,6,8,Chv
12,12,9999.999,0.900,14,8,Chv
13,13,161.793,55.627,14,8,Chv
14,14,127.545,70.563,14,8,Chv
15,15,127.905,70.365,14,8,Chv
16,16,120.216,74.865,8,8,Chv
17,17,135.25,66.543,19,8,Chv
18,18,126.959,70.889,14,8,Chv
19,19,129.163,69.679,12,8,Chv
20,20,140.34,64.130,12,8,Chv
21,21,1518.01,5.929,12,8,Chv
22,22,125.847,71.515,10,8,Chv
23,23,122.405,73.526,8,8,Chv
24,24,51.625,174.334,7,8,Chv
25,25,47.949,187.699,7,8,Chv
26,26,47.792,188.316,4,8,Chv
27,27,47.541,189.310,6,8,Chv
28,28,47.196,190.694,4,8,Chv
29,29,47.065,191.225,4,8,Chv
30,30,47.108,191.050,3,8,Chv
31,31,47.85,188.088,7,8,Chv
32,32,47.397,189.885,8,8,Chv
33,33,47.353,190.062,6,8,Chv
34,34,47.203,190.666,4,8,Chv
35,35,47.42,189.793,3,8,Chv
36,36,47.482,189.546,3,8,Chv
37,37,47.279,190.359,4,8,Chv
38,38,47.459,189.637,5,8,Chv
39,39,47.452,189.665,4,8,Chv
40,40,47.46,189.633,3,8,Chv
41,41,47.475,189.573,3,8,Chv
42,42,47.495,189.494,2,8,Chv
43,43,47.586,189.131,3,8,Chv
44,44,47.577,189.167,10,8,Chv
45,45,47.539,189.318,8,8,Chv
46,46,46.959,191.657,6,8,Chv
47,47,46.599,193.137,4,8,Chv
48,48,46.653,192.914,4,8,Chv
49,49,46.739,192.559,4,8,Chv
50,50,47.129,190.965,4,8,Chv
51,51,46.889,191.943,4,8,Chv
52,52,47.006,191.465,8,8,Chv
53,53,46.753,192.501,9,8,Chv
54,54,46.564,193.282,10,8,Chv
55,55,46.579,193.220,12,8,Chv
56,56,46.441,193.794,12,8,Chv
57,57,46.437,193.811,15,8,Chv
58,58,46.773,192.419,21,8,Chv
59,59,46.81,192.267,25,8,Chv
60,60,46.435,193.819,22,8,Chv
61,61,46.674,192.827,19,8,Chv
62,62,46.577,193.228,22,8,Chv
63,63,63.955,140.724,20,8,Chv
64,64,121.517,74.064,20,8,Chv
65,65,130.371,69.034,20,8,Chv
66,66,129.92,69.273,20,8,Chv
67,67,124.267,72.425,15,8,Chv
68,68,139.883,64.339,26,8,Chv
69,69,124.067,72.541,19,8,Chv
70,70,118.395,76.017,35,8,Chv
71,71,116.26,77.413,34,8,Chv
72,72,122.177,73.664,34,8,Chv
73,73,96.844,92.933,29,8,Chv
74,74,162.993,55.217,33,8,Chv
75,75,96.153,93.601,29,8,Chv
76,76,115.301,78.057,32,8,Chv
77,77,48.914,183.996,27,8,Chv
78,78,47.917,187.825,27,8,Chv
79,79,47.483,189.542,24,8,Chv
80,80,47.931,187.770,24,8,Chv
81,81,48.06,187.266,24,8,Chv
82,82,48.383,186.016,26,8,Chv
83,83,85.03,105.845,26,8,Chv
84,84,126.231,71.298,18,8,Chv
85,85,141.731,63.501,31,8,Chv
86,86,114.128,78.859,33,8,Chv
87,87,49.23,182.815,31,8,Chv
88,88,47.441,189.709,28,8,Chv
89,89,47.438,189.721,27,8,Chv
90,90,47.509,189.438,26,8,Chv
91,91,47.768,188.411,24,8,Chv
92,92,47.576,189.171,27,8,Chv
93,93,47.244,190.500,28,8,Chv
94,94,47.232,190.549,26,8,Chv
95,95,47.358,190.042,27,8,Chv
96,96,47.435,189.733,28,8,Chv
97,97,47.388,189.921,29,8,Chv
98,98,47.172,190.791,24,8,Chv
99,99,47.256,190.452,25,8,Chv
100,100,47.415,189.813,26,8,Chv
101,101,47.191,190.714,26,8,Chv
102,102,46.988,191.538,25,8,Chv
103,103,47.537,189.326,26,8,Chv
104,104,47.781,188.359,25,8,Chv
105,105,47.708,188.648,25,8,Chv
106,106,47.897,187.903,26,8,Chv
107,107,47.597,189.088,28,8,Chv
108,108,47.365,190.014,28,8,Chv
109,109,47.053,191.274,25,8,Chv
110,110,46.529,193.428,20,8,Chv
111,111,46.683,192.790,20,8,Chv
112,112,46.902,191.889,19,8,Chv
113,113,47.087,191.136,26,8,Chv
114,114,46.593,193.162,24,8,Chv
115,115,46.609,193.096,21,8,Chv
116,116,46.923,191.804,21,8,Chv
117,117,46.564,193.282,18,8,Chv
118,118,46.645,192.947,14,8,Chv
119,119,46.872,192.012,8,8,Chv
120,120,46.836,192.160,7,8,Chv
121,121,46.899,191.902,7,8,Chv
122,122,46.911,191.853,7,8,Chv
123,123,47.045,191.306,14,8,Chv
124,124,46.382,194.041,13,8,Chv
125,125,46.429,193.844,13,8,Chv
126,126,46.287,194.439,13,8,Chv
127,127,46.556,193.316,12,8,Chv
128,128,46.47,193.673,13,8,Chv
129,129,46.293,194.414,12,8,Chv
130,130,46.046,195.457,10,8,Chv
131,131,79.359,113.409,9,8,Chv
132,132,122.94,73.206,10,8,Chv
133,133,127.661,70.499,9,8,Chv
134,134,127.571,70.549,4,8,Chv
135,135,128.239,70.181,4,8,Chv
136,136,129.846,69.313,4,8,Chv
137,137,125.775,71.556,2,8,Chv
138,138,51.92,173.344,2,8,Chv
139,139,47.872,188.001,5,8,Chv
140,140,47.663,188.826,5,8,Chv
141,141,47.734,188.545,4,8,Chv
142,142,47.72,188.600,3,8,Chv
143,143,47.602,189.068,3,8,Chv
144,144,47.783,188.352,3,8,Chv
145,145,47.854,188.072,6,8,Chv
146,146,47.889,187.935,4,8,Chv
147,147,48.022,187.414,5,8,Chv
148,148,48.188,186.768,9,8,Chv
149,149,47.736,188.537,5,8,Chv
150,150,48.117,187.044,5,8,Chv
151,151,48.325,186.239,7,8,Chv
152,152,48.221,186.641,6,8,Chv
153,153,48.028,187.391,6,8,Chv
154,154,48.053,187.293,8,8,Chv
155,155,47.892,187.923,5,8,Chv
156,156,48.341,186.177,7,8,Chv
157,157,48.314,186.281,6,8,Chv
158,158,48.331,186.216,10,8,Chv
159,159,48.09,187.149,4,8,Chv
160,160,48.407,185.924,6,8,Chv
161,161,48.412,185.904,6,8,Chv
162,162,62.422,144.180,6,8,Chv
163,163,126.248,71.288,5,8,Chv
164,164,134.558,66.886,7,8,Chv
165,165,134.661,66.834,5,8,Chv
166,166,51.098,176.132,6,8,Chv
167,167,46.564,193.282,3,8,Chv
168,168,46.511,193.503,3,8,Chv
169,169,46.474,193.657,3,8,Chv
170,170,46.42,193.882,3,8,Chv
171,171,46.452,193.748,3,8,Chv
172,172,46.417,193.894,3,8,Chv
173,173,46.613,193.079,3,8,Chv
174,174,46.609,193.096,3,8,Chv
175,175,46.533,193.411,3,8,Chv
176,176,46.5,193.548,3,8,Chv
177,177,46.386,194.024,3,8,Chv
178,178,46.314,194.326,3,8,Chv
179,179,46.489,193.594,3,8,Chv
180,180,46.511,193.503,3,8,Chv
181,181,46.592,193.166,3,8,Chv
182,182,46.222,194.712,3,8,Chv
183,183,46.613,193.079,3,8,Chv
184,184,46.478,193.640,3,8,Chv
185,185,46.471,193.669,5,8,Chv
186,186,619.625,14.525,33,8,Chv
