,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,27,60,Frd
1,1,51.868,173.517,26,60,Frd
2,2,47.404,189.857,24,60,Frd
3,3,47.901,187.888,24,60,Frd
4,4,48.123,187.021,24,60,Frd
5,5,48.2,186.722,23,60,Frd
6,6,48.852,184.230,38,60,Frd
7,7,48.077,187.200,39,60,Frd
8,8,47.687,188.731,39,60,Frd
9,9,48.805,184.407,39,60,Frd
10,10,124.144,72.496,40,60,Frd
11,11,156.738,57.421,23,60,Frd
12,12,9999.999,0.900,39,60,Frd
13,13,147.575,60.986,39,60,Frd
14,14,131.602,68.388,39,60,Frd
15,15,123.763,72.720,39,60,Frd
16,16,109.206,82.413,35,60,Frd
17,17,116.352,77.351,10,60,Frd
18,18,152.345,59.076,39,60,Frd
19,19,129.066,69.732,37,60,Frd
20,20,203.084,44.317,36,60,Frd
21,21,1461.344,6.159,36,60,Frd
22,22,119.421,75.364,33,60,Frd
23,23,108.965,82.595,41,60,Frd
24,24,48.901,184.045,41,60,Frd
25,25,46.203,194.793,36,60,Frd
26,26,47.55,189.274,33,60,Frd
27,27,47.515,189.414,34,60,Frd
28,28,47.385,189.934,33,60,Frd
29,29,47.681,188.754,38,60,Frd
30,30,46.458,193.723,34,60,Frd
31,31,47.651,188.873,32,60,Frd
32,32,47.271,190.392,31,60,Frd
33,33,47.301,190.271,28,60,Frd
34,34,47.179,190.763,26,60,Frd
35,35,47.431,189.749,27,60,Frd
36,36,47.547,189.286,27,60,Frd
37,37,47.234,190.541,26,60,Frd
38,38,47.493,189.502,29,60,Frd
39,39,48.392,185.981,35,60,Frd
40,40,47.548,189.282,36,60,Frd
41,41,48.141,186.951,36,60,Frd
42,42,47.285,190.335,34,60,Frd
43,43,48.47,185.682,36,60,Frd
44,44,45.925,195.972,36,60,Frd
45,45,48.191,186.757,35,60,Frd
46,46,48.035,187.363,35,60,Frd
47,47,46.339,194.221,35,60,Frd
48,48,46.353,194.162,35,60,Frd
49,49,45.528,197.681,32,60,Frd
50,50,46.89,191.939,30,60,Frd
51,51,46.913,191.844,28,60,Frd
52,52,46.527,193.436,24,60,Frd
53,53,47.024,191.392,27,60,Frd
54,54,46.538,193.390,29,60,Frd
55,55,47.116,191.018,31,60,Frd
56,56,45.888,196.130,29,60,Frd
57,57,46.061,195.393,25,60,Frd
58,58,46.354,194.158,25,60,Frd
59,59,46.549,193.345,22,60,Frd
60,60,46.555,193.320,23,60,Frd
61,61,46.553,193.328,17,60,Frd
62,62,46.603,193.121,20,60,Frd
63,63,63.584,141.545,18,60,Frd
64,64,121.016,74.370,19,60,Frd
65,65,129.908,69.280,18,60,Frd
66,66,129.278,69.617,18,60,Frd
67,67,125.76,71.565,13,60,Frd
68,68,136.454,65.956,23,60,Frd
69,69,128.491,70.044,20,60,Frd
70,70,115.982,77.598,18,60,Frd
71,71,76.996,116.889,13,60,Frd
72,72,122.392,73.534,13,60,Frd
73,73,130.261,69.092,14,60,Frd
74,74,124.265,72.426,9,60,Frd
75,75,129.791,69.342,6,60,Frd
76,76,124.187,72.471,4,60,Frd
77,77,51.574,174.507,2,60,Frd
78,78,48.082,187.180,3,60,Frd
79,79,47.672,188.790,1,60,Frd
80,80,47.945,187.715,2,60,Frd
81,81,48.063,187.254,2,60,Frd
82,82,48.335,186.200,2,60,Frd
83,83,75.984,118.446,2,60,Frd
84,84,129.715,69.383,3,60,Frd
85,85,133.941,67.194,5,60,Frd
86,86,124.735,72.153,5,60,Frd
87,87,51.961,173.207,7,60,Frd
88,88,47.522,189.386,5,60,Frd
89,89,47.467,189.605,5,60,Frd
90,90,47.69,188.719,10,60,Frd
91,91,47.833,188.155,10,60,Frd
92,92,47.315,190.215,5,60,Frd
93,93,47.348,190.082,6,60,Frd
94,94,47.278,190.363,7,60,Frd
95,95,47.329,190.158,6,60,Frd
96,96,47.268,190.404,3,60,Frd
97,97,47.204,190.662,1,60,Frd
98,98,47.279,190.359,1,60,Frd
99,99,47.35,190.074,1,60,Frd
100,100,47.439,189.717,1,60,Frd
101,101,47.161,190.836,1,60,Frd
102,102,47.13,190.961,3,60,Frd
103,103,47.55,189.274,5,60,Frd
104,104,47.752,188.474,4,60,Frd
105,105,47.812,188.237,5,60,Frd
106,106,47.79,188.324,6,60,Frd
107,107,47.563,189.223,7,60,Frd
108,108,47.407,189.845,8,60,Frd
109,109,47.359,190.038,15,60,Frd
110,110,47.739,188.525,30,60,Frd
111,111,47.05,191.286,31,60,Frd
112,112,46.879,191.984,32,60,Frd
113,113,47.056,191.261,32,60,Frd
114,114,47.023,191.396,32,60,Frd
115,115,46.858,192.070,32,60,Frd
116,116,47.576,189.171,34,60,Frd
117,117,46.374,194.074,33,60,Frd
118,118,46.608,193.100,32,60,Frd
119,119,46.56,193.299,30,60,Frd
120,120,46.388,194.016,29,60,Frd
121,121,46.884,191.963,27,60,Frd
122,122,46.435,193.819,27,60,Frd
123,123,46.25,194.595,20,60,Frd
124,124,46.331,194.254,17,60,Frd
125,125,46.413,193.911,17,60,Frd
126,126,46.293,194.414,17,60,Frd
127,127,46.574,193.241,17,60,Frd
128,128,46.493,193.578,16,60,Frd
129,129,46.284,194.452,16,60,Frd
130,130,46.023,195.554,14,60,Frd
131,131,80.952,111.177,14,60,Frd
132,132,123.103,73.110,14,60,Frd
133,133,126.736,71.014,11,60,Frd
134,134,135.853,66.248,21,60,Frd
135,135,127.375,70.658,17,60,Frd
136,136,130.644,68.890,17,60,Frd
137,137,117.68,76.479,16,60,Frd
138,138,51.372,175.193,20,60,Frd
139,139,47.767,188.415,20,60,Frd
140,140,47.662,188.830,19,60,Frd
141,141,47.713,188.628,20,60,Frd
142,142,47.726,188.576,18,60,Frd
143,143,47.621,188.992,19,60,Frd
144,144,47.767,188.415,19,60,Frd
145,145,47.723,188.588,19,60,Frd
146,146,47.989,187.543,18,60,Frd
147,147,48.024,187.406,19,60,Frd
148,148,47.982,187.570,16,60,Frd
149,149,47.969,187.621,19,60,Frd
150,150,48.097,187.122,19,60,Frd
151,151,48.374,186.050,22,60,Frd
152,152,48.296,186.351,23,60,Frd
153,153,47.949,187.699,21,60,Frd
154,154,48.129,186.997,23,60,Frd
155,155,47.926,187.790,22,60,Frd
156,156,48.292,186.366,24,60,Frd
157,157,48.221,186.641,20,60,Frd
158,158,48.413,185.900,25,60,Frd
159,159,48.385,186.008,26,60,Frd
160,160,48.368,186.073,27,60,Frd
161,161,48.361,186.100,29,60,Frd
162,162,66.076,136.207,27,60,Frd
163,163,128.672,69.945,20,60,Frd
164,164,139.47,64.530,24,60,Frd
165,165,125.487,71.721,32,60,Frd
166,166,49.269,182.671,26,60,Frd
167,167,46.354,194.158,22,60,Frd
168,168,46.737,192.567,23,60,Frd
169,169,46.516,193.482,21,60,Frd
170,170,46.471,193.669,20,60,Frd
171,171,46.593,193.162,23,60,Frd
172,172,46.658,192.893,23,60,Frd
173,173,46.623,193.038,25,60,Frd
174,174,46.508,193.515,23,60,Frd
175,175,46.407,193.936,22,60,Frd
176,176,46.472,193.665,23,60,Frd
177,177,46.337,194.229,19,60,Frd
178,178,46.38,194.049,20,60,Frd
179,179,46.628,193.017,23,60,Frd
180,180,46.375,194.070,20,60,Frd
181,181,46.466,193.690,21,60,Frd
182,182,46.218,194.729,22,60,Frd
183,183,46.693,192.748,24,60,Frd
184,184,46.297,194.397,22,60,Frd
185,185,46.389,194.012,26,60,Frd
186,186,63.296,142.189,16,60,Frd
187,187,124.547,72.262,16,60,Frd
188,188,126.183,71.325,15,60,Frd
189,189,130.708,68.856,18,60,Frd
190,190,130.174,69.138,18,60,Frd
191,191,131.817,68.276,18,60,Frd
192,192,114.622,78.519,19,60,Frd
193,193,50.414,178.522,14,60,Frd
194,194,46.631,193.005,12,60,Frd
195,195,46.796,192.324,12,60,Frd
