,Lap,LapTime,LapSpeed,RunningPos
0,0,,,14
1,1,33.37,166.137,13
2,2,30.764,180.211,14
3,3,30.394,182.404,12
4,4,30.547,181.491,12
5,5,30.571,181.348,10
6,6,30.499,181.776,9
7,7,30.751,180.287,9
8,8,30.572,181.342,9
9,9,30.653,180.863,9
10,10,30.674,180.739,9
11,11,30.585,181.265,9
12,12,30.597,181.194,9
13,13,30.268,183.164,7
14,14,30.639,180.946,7
15,15,30.623,181.040,8
16,16,30.629,181.005,9
17,17,30.547,181.491,8
18,18,30.466,181.973,7
19,19,30.666,180.787,7
20,20,30.495,181.800,7
21,21,30.493,181.812,8
22,22,30.617,181.076,7
23,23,30.592,181.224,8
24,24,30.489,181.836,7
25,25,30.441,182.123,4
26,26,30.768,180.187,5
27,27,30.516,181.675,5
28,28,30.396,182.392,5
29,29,30.316,182.874,5
30,30,30.396,182.392,4
31,31,30.621,181.052,5
32,32,30.643,180.922,5
33,33,30.752,180.281,6
34,34,30.342,182.717,6
35,35,30.529,181.598,6
36,36,30.606,181.141,6
37,37,30.359,182.615,5
38,38,30.243,183.315,5
39,39,30.35,182.669,5
40,40,30.34,182.729,5
41,41,30.31,182.910,5
42,42,30.154,183.856,5
43,43,30.296,182.994,5
44,44,30.151,183.874,5
45,45,30.5,181.770,6
46,46,30.249,183.279,5
47,47,30.256,183.236,3
48,48,30.359,182.615,3
49,49,30.392,182.416,3
50,50,30.524,181.628,4
51,51,30.297,182.988,4
52,52,30.311,182.904,4
53,53,30.269,183.158,4
54,54,30.289,183.037,4
55,55,30.337,182.747,4
56,56,30.295,183.000,4
57,57,30.529,181.598,4
58,58,30.362,182.597,4
59,59,30.362,182.597,4
60,60,30.315,182.880,4
61,61,51.951,106.716,4
62,62,90.952,60.955,4
63,63,100.155,55.354,4
64,64,102.084,54.308,7
65,65,104.671,52.966,11
66,66,98.885,56.065,10
67,67,102.218,54.237,10
68,68,89.603,61.873,9
69,69,32.966,168.173,9
70,70,30.174,183.734,8
71,71,30.282,183.079,8
72,72,30.322,182.838,8
73,73,30.339,182.735,7
74,74,30.426,182.213,5
75,75,30.373,182.531,6
76,76,30.504,181.747,6
77,77,30.315,182.880,6
78,78,30.452,182.057,7
79,79,30.259,183.218,7
80,80,30.258,183.224,7
81,81,30.303,182.952,9
82,82,47.041,117.855,8
83,83,92.182,60.142,9
84,84,100.223,55.317,9
85,85,100.978,54.903,8
86,86,98.637,56.206,10
87,87,104.572,53.016,10
88,88,90.292,61.401,8
89,89,33.625,164.877,8
90,90,30.414,182.284,7
91,91,30.333,182.771,8
92,92,30.183,183.680,6
93,93,30.402,182.356,6
94,94,30.3,182.970,6
95,95,30.378,182.500,6
96,96,30.497,181.788,6
97,97,30.349,182.675,5
98,98,30.215,183.485,5
99,99,30.185,183.667,5
100,100,30.245,183.303,4
101,101,30.546,181.497,5
102,102,34.243,161.902,4
103,103,89.083,62.234,4
104,104,108.268,51.206,4
105,105,112.363,49.340,4
106,106,103.883,53.368,4
107,107,94.719,58.531,5
108,108,33.4,165.988,6
109,109,30.137,183.960,6
110,110,29.979,184.929,6
111,111,30.23,183.394,7
112,112,29.947,185.127,8
113,113,30.311,182.904,10
114,114,30.049,184.499,9
115,115,30.42,182.249,8
116,116,30.242,183.321,7
117,117,29.974,184.960,7
118,118,29.917,185.313,5
119,119,30.27,183.152,6
120,120,30.048,184.505,6
121,121,30.131,183.997,8
122,122,30.174,183.734,7
123,123,30.159,183.826,8
124,124,30.235,183.364,8
125,125,30.2,183.576,7
126,126,30.252,183.261,7
127,127,30.149,183.887,7
128,128,30.139,183.948,7
129,129,30.105,184.155,7
130,130,30.057,184.450,7
131,131,30.223,183.436,6
132,132,30.246,183.297,7
133,133,30.429,182.195,7
134,134,30.384,182.464,9
135,135,54.368,101.972,8
136,136,85.216,65.058,8
137,137,101.274,54.743,8
138,138,100.216,55.321,8
139,139,102.121,54.289,8
140,140,90.481,61.273,7
141,141,33.426,165.859,8
142,142,30.081,184.302,8
143,143,30.102,184.174,7
144,144,30.076,184.333,6
145,145,30.221,183.449,7
146,146,30.38,182.488,7
147,147,30.304,182.946,6
148,148,30.473,181.932,6
149,149,30.453,182.051,6
150,150,48.575,114.133,6
151,151,101.656,54.537,6
152,152,109.337,50.706,6
153,153,110.895,49.993,6
154,154,105.053,52.773,6
155,155,102.633,54.018,6
156,156,102.51,54.083,6
157,157,33.412,165.928,6
158,158,30.09,184.247,4
159,159,30.056,184.456,4
160,160,30.106,184.149,2
161,161,50.542,109.691,2
162,162,90.69,61.131,2
163,163,100.877,54.958,2
164,164,102.508,54.084,6
165,165,109.27,50.737,22
166,166,100.281,55.285,22
167,167,107.746,51.454,25
168,168,79.562,69.682,21
169,169,33.478,165.601,25
170,170,30.358,182.621,25
171,171,30.335,182.759,26
172,172,30.607,181.135,28
173,173,30.101,184.180,27
174,174,30.346,182.693,28
175,175,30.586,181.259,28
176,176,30.333,182.771,25
177,177,30.445,182.099,24
178,178,30.561,181.408,18
179,179,30.562,181.402,17
180,180,30.104,184.162,16
181,181,30.463,181.991,15
182,182,30.629,181.005,16
183,183,30.695,180.616,19
184,184,49.72,111.504,19
185,185,95.207,58.231,18
186,186,105.546,52.527,19
187,187,97.592,56.808,19
188,188,101.552,54.593,19
189,189,102.662,54.002,9
190,190,103.213,53.714,15
191,191,102.395,54.143,15
192,192,86.543,64.061,15
193,193,32.932,168.347,14
194,194,30.477,181.908,17
195,195,30.399,182.374,16
196,196,30.573,181.336,19
197,197,30.316,182.874,18
198,198,30.445,182.099,20
199,199,30.358,182.621,18
200,200,30.383,182.470,19
201,201,30.563,181.396,18
202,202,30.332,182.777,18
203,203,30.199,183.582,19
204,204,30.513,181.693,19
205,205,63.126,87.824,17
206,206,96.024,57.736,18
207,207,101.122,54.825,17
208,208,100.994,54.894,17
209,209,99.694,55.610,16
210,210,99.684,55.616,16
211,211,104.372,53.118,16
212,212,83.613,66.305,14
213,213,32.679,169.650,15
214,214,30.143,183.923,15
215,215,30.275,183.121,18
216,216,30.168,183.771,17
217,217,30.13,184.003,17
218,218,30.003,184.782,13
219,219,30.159,183.826,13
220,220,30.537,181.550,16
221,221,30.504,181.747,18
222,222,30.314,182.886,17
223,223,30.046,184.517,12
224,224,30.213,183.497,11
225,225,30.127,184.021,9
226,226,30.244,183.309,10
227,227,30.052,184.480,9
228,228,30.248,183.285,9
229,229,30.239,183.339,8
230,230,30.181,183.692,7
231,231,30.394,182.404,8
232,232,30.422,182.237,8
233,233,30.339,182.735,9
234,234,40.269,137.674,6
235,235,90.658,61.153,7
236,236,99.647,55.636,7
237,237,102.066,54.318,7
238,238,90.56,61.219,8
239,239,32.943,168.291,6
240,240,30.434,182.165,8
241,241,30.447,182.087,11
242,242,29.971,184.979,7
243,243,29.835,185.822,6
244,244,29.819,185.922,6
245,245,29.87,185.604,5
246,246,30.304,182.946,6
247,247,30.24,183.333,7
248,248,30.211,183.509,6
249,249,30.279,183.097,6
250,250,30.368,182.561,6
251,251,30.387,182.446,6
252,252,30.369,182.555,7
