,Lap,LapTime,LapSpeed,RunningPos
0,0,,,6
1,1,33.711,164.457,6
2,2,30.655,180.851,6
3,3,30.731,180.404,7
4,4,30.513,181.693,6
5,5,30.574,181.331,6
6,6,30.512,181.699,6
7,7,30.669,180.769,6
8,8,30.629,181.005,6
9,9,30.576,181.319,6
10,10,30.635,180.969,6
11,11,30.621,181.052,6
12,12,30.658,180.834,6
13,13,30.453,182.051,6
14,14,30.735,180.381,6
15,15,30.619,181.064,6
16,16,30.597,181.194,7
17,17,30.923,179.284,11
18,18,30.46,182.009,11
19,19,30.615,181.088,11
20,20,30.524,181.628,11
21,21,30.445,182.099,11
22,22,30.74,180.351,11
23,23,30.499,181.776,10
24,24,30.459,182.015,11
25,25,30.637,180.958,10
26,26,30.602,181.165,11
27,27,30.708,180.539,10
28,28,30.388,182.440,9
29,29,30.411,182.302,10
30,30,30.246,183.297,10
31,31,30.604,181.153,11
32,32,30.773,180.158,12
33,33,30.471,181.943,12
34,34,30.42,182.249,11
35,35,30.567,181.372,10
36,36,30.564,181.390,10
37,37,30.608,181.129,12
38,38,30.443,182.111,13
39,39,30.305,182.940,12
40,40,30.213,183.497,12
41,41,30.198,183.588,12
42,42,30.218,183.467,10
43,43,30.206,183.540,9
44,44,30.373,182.531,11
45,45,30.193,183.619,11
46,46,30.313,182.892,12
47,47,30.331,182.783,9
48,48,30.349,182.675,9
49,49,30.421,182.243,8
50,50,30.337,182.747,9
51,51,30.773,180.158,12
52,52,30.08,184.309,10
53,53,30.234,183.370,9
54,54,30.377,182.507,9
55,55,30.245,183.303,11
56,56,30.271,183.146,9
57,57,30.439,182.135,8
58,58,30.517,181.669,9
59,59,30.276,183.115,9
60,60,30.596,181.200,12
61,61,54.991,100.816,12
62,62,91.448,60.625,12
63,63,100.977,54.904,12
64,64,99.578,55.675,12
65,65,124.99,44.356,34
66,66,86.953,63.759,32
67,67,101.692,54.518,21
68,68,83.438,66.445,38
69,69,32.222,172.056,36
70,70,29.948,185.121,36
71,71,29.691,186.723,36
72,72,29.733,186.459,36
73,73,30.06,184.431,35
74,74,30.294,183.007,33
75,75,30.33,182.789,31
76,76,30.386,182.452,28
77,77,30.067,184.388,26
78,78,30.86,179.650,28
79,79,30.51,181.711,29
80,80,30.217,183.473,29
81,81,29.99,184.862,27
82,82,53.479,103.667,27
83,83,95.974,57.766,27
84,84,99.691,55.612,27
85,85,98.415,56.333,20
86,86,101.537,54.601,25
87,87,105.359,52.620,24
88,88,79.216,69.986,25
89,89,33.362,166.177,27
90,90,30.377,182.507,25
91,91,30.422,182.237,22
92,92,30.26,183.212,22
93,93,30.278,183.103,23
94,94,30.287,183.049,24
95,95,30.573,181.336,25
96,96,30.417,182.266,26
97,97,30.341,182.723,23
98,98,30.345,182.699,24
99,99,30.104,184.162,22
100,100,30.364,182.585,22
101,101,30.332,182.777,24
102,102,36.649,151.273,20
103,103,95.368,58.133,21
104,104,110.261,50.281,23
105,105,106.621,51.997,15
106,106,123.363,44.941,29
107,107,71.189,77.877,29
108,108,32.554,170.302,27
109,109,30.332,182.777,23
110,110,29.915,185.325,23
111,111,29.942,185.158,21
112,112,29.733,186.459,19
113,113,30.22,183.455,21
114,114,30.272,183.140,19
115,115,29.971,184.979,18
116,116,30.314,182.886,18
117,117,30.461,182.003,19
118,118,29.93,185.232,18
119,119,30.077,184.327,18
120,120,30.393,182.410,18
121,121,30.372,182.537,18
122,122,29.573,187.468,16
123,123,30.227,183.412,17
124,124,30.011,184.732,17
125,125,30.163,183.801,15
126,126,30.077,184.327,14
127,127,30.354,182.645,16
128,128,30.394,182.404,18
129,129,30.029,184.622,17
130,130,29.971,184.979,15
131,131,30.036,184.579,15
132,132,30.325,182.819,16
133,133,30.318,182.862,14
