,Lap,LapTime,LapSpeed,RunningPos
0,0,,,13
1,1,105.903,81.584,11
2,2,101.679,84.973,11
3,3,101.449,85.166,11
4,4,103.207,83.715,13
5,5,101.601,85.039,13
6,6,102.559,84.244,14
7,7,102.206,84.535,14
8,8,102.248,84.500,14
9,9,101.942,84.754,14
10,10,102.103,84.620,14
11,11,102.647,84.172,14
12,12,102.426,84.354,14
13,13,102.827,84.025,14
14,14,103.074,83.823,14
15,15,103.401,83.558,14
16,16,103.335,83.612,12
17,17,127.16,67.946,17
18,18,108.853,79.373,16
19,19,101.695,84.960,16
20,20,103.056,83.838,15
21,21,133.841,64.554,14
22,22,166.758,51.812,14
23,23,190.138,45.441,12
24,24,197.293,43.793,12
25,25,178.828,48.315,10
26,26,106.892,80.829,14
27,27,102.263,84.488,15
28,28,101.193,85.381,15
29,29,101.789,84.881,15
30,30,101.4,85.207,15
31,31,101.365,85.237,15
32,32,101.839,84.840,15
33,33,101.767,84.900,14
34,34,102.096,84.626,14
35,35,102.539,84.261,14
36,36,102.736,84.099,15
37,37,103.464,83.507,16
38,38,103.673,83.339,17
39,39,105.402,81.972,20
40,40,104.586,82.611,20
41,41,128.797,67.082,33
42,42,108.23,79.830,34
43,43,101.343,85.255,28
44,44,102.849,84.007,28
45,45,107.721,80.207,28
46,46,137.212,62.968,28
47,47,160.237,53.920,21
48,48,198.245,43.582,18
49,49,190.229,45.419,20
50,50,112.95,76.494,19
51,51,202.149,42.741,18
52,52,207.481,41.642,18
53,53,206.667,41.806,18
54,54,184.788,46.756,20
55,55,106.469,81.150,20
56,56,103.676,83.337,20
57,57,102.362,84.406,19
58,58,101.404,85.204,18
59,59,101.169,85.402,18
60,60,101.276,85.311,18
61,61,101.654,84.994,17
62,62,101.67,84.981,17
63,63,103.31,83.632,17
64,64,101.985,84.718,17
65,65,101.802,84.871,16
66,66,101.945,84.752,16
67,67,104.238,82.887,15
68,68,102.317,84.443,12
69,69,126.273,68.423,24
70,70,108.307,79.773,29
71,71,101.238,85.343,28
72,72,100.701,85.799,26
73,73,102.453,84.331,24
74,74,101.436,85.177,24
75,75,102.65,84.170,23
76,76,101.244,85.338,22
77,77,102.076,84.643,22
78,78,116.964,73.869,20
79,79,154.011,56.100,13
80,80,203.091,42.543,12
81,81,206.381,41.864,12
82,82,211.817,40.790,12
83,83,114.896,75.198,33
84,84,101.759,84.906,33
85,85,102.455,84.330,30
86,86,104.249,82.878,32
87,87,102.375,84.396,31
88,88,150.373,57.457,34
89,89,109.184,79.132,34
90,90,103.361,83.591,34
91,91,102.981,83.899,34
92,92,103.018,83.869,34
93,93,102.577,84.229,34
94,94,103.577,83.416,34
95,95,105.786,81.674,34
