,Lap,LapTime,LapSpeed,RunningPos
0,0,,,37
1,1,29.817,120.736,37
2,2,28.728,125.313,37
3,3,28.525,126.205,37
4,4,36.992,97.318,37
5,5,58.073,61.991,37
6,6,84.597,42.555,37
7,7,56.365,63.869,36
8,8,80.777,44.567,35
9,9,48.671,73.966,37
10,10,36.803,97.818,34
11,11,78.441,45.894,35
12,12,73.658,48.875,33
13,13,80.662,44.631,32
14,14,49.566,72.630,37
15,15,29.898,120.409,37
16,16,29.132,123.575,37
17,17,29.186,123.347,37
18,18,28.993,124.168,37
19,19,29.019,124.057,37
20,20,29.152,123.491,36
21,21,29.163,123.444,36
22,22,29.364,122.599,36
23,23,29.312,122.817,36
24,24,29.395,122.470,36
25,25,29.425,122.345,36
26,26,29.672,121.327,36
27,27,29.853,120.591,36
28,28,30.035,119.860,36
29,29,30.569,117.766,37
30,30,30.573,117.751,37
31,31,30.542,117.870,37
32,32,30.399,118.425,37
33,33,30.952,116.309,37
34,34,31.136,115.622,37
35,35,30.867,116.629,37
36,36,31.186,115.436,37
37,37,31.216,115.325,37
38,38,31.963,112.630,37
39,39,31.898,112.860,37
40,40,31.564,114.054,37
41,41,31.517,114.224,37
42,42,31.92,112.782,37
43,43,31.375,114.741,37
44,44,30.88,116.580,37
45,45,31.4,114.650,37
46,46,30.755,117.054,37
47,47,30.956,116.294,37
48,48,31.687,113.611,37
49,49,30.821,116.803,37
50,50,31.225,115.292,37
51,51,31.097,115.767,37
52,52,31.68,113.636,37
53,53,32.134,112.031,37
54,54,31.481,114.355,37
55,55,31.258,115.171,37
56,56,32.051,112.321,37
57,57,30.528,117.925,37
58,58,31.513,114.239,37
59,59,44.863,80.244,37
60,60,55.313,65.084,37
61,61,73.532,48.958,37
62,62,69.079,52.114,37
63,63,54.596,65.939,37
64,64,88.534,40.662,37
65,65,90.483,39.786,37
66,66,71.572,50.299,37
67,67,71.444,50.389,37
68,68,82.268,43.759,37
69,69,42.015,85.684,37
70,70,29.748,121.017,37
71,71,28.764,125.156,37
72,72,28.902,124.559,37
73,73,28.992,124.172,37
74,74,29.077,123.809,37
75,75,29.217,123.216,37
76,76,29.246,123.094,37
77,77,29.018,124.061,37
78,78,29.13,123.584,37
79,79,29.224,123.186,37
80,80,29.247,123.090,37
81,81,29.243,123.106,37
82,82,29.45,122.241,37
83,83,29.56,121.786,37
84,84,29.637,121.470,37
85,85,29.651,121.412,37
86,86,29.649,121.421,37
87,87,29.787,120.858,37
88,88,29.783,120.874,37
89,89,32.783,109.813,37
90,90,43.951,81.909,37
91,91,56.911,63.257,37
92,92,49.668,72.481,37
93,93,88.295,40.772,37
94,94,85.274,42.217,36
95,95,75.113,47.928,36
96,96,49.739,72.378,36
97,97,60.545,59.460,36
98,98,74.899,48.065,36
99,99,83.068,43.338,32
100,100,72.083,49.942,28
101,101,76.564,47.019,28
102,102,65.491,54.969,28
103,103,57.227,62.907,28
104,104,39.162,91.926,28
105,105,59.2,60.811,28
106,106,72.452,49.688,28
107,107,73.886,48.724,28
108,108,71.845,50.108,28
109,109,75.352,47.776,28
110,110,61.029,58.988,28
111,111,68.137,52.835,28
112,112,30.423,118.332,28
113,113,30.621,117.566,28
114,114,29.321,122.779,28
115,115,29.075,123.818,28
116,116,29.029,124.014,28
117,117,29.068,123.848,28
118,118,29.023,124.040,28
119,119,29.512,121.984,28
120,120,29.292,122.900,28
121,121,29.2,123.288,28
122,122,29.733,121.078,28
123,123,29.295,122.888,28
124,124,29.504,122.017,28
125,125,29.753,120.996,28
126,126,29.686,121.269,28
127,127,29.749,121.012,28
128,128,29.815,120.745,28
129,129,29.962,120.152,28
130,130,30.95,116.317,28
131,131,30.316,118.749,28
132,132,30.217,119.138,28
133,133,29.752,121.000,28
134,134,30.32,118.734,28
135,135,30.753,117.062,28
136,136,30.786,116.936,28
137,137,30.639,117.497,28
138,138,30.604,117.632,28
139,139,30.721,117.184,28
140,140,30.831,116.766,28
141,141,29.886,120.458,28
142,142,29.839,120.647,28
143,143,29.812,120.757,28
144,144,31.207,115.359,28
145,145,31.043,115.968,28
146,146,30.936,116.369,28
147,147,30.114,119.546,28
148,148,30.325,118.714,28
149,149,30.123,119.510,28
150,150,30.125,119.502,28
151,151,30.085,119.661,28
152,152,30.639,117.497,28
153,153,30.813,116.834,28
154,154,29.977,120.092,28
155,155,29.586,121.679,28
156,156,29.768,120.935,28
157,157,29.757,120.980,28
158,158,29.789,120.850,28
159,159,30.697,117.275,28
160,160,30.109,119.566,28
161,161,30.644,117.478,28
162,162,29.828,120.692,28
163,163,29.933,120.269,28
164,164,30.643,117.482,28
165,165,31.015,116.073,28
166,166,30.756,117.050,28
167,167,30.498,118.041,28
168,168,30.604,117.632,28
169,169,30.179,119.288,28
170,170,29.946,120.216,28
171,171,29.779,120.891,28
