,Lap,LapTime,LapSpeed,RunningPos
0,0,,,16
1,1,32.129,168.072,17
2,2,30.227,178.648,18
3,3,29.809,181.153,15
4,4,30.207,178.767,15
5,5,30.012,179.928,15
6,6,30.443,177.381,15
7,7,30.305,178.188,15
8,8,30.319,178.106,14
9,9,30.381,177.743,14
10,10,30.189,178.873,13
11,11,30.125,179.253,13
12,12,30.159,179.051,13
13,13,30.337,178.000,13
14,14,30.285,178.306,13
15,15,30.506,177.014,12
16,16,30.639,176.246,12
17,17,30.457,177.299,12
18,18,30.553,176.742,12
19,19,30.813,175.251,12
20,20,31.161,173.294,12
21,21,30.647,176.200,12
22,22,30.76,175.553,11
23,23,30.697,175.913,10
24,24,30.603,176.453,10
25,25,30.698,175.907,10
26,26,30.601,176.465,10
27,27,30.548,176.771,10
28,28,30.522,176.922,10
29,29,30.463,177.264,10
30,30,30.724,175.758,10
31,31,30.792,175.370,10
32,32,31.324,172.392,8
33,33,30.969,174.368,2
34,34,40.964,131.823,2
35,35,91.067,59.297,2
36,36,113.558,47.553,14
37,37,99.593,54.221,5
38,38,100.765,53.590,5
39,39,96.443,55.992,4
40,40,89.542,60.307,4
41,41,31.815,169.731,3
42,42,29.719,181.702,3
43,43,29.664,182.039,4
44,44,29.797,181.226,4
45,45,29.87,180.783,3
46,46,29.829,181.032,3
47,47,29.885,180.693,3
48,48,29.901,180.596,3
49,49,30.006,179.964,3
50,50,30.103,179.384,3
51,51,30.106,179.366,3
52,52,30.18,178.926,3
53,53,30.197,178.826,3
54,54,30.302,178.206,3
55,55,30.272,178.383,3
56,56,30.321,178.094,3
57,57,30.412,177.561,3
58,58,30.364,177.842,3
59,59,30.447,177.357,3
60,60,30.45,177.340,3
61,61,30.444,177.375,3
62,62,30.558,176.713,3
63,63,30.611,176.407,3
64,64,30.535,176.846,3
65,65,30.485,177.136,3
66,66,30.472,177.212,3
67,67,30.543,176.800,3
68,68,30.836,175.120,3
69,69,30.645,176.211,3
70,70,30.697,175.913,3
71,71,30.685,175.982,3
72,72,30.924,174.622,3
73,73,31.04,173.969,3
74,74,30.774,175.473,3
75,75,30.89,174.814,3
76,76,30.869,174.933,3
77,77,30.822,175.200,3
78,78,30.831,175.148,3
79,79,31.131,173.461,3
80,80,31.183,173.171,3
81,81,42.896,125.886,3
82,82,87.914,61.424,3
83,83,99.415,54.318,3
84,84,111.357,48.493,18
85,85,85.424,63.214,1
86,86,99.836,54.089,1
87,87,109.821,49.171,13
88,88,85.792,62.943,31
89,89,31.854,169.523,31
90,90,30.084,179.497,27
91,91,30.342,177.971,27
92,92,30.589,176.534,27
93,93,30.459,177.288,27
94,94,30.243,178.554,27
95,95,30.59,176.528,27
96,96,30.628,176.309,26
97,97,30.499,177.055,26
98,98,30.528,176.887,24
99,99,30.634,176.275,23
100,100,30.761,175.547,23
101,101,30.846,175.063,23
102,102,30.627,176.315,23
103,103,30.708,175.850,23
104,104,30.844,175.075,22
105,105,30.845,175.069,22
106,106,30.76,175.553,22
107,107,33.206,162.621,22
108,108,53.644,100.664,22
109,109,83.7,64.516,25
110,110,92.99,58.071,18
111,111,105.679,51.098,17
112,112,79.954,67.539,17
113,113,34.691,155.660,15
114,114,89.812,60.126,15
115,115,99.922,54.042,15
116,116,99.306,54.377,15
117,117,98.96,54.568,15
118,118,102.669,52.596,15
119,119,82.128,65.751,15
120,120,31.947,169.030,12
121,121,30.151,179.099,14
122,122,30.181,178.921,14
123,123,30.251,178.506,14
124,124,30.013,179.922,14
125,125,30.417,177.532,14
126,126,30.514,176.968,14
127,127,30.373,177.789,14
128,128,30.275,178.365,14
129,129,30.399,177.637,14
130,130,30.475,177.194,14
131,131,30.436,177.421,14
132,132,30.908,174.712,15
133,133,30.697,175.913,15
134,134,30.69,175.953,15
135,135,30.787,175.399,16
136,136,30.931,174.582,16
137,137,30.641,176.234,16
138,138,31.1,173.633,17
139,139,30.874,174.904,18
140,140,30.712,175.827,18
141,141,30.79,175.382,18
142,142,30.861,174.978,18
143,143,31.018,174.092,19
144,144,31.102,173.622,19
145,145,31.067,173.818,19
146,146,31.581,170.989,19
147,147,46.221,116.830,18
148,148,83.008,65.054,18
149,149,104.072,51.887,27
150,150,96.093,56.196,22
151,151,101.633,53.132,20
152,152,77.611,69.578,19
