,Lap,LapTime,LapSpeed,RunningPos
0,0,,,19
1,1,31.819,169.710,13
2,2,29.877,180.741,14
3,3,30.004,179.976,13
4,4,30.028,179.832,13
5,5,30.139,179.170,13
6,6,30.211,178.743,13
7,7,30.302,178.206,13
8,8,30.481,177.160,13
9,9,30.398,177.643,13
10,10,30.572,176.632,14
11,11,30.636,176.263,14
12,12,30.4,177.632,14
13,13,30.46,177.282,14
14,14,30.632,176.286,14
15,15,30.647,176.200,14
16,16,30.563,176.684,14
17,17,30.772,175.484,14
18,18,30.698,175.907,14
19,19,30.674,176.045,14
20,20,30.736,175.690,14
21,21,30.715,175.810,14
22,22,30.709,175.844,14
23,23,30.664,176.102,14
24,24,30.802,175.313,14
25,25,30.741,175.661,14
26,26,30.939,174.537,14
27,27,30.947,174.492,14
28,28,31.016,174.104,15
29,29,31.118,173.533,15
30,30,30.922,174.633,15
31,31,43.676,123.638,26
32,32,64.729,83.425,31
33,33,44.693,120.824,30
34,34,80.647,66.958,30
35,35,92.415,58.432,30
36,36,101.669,53.114,30
37,37,100.096,53.948,30
38,38,79.353,68.050,29
39,39,52.942,101.998,27
40,40,63.002,85.712,27
41,41,32.068,168.392,25
42,42,29.956,180.264,24
43,43,30.439,177.404,24
44,44,30.286,178.300,24
45,45,30.588,176.540,24
46,46,30.627,176.315,24
47,47,30.429,177.462,23
48,48,30.383,177.731,23
49,49,30.31,178.159,23
50,50,30.798,175.336,23
51,51,30.77,175.496,23
52,52,30.793,175.365,22
53,53,30.875,174.899,22
54,54,30.76,175.553,22
55,55,30.857,175.001,22
56,56,30.83,175.154,22
57,57,30.451,177.334,22
58,58,30.719,175.787,22
59,59,30.758,175.564,21
60,60,30.581,176.580,21
61,61,30.6,176.471,21
62,62,30.962,174.407,21
63,63,30.682,175.999,20
64,64,30.732,175.713,20
65,65,30.754,175.587,19
66,66,30.762,175.541,19
67,67,30.921,174.639,19
68,68,30.905,174.729,19
69,69,30.939,174.537,19
70,70,30.866,174.950,19
71,71,30.928,174.599,19
72,72,31.102,173.622,19
73,73,30.987,174.267,19
74,74,30.87,174.927,19
75,75,30.89,174.814,18
76,76,30.814,175.245,18
77,77,31.068,173.812,18
78,78,30.851,175.035,18
79,79,31.016,174.104,18
80,80,31.61,170.832,17
81,81,49.903,108.210,17
82,82,79.58,67.856,17
83,83,97.751,55.242,17
84,84,91.46,59.042,9
85,85,107.056,50.441,17
86,86,98.665,54.731,16
87,87,100.617,53.669,16
88,88,81.158,66.537,16
89,89,32.064,168.413,14
90,90,29.91,180.542,10
91,91,29.929,180.427,9
92,92,29.775,181.360,9
93,93,29.889,180.668,9
94,94,29.92,180.481,9
95,95,30.222,178.678,9
96,96,30.241,178.566,9
97,97,30.207,178.767,9
98,98,30.373,177.789,10
99,99,30.637,176.257,10
100,100,30.292,178.265,10
101,101,30.606,176.436,11
102,102,30.502,177.038,11
103,103,30.525,176.904,11
104,104,30.498,177.061,11
105,105,30.544,176.794,11
106,106,30.552,176.748,11
107,107,31.54,171.211,11
108,108,50.3,107.356,10
109,109,79.778,67.688,6
110,110,107.849,50.070,16
111,111,104.562,51.644,15
112,112,81.67,66.120,14
113,113,34.77,155.306,14
114,114,89.356,60.432,14
115,115,99.738,54.142,14
116,116,99.135,54.471,14
117,117,99.554,54.242,14
118,118,102.015,52.933,14
119,119,83.094,64.987,14
120,120,32.115,168.146,13
121,121,29.785,181.299,10
122,122,29.825,181.056,9
123,123,30.204,178.784,10
124,124,30.121,179.277,10
125,125,30.073,179.563,10
126,126,30.288,178.288,10
127,127,30.204,178.784,10
128,128,30.293,178.259,9
129,129,30.37,177.807,9
130,130,30.386,177.713,9
131,131,30.382,177.737,9
132,132,30.395,177.661,9
133,133,30.51,176.991,9
134,134,30.52,176.933,9
135,135,30.719,175.787,10
136,136,30.733,175.707,10
137,137,30.665,176.097,10
138,138,30.823,175.194,10
139,139,30.769,175.501,10
140,140,30.755,175.581,11
141,141,30.896,174.780,11
142,142,30.828,175.165,11
143,143,30.875,174.899,11
144,144,30.769,175.501,11
145,145,30.818,175.222,11
146,146,30.919,174.650,11
147,147,44.236,122.073,11
148,148,85.056,63.488,11
149,149,92.708,58.247,7
150,150,97.442,55.418,3
151,151,96.696,55.845,1
152,152,95.548,56.516,2
153,153,32.071,168.376,1
154,154,29.652,182.113,1
155,155,29.661,182.057,1
156,156,29.772,181.378,1
157,157,29.723,181.677,1
158,158,29.904,180.578,1
159,159,30.046,179.724,1
160,160,30.434,177.433,3
161,161,30.282,178.324,3
162,162,30.243,178.554,3
163,163,30.338,177.995,3
164,164,30.383,177.731,3
165,165,30.649,176.188,3
166,166,48.304,111.792,3
167,167,88.623,60.932,3
168,168,98.248,54.963,3
169,169,98.523,54.810,2
170,170,103.248,52.301,8
171,171,98.739,54.690,7
172,172,99.222,54.423,7
173,173,89.872,60.085,7
174,174,31.786,169.886,4
175,175,29.691,181.873,5
176,176,29.612,182.359,4
177,177,29.746,181.537,4
178,178,29.891,180.656,4
179,179,30.184,178.903,4
180,180,30.041,179.754,4
181,181,30.024,179.856,4
182,182,30.12,179.283,4
183,183,30.309,178.165,4
