,Lap,LapTime,LapSpeed,RunningPos
0,0,,,6
1,1,33.78,159.858,4
2,2,32.778,164.745,3
3,3,32.954,163.865,3
4,4,33.167,162.812,3
5,5,33.365,161.846,2
6,6,33.684,160.314,2
7,7,33.85,159.527,2
8,8,33.849,159.532,2
9,9,33.953,159.043,1
10,10,34.013,158.763,1
11,11,34.025,158.707,1
12,12,34.141,158.168,1
13,13,34.073,158.483,1
14,14,34.233,157.743,1
15,15,34.245,157.687,1
16,16,34.165,158.056,1
17,17,34.385,157.045,1
18,18,34.502,156.513,1
19,19,34.445,156.772,1
20,20,34.587,156.128,1
21,21,34.642,155.880,1
22,22,34.553,156.282,1
23,23,34.504,156.504,1
24,24,34.562,156.241,1
25,25,34.515,156.454,1
26,26,34.563,156.236,1
27,27,34.685,155.687,1
28,28,34.634,155.916,1
29,29,34.674,155.736,1
30,30,34.772,155.297,1
31,31,34.807,155.141,1
32,32,34.897,154.741,1
33,33,59.55,90.680,11
34,34,46.751,115.506,15
35,35,33.19,162.700,12
36,36,33.308,162.123,12
37,37,33.437,161.498,12
38,38,33.611,160.662,8
39,39,33.762,159.943,5
40,40,33.767,159.919,2
41,41,33.798,159.773,1
42,42,33.791,159.806,1
43,43,33.817,159.683,1
44,44,34.003,158.810,1
45,45,34.076,158.469,1
46,46,34.128,158.228,1
47,47,34.318,157.352,1
48,48,34.291,157.476,1
49,49,34.373,157.100,1
50,50,34.307,157.402,1
51,51,34.564,156.232,1
52,52,34.483,156.599,1
53,53,34.535,156.363,1
54,54,34.67,155.754,1
55,55,34.711,155.570,1
56,56,34.902,154.719,1
57,57,35.015,154.220,1
58,58,34.734,155.467,1
59,59,34.563,156.236,1
60,60,34.661,155.795,1
61,61,34.611,156.020,1
62,62,34.643,155.876,1
63,63,34.611,156.020,1
64,64,34.64,155.889,1
65,65,34.814,155.110,1
66,66,34.819,155.088,1
67,67,34.807,155.141,1
68,68,35.008,154.250,1
69,69,34.951,154.502,1
70,70,37.55,143.808,1
71,71,79.409,68.002,1
72,72,112.376,48.053,15
73,73,89.527,60.317,1
74,74,95.008,56.837,1
75,75,93.312,57.870,1
76,76,33.608,160.676,1
77,77,32.583,165.731,1
78,78,33.069,163.295,1
79,79,33.285,162.235,1
80,80,33.45,161.435,1
81,81,53.848,100.282,1
82,82,91.019,59.328,1
83,83,97.638,55.306,1
84,84,111.634,48.372,19
85,85,83.844,64.405,3
86,86,98.448,54.851,3
87,87,97.275,55.513,3
88,88,92.787,58.198,4
89,89,34.074,158.479,3
90,90,32.653,165.375,3
91,91,32.653,165.375,2
92,92,33.023,163.522,2
93,93,33.386,161.744,2
94,94,33.499,161.199,2
95,95,33.682,160.323,1
96,96,34.014,158.758,1
97,97,33.932,159.142,1
98,98,33.874,159.414,1
99,99,33.985,158.894,1
100,100,33.938,159.114,1
101,101,34.049,158.595,1
102,102,33.965,158.987,1
103,103,34.039,158.642,1
104,104,34.117,158.279,1
105,105,34.169,158.038,1
106,106,34.167,158.047,1
107,107,34.183,157.973,1
108,108,34.241,157.706,1
109,109,34.21,157.849,1
110,110,34.17,158.033,1
111,111,34.263,157.604,1
112,112,34.242,157.701,1
113,113,34.276,157.545,1
114,114,34.369,157.118,1
115,115,34.382,157.059,1
116,116,34.391,157.018,1
117,117,34.417,156.899,1
118,118,60.71,88.947,19
119,119,46.361,116.477,18
120,120,33.02,163.537,16
121,121,33.285,162.235,16
122,122,33.269,162.313,12
123,123,33.395,161.701,10
124,124,33.438,161.493,8
125,125,33.542,160.992,6
126,126,33.796,159.782,3
127,127,33.709,160.195,1
128,128,33.674,160.361,1
129,129,33.896,159.311,1
130,130,33.909,159.250,1
131,131,33.927,159.165,1
132,132,33.914,159.226,1
133,133,33.897,159.306,1
134,134,34.117,158.279,1
135,135,33.964,158.992,1
136,136,34.121,158.260,1
137,137,34.146,158.144,1
138,138,34.135,158.195,1
139,139,34.427,156.854,1
140,140,34.317,157.356,1
141,141,34.35,157.205,1
142,142,34.279,157.531,1
143,143,34.316,157.361,1
144,144,34.605,156.047,1
145,145,34.615,156.002,1
146,146,34.648,155.853,1
147,147,34.743,155.427,1
148,148,34.914,154.666,1
149,149,35.03,154.154,1
150,150,34.949,154.511,1
151,151,35.233,153.265,1
152,152,35.083,153.921,1
153,153,35.584,151.754,1
154,154,35.162,153.575,1
155,155,35.136,153.689,1
156,156,35.284,153.044,1
157,157,35.485,152.177,1
158,158,35.667,151.400,1
159,159,35.538,151.950,1
160,160,35.205,153.387,1
161,161,35.643,151.502,1
162,162,35.277,153.074,3
163,163,35.558,151.865,3
164,164,35.05,154.066,3
165,165,35.237,153.248,3
166,166,49.651,108.759,3
167,167,84.331,64.033,3
168,168,98.044,55.077,3
169,169,112.456,48.019,21
170,170,86.764,62.238,10
171,171,97.145,55.587,9
172,172,97.354,55.468,8
173,173,89.263,60.495,8
174,174,34.791,155.213,11
175,175,33.08,163.241,11
176,176,33.117,163.058,11
177,177,33.018,163.547,8
178,178,33.197,162.665,6
179,179,33.448,161.445,6
180,180,33.783,159.844,5
181,181,33.754,159.981,5
182,182,33.757,159.967,4
183,183,33.966,158.983,4
184,184,34.037,158.651,4
185,185,34.031,158.679,4
186,186,34.376,157.086,4
187,187,34.068,158.507,3
188,188,34.068,158.507,3
189,189,34.089,158.409,3
190,190,34.044,158.618,3
191,191,34.108,158.321,3
192,192,34.226,157.775,3
193,193,34.528,156.395,3
194,194,34.532,156.377,3
195,195,34.497,156.535,3
196,196,34.346,157.224,3
197,197,34.605,156.047,3
198,198,34.699,155.624,3
199,199,34.721,155.525,3
200,200,34.659,155.804,3
201,201,34.548,156.304,3
202,202,34.841,154.990,3
203,203,34.686,155.682,3
204,204,34.677,155.723,3
205,205,34.789,155.221,3
206,206,34.754,155.378,3
207,207,35.783,150.910,3
