,Lap,LapTime,LapSpeed,RunningPos
0,0,,,17
1,1,34.371,157.109,14
2,2,33.266,162.328,15
3,3,33.433,161.517,15
4,4,33.978,158.926,17
5,5,34.048,158.600,17
6,6,34.061,158.539,16
7,7,34.034,158.665,16
8,8,34.209,157.853,15
9,9,34.39,157.022,14
10,10,34.186,157.959,14
11,11,34.443,156.781,14
12,12,34.542,156.331,14
13,13,34.518,156.440,14
14,14,34.478,156.622,13
15,15,34.758,155.360,13
16,16,34.806,155.146,13
17,17,35.031,154.149,13
18,18,34.914,154.666,13
19,19,34.732,155.476,12
20,20,34.956,154.480,13
21,21,34.993,154.317,13
22,22,35.068,153.987,12
23,23,34.901,154.723,12
24,24,34.991,154.325,12
25,25,35.184,153.479,12
26,26,35.157,153.597,12
27,27,35.431,152.409,12
28,28,35.227,153.292,12
29,29,35.401,152.538,12
30,30,35.212,153.357,12
31,31,35.078,153.943,9
32,32,35.372,152.663,6
33,33,35.592,151.719,3
34,34,35.217,153.335,1
35,35,35.261,153.144,1
36,36,35.782,150.914,1
37,37,35.657,151.443,2
38,38,35.67,151.388,2
39,39,46.135,117.048,6
40,40,71.731,75.281,34
41,41,46.593,115.897,35
42,42,33.54,161.002,35
43,43,33.901,159.287,35
44,44,33.731,160.090,35
45,45,33.779,159.863,35
46,46,33.585,160.786,35
47,47,33.874,159.414,35
48,48,34.058,158.553,35
49,49,34.105,158.335,35
50,50,34.582,156.151,35
51,51,34.544,156.322,35
52,52,34.233,157.743,35
53,53,34.432,156.831,35
54,54,34.414,156.913,35
55,55,34.365,157.137,35
56,56,34.537,156.354,35
57,57,34.553,156.282,35
58,58,34.418,156.895,35
59,59,34.543,156.327,35
60,60,34.678,155.718,35
61,61,34.476,156.631,35
62,62,34.627,155.948,35
63,63,34.838,155.003,35
64,64,34.923,154.626,35
65,65,34.868,154.870,35
66,66,34.699,155.624,35
67,67,34.917,154.652,35
68,68,35.003,154.272,35
69,69,39.62,136.295,35
70,70,71.699,75.315,34
71,71,94.677,57.036,34
72,72,97.641,55.305,34
73,73,63.431,85.132,34
74,74,68.296,79.068,34
75,75,61.116,88.357,34
76,76,36.35,148.556,32
77,77,35.104,153.829,31
78,78,35.013,154.228,30
79,79,34.839,154.999,30
80,80,35.416,152.473,29
81,81,58.181,92.814,29
82,82,90.357,59.763,29
83,83,97.724,55.258,29
84,84,90.477,59.684,17
85,85,110.198,49.003,29
86,86,90.493,59.673,28
87,87,107.795,50.095,28
88,88,69.207,78.027,28
89,89,34.557,156.264,26
90,90,33.417,161.594,24
91,91,33.501,161.189,23
92,92,33.996,158.842,24
93,93,33.641,160.518,22
94,94,33.919,159.203,21
95,95,34.005,158.800,21
96,96,33.97,158.964,20
97,97,33.87,159.433,19
98,98,34.098,158.367,19
99,99,34.158,158.089,19
100,100,34.649,155.849,19
101,101,34.467,156.672,19
102,102,34.462,156.694,19
103,103,34.318,157.352,18
104,104,34.318,157.352,18
105,105,34.589,156.119,18
106,106,34.414,156.913,18
