,Lap,LapTime,LapSpeed,RunningPos
0,0,,,22
1,1,21.243,89.140,22
2,2,20.841,90.859,22
3,3,20.934,90.456,22
4,4,20.833,90.894,22
5,5,20.825,90.929,22
6,6,20.855,90.798,23
7,7,20.883,90.677,23
8,8,20.953,90.374,23
9,9,20.921,90.512,24
10,10,20.906,90.577,24
11,11,21.009,90.133,24
12,12,20.888,90.655,24
13,13,21.103,89.731,24
14,14,20.973,90.288,24
15,15,20.997,90.184,24
16,16,20.925,90.495,24
17,17,20.959,90.348,24
18,18,21.067,89.885,24
19,19,20.995,90.193,24
20,20,21.188,89.371,24
21,21,21.258,89.077,24
22,22,21.081,89.825,24
23,23,21.095,89.765,24
24,24,21.078,89.838,24
25,25,21.039,90.004,24
26,26,21.04,90.000,24
27,27,21.201,89.317,24
28,28,21.296,88.918,24
29,29,21.306,88.876,24
30,30,21.258,89.077,24
31,31,27.376,69.170,24
32,32,42.57,44.482,24
33,33,30.917,61.248,10
34,34,50.228,37.700,3
35,35,51.723,36.610,3
36,36,51.079,37.072,3
37,37,52.74,35.904,3
38,38,63.48,29.830,3
39,39,50.82,37.261,2
40,40,21.158,89.498,3
41,41,20.703,91.465,2
42,42,20.656,91.673,2
43,43,20.581,92.007,2
44,44,20.74,91.302,2
45,45,20.718,91.399,2
46,46,20.799,91.043,2
47,47,20.933,90.460,2
48,48,20.951,90.382,2
49,49,20.996,90.189,2
50,50,20.933,90.460,2
51,51,21.005,90.150,2
52,52,21.034,90.026,2
53,53,21.035,90.021,2
54,54,20.889,90.651,2
55,55,20.946,90.404,2
56,56,20.97,90.300,2
57,57,21.032,90.034,2
58,58,21.024,90.068,2
59,59,21.076,89.846,2
60,60,21.003,90.159,2
61,61,21.099,89.748,2
62,62,21.038,90.009,2
63,63,21.091,89.782,2
64,64,21.273,89.014,2
65,65,21.597,87.679,3
66,66,21.237,89.165,3
67,67,21.265,89.048,3
68,68,21.214,89.262,3
69,69,21.167,89.460,3
70,70,21.274,89.010,3
71,71,23.77,79.663,3
72,72,45.054,42.030,3
73,73,58.146,32.566,24
74,74,50.13,37.774,10
75,75,49.719,38.086,10
76,76,50.269,37.669,10
77,77,51.368,36.863,10
78,78,49.53,38.231,10
79,79,21.42,88.403,10
80,80,21.093,89.774,10
81,81,34.566,54.782,10
82,82,46.825,40.440,10
83,83,53.665,35.286,10
84,84,49.821,38.008,10
85,85,51.594,36.702,10
86,86,49.105,38.562,7
87,87,50.583,37.436,5
88,88,51.638,36.671,5
89,89,53.186,35.603,5
90,90,51.513,36.760,5
91,91,52.262,36.233,5
92,92,57.657,32.842,5
93,93,21.044,89.983,6
94,94,20.796,91.056,6
95,95,20.726,91.364,6
96,96,20.792,91.073,7
97,97,20.843,90.851,8
98,98,20.897,90.616,8
99,99,20.793,91.069,8
100,100,20.813,90.982,7
101,101,20.833,90.894,7
102,102,20.779,91.130,7
103,103,20.77,91.170,7
104,104,20.829,90.912,7
105,105,20.933,90.460,7
106,106,20.9,90.603,7
107,107,20.861,90.772,7
108,108,20.904,90.586,7
109,109,21.02,90.086,7
110,110,21.067,89.885,7
111,111,21.135,89.595,7
112,112,21.024,90.068,7
113,113,21.034,90.026,7
114,114,20.926,90.490,6
115,115,20.941,90.425,6
116,116,21.043,89.987,6
117,117,21.079,89.833,6
118,118,21.049,89.962,6
119,119,21.105,89.723,6
120,120,21.01,90.129,6
