,Driver_Name,Start_Pos,Lowest_Pos,Highest_Pos,Ending_Pos,Pos_Change,Slowest_Lap,Fastest_Lap,Ave_Lap,Highest_Speed,Lowest_Speed,Ave_Speed
0,AJ Allmendinger,23,33,3,23,0,69.801,20.607,27.8464,91.891,70.876,88.9422
1,Alex Bowman,3,35,1,28,-25,71.12,20.399,27.8976,92.828,72.75,89.0684
2,Austin Cindri,20,37,2,37,-17,88.835,20.72,28.6895,91.39,71.408,88.9908
3,Austin Dillon,18,30,7,18,0,78.186,20.514,27.8162,92.308,77.347,89.2838
4,Brad Keselowsk,27,33,3,27,0,70.32,20.666,27.8878,91.629,78.206,89.078
5,Bubba Wallace,8,14,2,3,5,68.563,20.273,27.7874,93.405,70.329,89.8156
6,Burt Myer,38,38,25,37,1,139.68,20.852,28.6797,90.811,71.017,86.9794
7,Carson Hocevar,29,37,13,19,10,65.54,20.605,27.8151,91.9,80.254,89.0694
8,Casey Mear,37,38,16,36,1,90.963,20.827,28.5989,90.92,72.744,86.844
9,Chase Briscoe,11,29,4,9,2,61.53,20.464,27.7997,92.533,71.475,89.4584
10,Chase Elliott,2,25,1,4,-2,61.298,20.301,27.7918,93.276,74.642,90.0036
11,Chris Buescher,6,38,6,25,-19,79.652,20.454,27.8642,92.578,71.643,88.7453
12,Christopher Bell,1,15,1,2,-1,67.219,20.341,27.788,93.093,75.048,89.776
13,Cody Ware,36,38,19,31,5,77.152,20.568,28.0485,92.065,70.998,88.2335
14,Cole Custer,22,36,2,34,-12,141.077,20.581,28.2179,92.007,73.609,88.6871
15,Daniel Suarez,26,31,4,21,5,65.063,20.527,27.8177,92.249,80.871,89.3211
16,Denny Hamlin,5,12,1,1,4,67.077,20.188,27.7751,93.798,72.047,90.1056
17,Erik Jone,31,37,5,24,7,70.696,20.709,27.8466,91.439,75.283,88.7839
18,Joey Logano,7,30,1,8,-1,82.901,20.408,27.8002,92.787,72.674,89.6269
19,John Hunter Nemechek,16,36,2,26,-10,87.042,20.596,27.8657,91.94,70.428,88.4513
20,Josh Berry,14,38,1,33,-19,116.537,20.492,28.1025,92.407,71.657,89.1122
21,Justin Haley,30,34,15,29,1,61.569,20.448,27.929,92.606,78.72,88.8946
22,Kyle Busch,12,36,12,17,-5,65.078,20.535,27.8155,92.213,73.245,89.0197
23,Kyle Larson,4,12,1,5,-1,68.98,20.407,27.7928,92.792,71.643,89.7599
24,Michael McDowell,15,24,6,12,3,73.869,20.534,27.8032,92.218,70.794,89.2294
25,Noah Gragson,24,32,8,30,-6,107.649,20.702,27.9882,91.469,80.432,89.0304
26,Ricky Stenhouse Jr,34,36,1,20,14,89.616,20.797,27.8151,91.052,70.068,88.4729
27,Riley Herbst,35,37,6,32,3,102.184,20.646,28.0675,91.718,72.982,88.4165
28,Ross Chastain,17,32,4,6,11,58.302,20.479,27.7929,92.465,72.405,89.5118
29,Ryan Blaney,32,32,3,11,21,72.834,20.474,27.7973,92.488,70.786,89.4988
30,Ryan Preece,21,34,2,7,14,83.934,20.548,27.7927,92.155,71.847,89.0079
31,Shane Van Gisbergen,33,37,22,35,-2,103.0,20.757,27.89,91.227,70.11,88.3055
32,Todd Gilliland,25,26,9,10,15,80.243,20.691,27.797,91.518,70.964,89.2514
33,Ty Dillon,28,29,8,15,13,78.06,20.606,27.8047,91.896,82.059,89.2198
34,Ty Gibb,13,28,3,13,0,61.969,20.377,27.8049,92.928,82.485,89.6758
35,Tyler Reddick,9,18,4,14,-5,75.731,20.535,27.8074,92.213,70.752,89.4802
36,William Byron,10,36,9,22,-12,69.007,20.436,27.8279,92.66,83.988,89.3269
37,Zane Smith,19,31,8,16,3,77.237,20.644,27.81,91.726,75.85,89.2006
