,Lap,LapTime,LapSpeed,RunningPos
0,0,,,34
1,1,21.47,88.197,32
2,2,20.907,90.573,33
3,3,20.893,90.633,33
4,4,21.056,89.932,34
5,5,20.906,90.577,34
6,6,21.112,89.693,34
7,7,21.139,89.579,34
8,8,20.81,90.995,34
9,9,20.934,90.456,34
10,10,20.856,90.794,34
11,11,20.963,90.331,34
12,12,21.003,90.159,34
13,13,21.224,89.220,34
14,14,21.203,89.308,34
15,15,21.427,88.374,35
16,16,21.211,89.274,35
17,17,21.113,89.689,35
18,18,21.111,89.697,35
19,19,21.348,88.702,35
20,20,21.352,88.685,35
21,21,21.335,88.756,35
22,22,21.231,89.190,35
23,23,21.208,89.287,35
24,24,21.265,89.048,35
25,25,21.271,89.023,35
26,26,21.479,88.161,36
27,27,21.43,88.362,36
28,28,21.481,88.152,36
29,29,21.442,88.313,36
30,30,21.394,88.511,36
31,31,31.908,59.346,36
32,32,40.578,46.666,36
33,33,35.874,52.785,28
34,34,69.471,27.257,35
35,35,51.454,36.802,34
36,36,50.849,37.240,34
37,37,57.624,32.861,34
38,38,39.398,48.063,34
39,39,41.34,45.806,34
40,40,21.414,88.428,33
41,41,21.251,89.106,34
42,42,21.239,89.157,34
43,43,21.171,89.443,35
44,44,21.292,88.935,34
45,45,20.957,90.356,34
46,46,21.015,90.107,34
47,47,21.097,89.757,34
48,48,21.216,89.253,34
49,49,21.408,88.453,34
50,50,21.394,88.511,34
51,51,21.353,88.681,34
52,52,21.347,88.706,34
53,53,21.378,88.577,34
54,54,21.335,88.756,34
55,55,21.281,88.981,34
56,56,21.592,87.699,34
57,57,21.397,88.498,34
58,58,21.617,87.598,34
59,59,21.488,88.124,34
60,60,21.576,87.764,35
61,61,21.559,87.833,35
62,62,21.478,88.165,35
63,63,21.379,88.573,35
64,64,21.434,88.346,35
65,65,21.54,87.911,35
66,66,21.498,88.083,35
67,67,21.425,88.383,35
68,68,21.481,88.152,35
69,69,21.477,88.169,35
70,70,22.642,83.632,35
71,71,37.253,50.831,34
72,72,42.021,45.063,34
73,73,32.925,57.513,26
74,74,71.245,26.579,34
75,75,42.127,44.950,24
76,76,60.491,31.304,34
77,77,54.615,34.672,34
78,78,25.747,73.546,34
79,79,21.979,86.155,34
80,80,22.123,85.594,34
81,81,47.256,40.071,34
82,82,50.268,37.670,34
83,83,57.69,32.824,34
84,84,47.119,40.188,34
85,85,52.623,35.984,34
86,86,47.201,40.118,34
87,87,50.173,37.741,29
88,88,53.329,35.508,28
89,89,53.453,35.426,28
90,90,48.457,39.078,28
91,91,57.223,33.092,28
92,92,34.337,55.148,29
93,93,21.564,87.813,30
94,94,21.424,88.387,30
95,95,20.865,90.755,30
96,96,20.797,91.052,30
97,97,21.065,89.893,31
98,98,21.005,90.150,31
99,99,20.986,90.232,31
100,100,21.075,89.851,31
101,101,21.2,89.321,31
102,102,21.116,89.676,31
103,103,21.014,90.111,31
104,104,21.011,90.124,30
105,105,21.22,89.237,30
106,106,21.283,88.972,30
107,107,21.209,89.283,30
108,108,21.228,89.203,29
109,109,21.179,89.409,29
110,110,21.256,89.085,29
111,111,21.165,89.468,29
112,112,21.533,87.939,29
113,113,21.638,87.513,29
114,114,21.373,88.598,29
115,115,21.329,88.781,29
116,116,21.391,88.523,29
117,117,21.33,88.776,29
118,118,21.359,88.656,29
119,119,21.486,88.132,29
120,120,21.419,88.407,28
121,121,21.378,88.577,28
122,122,31.618,59.890,28
123,123,37.577,50.393,28
124,124,47.185,40.131,28
125,125,50.644,37.390,28
126,126,34.632,54.678,19
127,127,69.472,27.257,28
128,128,50.951,37.165,28
129,129,43.065,43.971,19
130,130,75.482,25.087,35
131,131,25.008,75.720,35
132,132,21.277,88.998,35
133,133,20.803,91.025,35
134,134,20.987,90.227,35
135,135,21.103,89.731,35
136,136,21.082,89.821,34
137,137,21.315,88.839,34
138,138,21.042,89.991,34
139,139,21.066,89.889,34
140,140,21.2,89.321,34
141,141,21.25,89.111,34
142,142,21.126,89.634,34
143,143,21.182,89.397,34
144,144,21.243,89.140,34
145,145,21.365,88.631,34
146,146,21.306,88.876,34
147,147,21.381,88.565,34
148,148,21.26,89.069,34
149,149,21.395,88.507,34
150,150,21.389,88.531,33
151,151,21.305,88.881,33
152,152,21.355,88.672,33
153,153,21.417,88.416,33
154,154,21.486,88.132,33
155,155,21.487,88.128,34
156,156,21.532,87.944,34
157,157,21.474,88.181,34
158,158,21.552,87.862,34
159,159,21.603,87.654,34
160,160,21.494,88.099,34
161,161,21.464,88.222,34
162,162,21.51,88.033,34
163,163,21.512,88.025,34
164,164,21.519,87.997,34
165,165,21.55,87.870,34
166,166,21.554,87.854,34
167,167,21.478,88.165,34
168,168,21.485,88.136,34
169,169,21.414,88.428,34
170,170,21.61,87.626,34
171,171,21.675,87.363,34
172,172,21.657,87.436,34
173,173,21.467,88.210,34
174,174,21.665,87.404,34
175,175,21.73,87.142,34
176,176,21.569,87.793,34
177,177,21.594,87.691,34
178,178,21.479,88.161,34
179,179,21.963,86.218,34
180,180,34.601,54.727,34
181,181,47.339,40.001,34
182,182,48.993,38.650,34
183,183,51.202,36.983,34
184,184,50.383,37.584,34
185,185,51.84,36.528,34
186,186,39.088,48.445,34
187,187,23.909,79.200,20
188,188,38.121,49.673,1
189,189,83.6,22.651,33
190,190,53.438,35.435,33
191,191,56.782,33.349,34
192,192,54.006,35.063,34
193,193,27.025,70.068,34
194,194,21.476,88.173,34
195,195,20.944,90.413,34
196,196,20.866,90.751,34
197,197,20.875,90.711,34
198,198,20.835,90.886,34
199,199,21.006,90.146,34
200,200,21.138,89.583,34
201,201,40.876,46.325,33
202,202,55.177,34.319,33
203,203,46.88,40.392,31
204,204,48.686,38.894,31
205,205,51.88,36.500,30
206,206,56.467,33.535,30
207,207,32.021,59.136,29
208,208,21.305,88.881,30
209,209,21.076,89.846,31
210,210,21.08,89.829,31
211,211,21.063,89.902,30
212,212,21.145,89.553,29
213,213,21.215,89.258,29
214,214,21.164,89.473,29
215,215,21.264,89.052,29
216,216,21.394,88.511,29
217,217,21.285,88.964,29
218,218,21.19,89.363,28
219,219,21.314,88.843,28
220,220,21.342,88.726,28
221,221,21.546,87.886,29
222,222,21.612,87.618,30
223,223,21.466,88.214,30
224,224,21.944,86.292,30
225,225,21.256,89.085,30
226,226,21.555,87.850,30
227,227,21.431,88.358,30
228,228,21.537,87.923,30
229,229,21.546,87.886,30
230,230,21.335,88.756,30
231,231,21.352,88.685,30
232,232,21.389,88.531,30
233,233,21.497,88.087,30
234,234,21.422,88.395,30
235,235,21.601,87.663,31
236,236,21.652,87.456,32
237,237,21.693,87.291,32
238,238,21.64,87.505,33
239,239,21.527,87.964,33
240,240,21.518,88.001,33
241,241,21.534,87.935,33
242,242,21.75,87.062,33
243,243,21.654,87.448,33
244,244,21.792,86.894,33
245,245,21.593,87.695,33
246,246,21.46,88.239,33
247,247,21.574,87.772,33
248,248,21.392,88.519,33
249,249,21.437,88.333,33
250,250,21.384,88.552,33
251,251,21.369,88.614,33
252,252,21.419,88.407,33
253,253,21.384,88.552,33
254,254,21.475,88.177,33
255,255,21.419,88.407,33
256,256,21.473,88.185,33
257,257,21.889,86.509,33
258,258,21.728,87.150,33
259,259,21.632,87.537,33
260,260,21.538,87.919,33
261,261,21.819,86.787,33
262,262,21.692,87.295,33
263,263,21.746,87.078,32
264,264,21.832,86.735,32
265,265,21.618,87.594,32
266,266,21.561,87.825,30
267,267,21.79,86.902,29
268,268,22.021,85.991,28
269,269,21.729,87.146,28
270,270,21.753,87.050,27
271,271,21.401,88.482,25
272,272,21.409,88.449,25
273,273,21.383,88.556,25
274,274,32.827,57.684,25
275,275,46.074,41.099,25
276,276,55.168,34.324,25
277,277,54.428,34.791,25
278,278,45.503,41.615,25
279,279,48.299,39.206,24
280,280,89.616,21.130,26
281,281,51.057,37.088,25
282,282,50.412,37.562,25
283,283,58.48,32.380,25
284,284,54.428,34.791,25
285,285,37.109,51.028,25
286,286,21.472,88.189,25
287,287,21.324,88.801,26
288,288,20.912,90.551,26
289,289,20.946,90.404,27
290,290,20.927,90.486,28
291,291,20.951,90.382,28
292,292,21.02,90.086,28
293,293,20.972,90.292,27
294,294,20.91,90.560,27
295,295,20.992,90.206,27
296,296,21.17,89.447,27
297,297,31.418,60.271,27
298,298,53.903,35.130,27
299,299,52.163,36.302,27
300,300,47.24,40.085,27
301,301,50.894,37.207,27
302,302,50.883,37.215,26
303,303,51.47,36.790,26
304,304,62.857,30.126,25
305,305,36.044,52.536,25
306,306,21.143,89.562,25
307,307,20.973,90.288,25
308,308,32.156,58.888,25
309,309,53.582,35.340,25
310,310,53.267,35.549,25
311,311,32.358,58.520,25
312,312,37.474,50.531,25
313,313,43.779,43.254,24
314,314,60.911,31.088,25
315,315,29.13,65.005,24
316,316,20.973,90.288,24
317,317,24.267,78.032,23
318,318,51.146,37.023,23
319,319,62.533,30.282,23
320,320,54.164,34.960,24
321,321,45.51,41.608,23
322,322,52.284,36.218,23
323,323,49.219,38.473,23
324,324,53.034,35.705,23
325,325,40.106,47.215,23
326,326,21.301,88.897,24
327,327,20.962,90.335,23
328,328,20.846,90.838,23
329,329,20.909,90.564,22
330,330,20.854,90.803,20
331,331,21.017,90.098,20
332,332,20.909,90.564,20
333,333,21.021,90.081,20
334,334,21.003,90.159,20
335,335,20.993,90.201,20
336,336,20.873,90.720,20
337,337,21.06,89.915,20
338,338,21.063,89.902,20
339,339,21.215,89.258,21
340,340,21.171,89.443,21
341,341,21.215,89.258,21
342,342,21.189,89.367,21
343,343,21.231,89.190,21
344,344,21.172,89.439,21
345,345,21.29,88.943,21
346,346,21.322,88.810,21
347,347,21.257,89.081,21
348,348,21.282,88.977,21
349,349,21.279,88.989,21
350,350,21.35,88.693,21
351,351,21.363,88.639,21
352,352,21.284,88.968,21
353,353,21.273,89.014,21
354,354,21.264,89.052,21
355,355,21.351,88.689,21
356,356,21.284,88.968,21
357,357,21.258,89.077,20
358,358,21.194,89.346,20
359,359,21.172,89.439,20
360,360,21.217,89.249,20
361,361,21.339,88.739,20
362,362,21.324,88.801,20
363,363,21.249,89.115,20
364,364,21.329,88.781,20
365,365,21.434,88.346,20
366,366,21.477,88.169,20
367,367,21.462,88.230,20
368,368,21.418,88.412,20
369,369,21.614,87.610,20
370,370,21.479,88.161,20
371,371,21.442,88.313,20
372,372,21.469,88.202,20
373,373,21.409,88.449,20
374,374,21.512,88.025,20
375,375,21.432,88.354,20
376,376,21.411,88.441,20
377,377,21.532,87.944,20
378,378,21.484,88.140,20
379,379,21.397,88.498,20
380,380,21.359,88.656,20
381,381,21.411,88.441,20
382,382,21.457,88.251,20
383,383,21.669,87.388,20
384,384,21.519,87.997,20
385,385,21.487,88.128,20
386,386,21.514,88.017,20
387,387,21.441,88.317,20
388,388,21.445,88.300,20
389,389,21.464,88.222,20
390,390,21.516,88.009,20
391,391,21.579,87.752,20
392,392,21.608,87.634,20
393,393,21.613,87.614,20
394,394,21.699,87.267,20
395,395,21.735,87.122,20
396,396,21.745,87.082,20
397,397,21.983,86.139,20
398,398,21.802,86.854,20
399,399,21.812,86.815,20
400,400,21.83,86.743,20
