,Lap,LapTime,LapSpeed,RunningPos
0,0,,,25
1,1,21.22,89.237,26
2,2,20.816,90.968,25
3,3,20.831,90.903,25
4,4,20.754,91.240,25
5,5,20.801,91.034,24
6,6,20.719,91.394,24
7,7,20.852,90.811,24
8,8,20.938,90.438,24
9,9,20.806,91.012,23
10,10,20.823,90.938,23
11,11,20.97,90.300,23
12,12,20.813,90.982,22
13,13,20.944,90.413,22
14,14,20.971,90.296,22
15,15,20.879,90.694,22
16,16,20.979,90.262,22
17,17,20.959,90.348,22
18,18,21.001,90.167,22
19,19,21.072,89.863,22
20,20,21.239,89.157,22
21,21,21.116,89.676,22
22,22,21.013,90.116,22
23,23,21.109,89.706,22
24,24,20.979,90.262,22
25,25,21.116,89.676,22
26,26,21.182,89.397,22
27,27,21.276,89.002,22
28,28,21.309,88.864,22
29,29,21.254,89.094,22
30,30,21.132,89.608,22
31,31,26.684,70.964,22
32,32,42.181,44.892,22
33,33,35.682,53.069,17
34,34,69.968,27.064,24
35,35,51.437,36.814,24
36,36,50.29,37.654,24
37,37,57.037,33.200,24
38,38,46.524,40.702,24
39,39,43.875,43.159,23
40,40,21.604,87.650,24
41,41,21.109,89.706,24
42,42,21.129,89.621,24
43,43,20.861,90.772,23
44,44,20.891,90.642,23
45,45,20.957,90.356,22
46,46,20.886,90.664,21
47,47,21.007,90.141,21
48,48,21.108,89.710,20
49,49,21.322,88.810,21
50,50,21.36,88.652,21
51,51,21.219,89.241,21
52,52,21.288,88.952,21
53,53,21.13,89.617,20
54,54,21.092,89.778,19
55,55,21.314,88.843,20
56,56,21.444,88.304,20
57,57,21.352,88.685,21
58,58,21.363,88.639,21
59,59,21.253,89.098,21
60,60,21.268,89.035,21
61,61,21.239,89.157,21
62,62,21.284,88.968,21
63,63,21.34,88.735,21
64,64,21.305,88.881,21
65,65,21.331,88.772,21
66,66,21.322,88.810,21
67,67,21.317,88.831,21
68,68,21.324,88.801,21
69,69,21.335,88.756,21
70,70,21.474,88.181,21
71,71,33.337,56.802,21
72,72,44.672,42.389,21
73,73,34.963,54.160,15
74,74,66.491,28.479,23
75,75,50.083,37.809,21
76,76,50.025,37.853,21
77,77,52.811,35.856,21
78,78,37.97,49.871,21
79,79,21.323,88.806,22
80,80,21.125,89.638,22
81,81,42.414,44.646,22
82,82,47.557,39.817,22
83,83,57.407,32.986,22
84,84,49.067,38.592,22
85,85,51.806,36.552,22
86,86,48.122,39.350,22
87,87,50.238,37.693,17
88,88,52.702,35.930,16
89,89,53.148,35.629,16
90,90,50.189,37.729,16
91,91,53.517,35.383,16
92,92,45.986,41.178,15
93,93,21.257,89.081,15
94,94,20.796,91.056,16
95,95,20.82,90.951,16
96,96,20.744,91.284,15
97,97,20.998,90.180,15
98,98,20.769,91.174,15
