,Lap,LapTime,LapSpeed,RunningPos
0,0,,,19
1,1,21.277,88.998,20
2,2,20.805,91.017,19
3,3,20.88,90.690,19
4,4,20.748,91.267,19
5,5,20.769,91.174,19
6,6,20.743,91.289,19
7,7,20.765,91.192,19
8,8,20.757,91.227,19
9,9,20.745,91.280,19
10,10,20.865,90.755,19
11,11,20.801,91.034,19
12,12,20.919,90.521,19
13,13,20.78,91.126,19
14,14,21.014,90.111,19
15,15,20.904,90.586,19
16,16,21.0,90.171,19
17,17,21.016,90.103,19
18,18,21.005,90.150,19
19,19,21.009,90.133,19
20,20,21.017,90.098,19
21,21,21.021,90.081,19
22,22,21.049,89.962,19
23,23,20.981,90.253,19
24,24,21.089,89.791,19
25,25,21.07,89.872,19
26,26,21.145,89.553,19
27,27,21.199,89.325,19
28,28,21.174,89.430,19
29,29,21.265,89.048,19
30,30,21.239,89.157,19
31,31,24.965,75.850,19
32,32,42.167,44.907,19
33,33,37.93,49.924,14
34,34,60.605,31.245,14
35,35,49.973,37.892,14
36,36,51.969,36.437,14
37,37,55.362,34.204,14
38,38,53.908,35.127,14
39,39,47.298,40.036,13
40,40,21.793,86.890,14
41,41,20.909,90.564,13
42,42,21.011,90.124,14
43,43,20.836,90.881,14
44,44,20.799,91.043,14
45,45,21.062,89.906,15
46,46,21.041,89.996,16
47,47,21.366,88.627,16
48,48,21.462,88.230,17
49,49,21.161,89.485,17
50,50,21.211,89.274,17
51,51,21.307,88.872,18
52,52,22.088,85.730,22
53,53,21.405,88.465,22
54,54,21.986,86.128,25
55,55,21.607,87.638,25
56,56,21.532,87.944,26
57,57,21.369,88.614,26
58,58,21.378,88.577,27
59,59,21.38,88.569,27
60,60,21.318,88.826,27
61,61,21.294,88.926,27
62,62,21.294,88.926,27
63,63,21.327,88.789,27
64,64,21.411,88.441,27
65,65,21.337,88.747,28
66,66,21.481,88.152,28
67,67,21.574,87.772,29
68,68,21.357,88.664,29
69,69,21.406,88.461,29
70,70,22.458,84.317,29
71,71,36.088,52.472,28
72,72,43.172,43.862,28
73,73,33.427,56.649,21
74,74,71.296,26.560,31
75,75,48.816,38.791,29
76,76,50.409,37.565,29
77,77,53.196,35.597,28
78,78,30.994,61.096,29
79,79,21.3,88.901,29
80,80,21.18,89.405,30
81,81,46.681,40.565,30
82,82,49.813,38.014,30
83,83,57.217,33.095,30
84,84,47.644,39.745,30
85,85,52.626,35.982,30
86,86,48.238,39.255,30
87,87,50.13,37.774,25
88,88,53.126,35.644,24
89,89,53.812,35.189,24
90,90,48.894,38.729,24
91,91,56.136,33.732,24
92,92,37.837,50.046,24
93,93,21.359,88.656,23
94,94,20.947,90.400,24
95,95,21.052,89.949,25
96,96,20.907,90.573,25
97,97,21.018,90.094,24
98,98,20.948,90.395,24
99,99,20.925,90.495,24
100,100,21.107,89.714,25
101,101,21.065,89.893,25
102,102,21.155,89.511,25
103,103,21.043,89.987,25
104,104,21.205,89.300,25
105,105,21.249,89.115,25
106,106,21.307,88.872,25
107,107,21.29,88.943,25
108,108,21.231,89.190,25
109,109,21.282,88.977,25
110,110,21.371,88.606,25
111,111,21.271,89.023,25
112,112,21.26,89.069,25
113,113,21.464,88.222,24
114,114,21.22,89.237,24
115,115,21.126,89.634,24
116,116,21.272,89.018,24
117,117,21.278,88.993,24
118,118,21.271,89.023,24
119,119,21.288,88.952,24
120,120,21.239,89.157,24
121,121,21.237,89.165,24
122,122,30.261,62.576,24
123,123,37.211,50.888,24
124,124,47.768,39.642,24
125,125,50.502,37.496,24
126,126,36.12,52.425,16
127,127,70.015,27.046,26
128,128,51.125,37.039,26
129,129,50.215,37.710,27
130,130,56.065,33.775,25
131,131,36.823,51.424,26
132,132,21.275,89.006,25
133,133,20.792,91.073,25
134,134,20.732,91.337,24
135,135,20.781,91.122,22
136,136,21.069,89.876,21
137,137,21.045,89.979,21
138,138,21.212,89.270,20
139,139,20.928,90.482,20
140,140,20.747,91.271,19
141,141,20.75,91.258,19
142,142,20.798,91.047,19
143,143,20.868,90.742,19
144,144,21.061,89.910,19
145,145,21.036,90.017,19
146,146,20.979,90.262,18
147,147,21.135,89.595,18
148,148,21.133,89.604,18
149,149,21.087,89.799,18
150,150,21.216,89.253,18
151,151,21.238,89.161,18
152,152,21.208,89.287,18
153,153,21.117,89.672,17
154,154,21.251,89.106,17
155,155,21.23,89.195,17
156,156,21.146,89.549,16
157,157,21.208,89.287,16
158,158,21.156,89.507,16
159,159,21.121,89.655,16
160,160,21.189,89.367,16
161,161,21.334,88.760,16
162,162,21.303,88.889,16
163,163,21.347,88.706,16
164,164,21.267,89.039,15
165,165,21.324,88.801,15
166,166,21.291,88.939,15
167,167,21.292,88.935,15
168,168,21.456,88.255,15
169,169,21.438,88.329,15
170,170,21.493,88.103,15
171,171,21.388,88.536,15
172,172,21.457,88.251,15
173,173,21.461,88.234,15
174,174,21.391,88.523,15
175,175,21.501,88.070,15
176,176,21.363,88.639,15
177,177,21.422,88.395,15
178,178,21.491,88.111,15
179,179,21.519,87.997,15
180,180,21.668,87.392,15
181,181,39.283,48.204,15
182,182,46.318,40.883,15
183,183,47.543,39.829,15
184,184,53.114,35.652,15
185,185,50.005,37.868,15
186,186,50.855,37.235,15
187,187,39.789,47.591,9
188,188,67.303,28.135,14
189,189,47.88,39.549,13
190,190,52.979,35.742,13
191,191,49.838,37.995,13
192,192,55.058,34.393,13
193,193,48.184,39.299,13
194,194,21.118,89.668,13
195,195,20.774,91.152,14
196,196,20.702,91.469,13
197,197,20.647,91.713,13
198,198,20.644,91.726,13
199,199,20.829,90.912,13
200,200,20.835,90.886,13
201,201,28.475,66.500,13
202,202,54.439,34.784,13
203,203,49.182,38.502,13
204,204,48.906,38.719,13
205,205,50.982,37.143,13
206,206,54.688,34.626,13
207,207,47.634,39.753,13
208,208,21.138,89.583,12
209,209,20.825,90.929,12
210,210,21.181,89.401,13
211,211,20.839,90.868,13
212,212,20.921,90.512,13
213,213,21.049,89.962,13
214,214,21.014,90.111,13
215,215,21.005,90.150,13
216,216,21.074,89.855,13
217,217,21.046,89.974,13
218,218,21.009,90.133,13
219,219,21.033,90.030,13
220,220,21.035,90.021,13
221,221,21.113,89.689,13
222,222,21.062,89.906,13
223,223,21.031,90.039,13
224,224,21.053,89.944,13
225,225,21.101,89.740,13
226,226,21.117,89.672,13
227,227,21.126,89.634,13
228,228,21.195,89.342,13
229,229,21.199,89.325,13
230,230,21.148,89.540,13
231,231,21.085,89.808,13
232,232,21.191,89.359,13
233,233,21.096,89.761,13
234,234,21.2,89.321,13
235,235,21.235,89.174,13
236,236,21.183,89.392,13
237,237,21.142,89.566,13
238,238,21.2,89.321,13
239,239,21.244,89.136,13
240,240,21.324,88.801,13
241,241,21.403,88.474,13
242,242,21.28,88.985,13
243,243,21.24,89.153,13
244,244,21.363,88.639,13
245,245,21.331,88.772,13
246,246,21.342,88.726,13
247,247,21.322,88.810,13
248,248,21.34,88.735,13
249,249,21.334,88.760,13
250,250,21.344,88.718,13
251,251,21.272,89.018,13
252,252,21.22,89.237,13
253,253,21.27,89.027,13
254,254,21.317,88.831,13
255,255,21.377,88.581,13
256,256,21.306,88.876,13
257,257,21.285,88.964,13
258,258,21.344,88.718,13
259,259,21.449,88.284,13
260,260,21.551,87.866,13
261,261,21.422,88.395,13
262,262,21.484,88.140,12
263,263,21.48,88.156,12
264,264,21.547,87.882,12
265,265,21.651,87.460,12
266,266,21.507,88.046,12
267,267,21.416,88.420,12
268,268,21.572,87.780,12
269,269,21.81,86.823,13
270,270,21.551,87.866,13
271,271,21.44,88.321,13
272,272,21.67,87.383,13
273,273,21.53,87.952,13
274,274,21.909,86.430,13
275,275,37.613,50.344,13
276,276,46.635,40.605,13
277,277,54.07,35.021,13
278,278,54.575,34.697,13
279,279,34.863,54.315,8
280,280,77.237,24.517,15
281,281,51.297,36.914,14
282,282,54.008,35.061,14
283,283,51.111,37.049,14
284,284,58.646,32.289,14
285,285,53.721,35.249,14
286,286,44.78,42.287,14
287,287,21.332,88.768,14
288,288,20.702,91.469,14
289,289,20.667,91.624,14
290,290,20.84,90.864,14
291,291,20.784,91.109,14
292,292,20.825,90.929,14
293,293,20.943,90.417,14
294,294,20.925,90.495,14
295,295,21.049,89.962,14
296,296,21.24,89.153,15
297,297,21.076,89.846,15
298,298,36.729,51.556,22
299,299,59.149,32.014,23
300,300,51.837,36.530,23
301,301,38.433,49.270,19
302,302,64.966,29.148,23
303,303,49.303,38.407,23
304,304,50.5,37.497,23
305,305,50.71,37.342,23
306,306,37.092,51.051,23
307,307,21.048,89.966,23
308,308,20.939,90.434,23
309,309,31.454,60.202,22
310,310,52.849,35.830,22
311,311,54.321,34.859,22
312,312,54.77,34.574,22
313,313,50.192,37.727,22
314,314,55.707,33.992,22
315,315,41.843,45.255,22
316,316,21.034,90.026,21
317,317,23.2,81.621,21
318,318,48.986,38.656,21
319,319,58.087,32.599,21
320,320,52.781,35.877,21
321,321,50.05,37.834,21
322,322,51.856,36.517,21
323,323,52.792,35.869,21
324,324,53.657,35.291,21
325,325,42.366,44.696,21
326,326,21.271,89.023,22
327,327,20.933,90.460,22
328,328,20.893,90.633,22
329,329,20.929,90.477,20
330,330,20.777,91.139,18
331,331,20.725,91.368,18
332,332,20.867,90.746,18
333,333,21.007,90.141,18
334,334,21.005,90.150,18
335,335,20.929,90.477,18
336,336,20.951,90.382,18
337,337,21.12,89.659,18
338,338,21.112,89.693,18
339,339,21.06,89.915,18
340,340,21.097,89.757,17
341,341,21.131,89.612,17
342,342,21.05,89.957,16
343,343,21.077,89.842,16
344,344,21.128,89.625,16
345,345,21.108,89.710,16
346,346,21.1,89.744,16
347,347,21.163,89.477,16
348,348,21.105,89.723,15
349,349,21.081,89.825,15
350,350,21.069,89.876,15
351,351,21.146,89.549,15
352,352,21.102,89.736,15
353,353,21.087,89.799,15
354,354,21.128,89.625,15
355,355,21.319,88.822,15
356,356,21.352,88.685,15
357,357,21.407,88.457,15
358,358,21.267,89.039,15
359,359,21.219,89.241,15
360,360,21.314,88.843,15
361,361,21.449,88.284,15
362,362,21.42,88.403,15
363,363,21.435,88.341,16
364,364,21.553,87.858,16
365,365,21.395,88.507,16
366,366,21.301,88.897,16
367,367,21.283,88.972,16
368,368,21.374,88.594,16
369,369,21.388,88.536,16
370,370,21.398,88.494,16
371,371,21.507,88.046,16
372,372,21.329,88.781,16
373,373,21.248,89.119,16
374,374,21.37,88.610,16
375,375,21.32,88.818,16
376,376,21.329,88.781,16
377,377,21.406,88.461,16
378,378,21.426,88.379,16
379,379,21.406,88.461,16
380,380,21.45,88.280,16
381,381,21.513,88.021,16
382,382,21.546,87.886,16
383,383,21.48,88.156,16
384,384,21.477,88.169,16
385,385,21.534,87.935,16
386,386,21.463,88.226,16
387,387,21.579,87.752,16
388,388,21.654,87.448,16
389,389,21.691,87.299,16
390,390,21.63,87.545,16
391,391,21.551,87.866,16
392,392,21.748,87.070,16
393,393,21.657,87.436,16
394,394,21.619,87.590,16
395,395,21.564,87.813,16
396,396,21.656,87.440,16
397,397,21.63,87.545,16
398,398,21.656,87.440,16
399,399,21.79,86.902,16
400,400,21.843,86.691,16
