,Lap,LapTime,LapSpeed,RunningPos
0,0,,,37
1,1,31.795,154.666,37
2,2,31.054,158.356,36
3,3,31.212,157.555,36
4,4,40.482,121.476,35
5,5,91.312,53.855,35
6,6,100.164,49.095,36
7,7,98.017,50.171,35
8,8,57.724,85.192,36
9,9,32.67,150.523,36
10,10,31.241,157.409,35
11,11,31.63,155.473,35
12,12,31.595,155.645,35
13,13,31.764,154.817,35
14,14,31.322,157.001,35
15,15,31.846,154.418,35
16,16,31.686,155.198,35
17,17,31.815,154.569,35
18,18,31.982,153.761,35
19,19,32.222,152.616,34
20,20,31.772,154.778,34
21,21,31.773,154.773,34
22,22,31.789,154.695,34
23,23,31.64,155.424,34
24,24,45.961,106.995,34
25,25,70.899,69.361,34
26,26,96.951,50.723,36
27,27,93.824,52.413,34
28,28,102.3,48.070,33
29,29,60.461,81.335,34
30,30,32.749,150.160,33
31,31,31.853,154.384,34
32,32,31.179,157.722,34
33,33,31.609,155.576,34
34,34,31.445,156.387,34
35,35,31.347,156.876,34
36,36,31.312,157.052,34
37,37,31.546,155.887,34
38,38,31.622,155.512,34
39,39,31.493,156.149,34
40,40,31.676,155.247,34
41,41,31.847,154.413,34
42,42,31.708,155.090,34
43,43,31.726,155.002,34
44,44,31.603,155.605,34
45,45,31.923,154.046,34
46,46,32.066,153.359,34
47,47,31.901,154.152,34
48,48,32.042,153.474,34
49,49,32.003,153.661,34
50,50,31.807,154.607,34
51,51,32.287,152.309,34
52,52,31.89,154.205,34
53,53,31.943,153.949,34
54,54,32.017,153.593,34
55,55,32.341,152.055,34
56,56,32.374,151.900,34
57,57,32.095,153.220,34
58,58,32.11,153.149,34
59,59,32.239,152.536,34
60,60,32.253,152.470,34
61,61,32.076,153.311,34
62,62,32.509,151.269,34
63,63,32.733,150.234,34
64,64,32.404,151.759,34
65,65,32.476,151.423,34
66,66,32.377,151.886,34
67,67,32.413,151.717,34
68,68,32.431,151.633,34
69,69,32.411,151.726,34
70,70,32.534,151.153,34
71,71,32.435,151.614,34
72,72,32.511,151.260,34
73,73,32.668,150.533,34
74,74,32.742,150.192,34
75,75,33.19,148.165,34
76,76,32.786,149.991,34
77,77,33.309,147.636,33
78,78,32.859,149.658,33
79,79,33.327,147.556,33
80,80,33.952,144.840,33
81,81,35.547,138.341,34
82,82,46.988,104.657,33
83,83,78.567,62.591,33
84,84,97.313,50.534,33
85,85,92.701,53.048,33
86,86,59.561,82.564,33
87,87,70.375,69.877,33
88,88,57.503,85.519,32
89,89,34.496,142.556,31
90,90,34.065,144.359,30
91,91,61.162,80.403,30
92,92,84.893,57.927,30
93,93,92.711,53.042,30
94,94,103.483,47.521,33
95,95,85.222,57.703,31
96,96,92.423,53.208,31
97,97,105.232,46.731,31
98,98,59.09,83.222,31
99,99,32.657,150.583,30
100,100,31.41,156.562,30
101,101,31.071,158.270,30
102,102,31.276,157.232,29
103,103,31.423,156.497,29
104,104,31.524,155.995,28
105,105,31.671,155.271,29
106,106,31.397,156.626,28
107,107,31.21,157.565,28
108,108,31.359,156.816,28
109,109,31.555,155.842,27
110,110,31.274,157.242,27
111,111,31.421,156.507,27
112,112,31.734,154.963,27
113,113,31.437,156.427,27
114,114,31.475,156.238,27
115,115,32.266,152.408,28
116,116,31.947,153.930,28
117,117,31.588,155.679,28
118,118,31.707,155.095,28
119,119,31.65,155.374,28
120,120,31.801,154.637,27
121,121,31.717,155.046,27
122,122,31.746,154.905,27
123,123,31.992,153.713,27
124,124,32.035,153.507,26
125,125,31.653,155.360,26
126,126,31.682,155.217,26
127,127,32.433,151.623,25
128,128,31.908,154.118,25
129,129,31.815,154.569,25
130,130,31.905,154.133,24
131,131,32.031,153.526,20
132,132,32.041,153.478,12
133,133,32.118,153.110,9
134,134,32.515,151.241,9
135,135,32.529,151.176,9
136,136,32.579,150.944,9
137,137,33.217,148.045,8
138,138,47.428,103.686,8
139,139,60.265,81.600,8
140,140,98.088,50.135,12
141,141,94.052,52.286,10
142,142,92.091,53.399,9
143,143,84.316,58.323,10
