,Lap,LapTime,LapSpeed,RunningPos
0,0,,,1
1,1,30.618,160.611,1
2,2,29.404,167.243,1
3,3,29.55,166.416,1
4,4,33.895,145.083,1
5,5,80.914,60.776,1
6,6,93.889,52.377,2
7,7,93.59,52.544,1
8,8,90.531,54.320,1
9,9,31.084,158.204,1
10,10,29.661,165.793,1
11,11,29.91,164.413,1
12,12,30.04,163.702,1
13,13,30.284,162.383,1
14,14,30.3,162.297,1
15,15,30.425,161.630,1
16,16,30.534,161.053,1
17,17,30.797,159.678,1
18,18,30.904,159.125,1
19,19,30.925,159.017,1
20,20,31.04,158.428,1
21,21,31.015,158.556,1
22,22,31.153,157.853,1
23,23,31.186,157.686,1
24,24,34.177,143.886,1
25,25,82.105,59.894,1
26,26,91.181,53.932,1
27,27,96.294,51.069,1
28,28,93.682,52.492,1
29,29,90.782,54.169,1
30,30,30.999,158.637,1
31,31,29.698,165.587,1
32,32,29.928,164.314,1
33,33,30.056,163.615,1
34,34,30.301,162.292,1
35,35,30.482,161.328,1
36,36,30.511,161.175,1
37,37,30.55,160.969,1
38,38,30.665,160.365,1
39,39,30.903,159.130,1
40,40,30.875,159.274,1
41,41,30.939,158.945,1
42,42,30.908,159.104,1
43,43,30.856,159.373,1
44,44,30.924,159.022,1
45,45,31.096,158.143,1
46,46,31.014,158.561,1
47,47,31.224,157.494,1
48,48,31.168,157.777,1
49,49,31.129,157.975,1
50,50,31.13,157.970,1
51,51,31.177,157.732,1
52,52,31.29,157.162,1
53,53,31.277,157.227,1
54,54,31.469,156.268,1
55,55,31.467,156.278,1
56,56,31.432,156.452,1
57,57,31.482,156.204,1
58,58,31.528,155.976,1
59,59,31.568,155.778,1
60,60,31.653,155.360,1
61,61,31.644,155.404,1
62,62,31.591,155.665,1
63,63,32.25,152.484,1
64,64,31.975,153.795,1
65,65,32.171,152.858,1
66,66,32.038,153.493,1
67,67,31.901,154.152,1
68,68,32.211,152.668,1
69,69,32.288,152.304,1
70,70,32.293,152.281,1
71,71,32.314,152.182,1
72,72,32.219,152.630,1
73,73,32.789,149.977,1
74,74,32.591,150.888,1
75,75,32.099,153.201,1
76,76,32.717,150.307,1
77,77,32.872,149.598,1
78,78,32.58,150.939,1
79,79,32.956,149.217,1
80,80,32.977,149.122,1
81,81,34.233,143.651,1
82,82,33.853,145.263,1
83,83,42.825,114.830,1
84,84,84.155,58.435,1
85,85,96.01,51.220,1
86,86,101.206,48.590,1
87,87,91.193,53.925,1
