,Lap,LapTime,LapSpeed,RunningPos
0,0,,,10
1,1,16.432,116.772,9
2,2,15.853,121.037,10
3,3,15.98,120.075,10
4,4,16.224,118.269,13
5,5,16.342,117.415,14
6,6,16.058,119.492,14
7,7,16.03,119.701,14
8,8,15.965,120.188,14
9,9,16.089,119.262,13
10,10,16.287,117.812,12
11,11,16.236,118.182,12
12,12,16.332,117.487,12
13,13,16.287,117.812,12
14,14,16.226,118.255,12
15,15,16.354,117.329,12
16,16,16.389,117.079,12
17,17,16.437,116.737,12
18,18,16.444,116.687,12
19,19,16.449,116.651,12
20,20,16.476,116.460,12
21,21,16.488,116.376,12
22,22,16.507,116.242,12
23,23,16.591,115.653,12
24,24,16.153,118.789,11
25,25,16.242,118.138,9
26,26,16.348,117.372,9
27,27,16.281,117.855,9
28,28,16.197,118.466,7
29,29,16.196,118.474,6
30,30,16.27,117.935,5
31,31,16.236,118.182,4
32,32,16.35,117.358,4
33,33,16.128,118.973,3
34,34,16.14,118.885,2
35,35,16.48,116.432,2
36,36,16.45,116.644,2
37,37,16.373,117.193,2
38,38,16.172,118.650,2
39,39,16.334,117.473,3
40,40,16.303,117.696,3
41,41,16.397,117.021,3
42,42,16.326,117.530,3
43,43,16.213,118.349,3
44,44,16.136,118.914,2
45,45,16.09,119.254,2
46,46,16.123,119.010,2
47,47,16.068,119.417,2
48,48,16.057,119.499,2
49,49,16.01,119.850,2
50,50,15.977,120.098,2
51,51,15.851,121.052,2
52,52,15.847,121.083,2
53,53,15.838,121.152,2
54,54,15.883,120.808,2
55,55,15.795,121.481,2
56,56,15.774,121.643,2
57,57,15.822,121.274,2
58,58,15.867,120.930,2
59,59,15.911,120.596,2
60,60,15.868,120.923,2
61,61,15.807,121.389,2
62,62,15.783,121.574,2
63,63,15.732,121.968,2
64,64,15.98,120.075,2
65,65,15.914,120.573,2
66,66,15.914,120.573,2
67,67,15.855,121.022,2
68,68,15.863,120.961,2
69,69,15.886,120.786,2
70,70,16.186,118.547,2
71,71,16.03,119.701,2
72,72,15.867,120.930,2
73,73,15.981,120.068,2
74,74,15.973,120.128,2
75,75,16.173,118.642,2
76,76,16.16,118.738,2
77,77,16.445,116.680,3
78,78,16.048,119.566,3
79,79,16.075,119.365,3
80,80,15.995,119.962,3
81,81,15.908,120.619,3
82,82,15.959,120.233,3
83,83,15.94,120.376,3
84,84,16.062,119.462,3
85,85,15.85,121.060,3
86,86,15.997,119.947,3
87,87,15.91,120.603,3
88,88,15.915,120.566,3
89,89,15.892,120.740,3
90,90,15.918,120.543,3
91,91,16.012,119.835,3
92,92,15.876,120.862,3
93,93,15.988,120.015,3
94,94,16.128,118.973,3
95,95,16.296,117.747,3
96,96,16.064,119.447,3
97,97,15.993,119.977,3
98,98,15.973,120.128,3
99,99,15.96,120.226,3
100,100,15.887,120.778,3
101,101,15.898,120.694,3
102,102,15.779,121.605,3
103,103,15.886,120.786,3
104,104,16.005,119.888,3
105,105,16.002,119.910,3
106,106,15.94,120.376,3
107,107,16.013,119.828,3
108,108,16.141,118.877,3
109,109,15.972,120.135,3
110,110,15.966,120.180,3
111,111,15.871,120.900,3
112,112,15.85,121.060,3
113,113,15.95,120.301,3
114,114,15.903,120.656,3
115,115,16.05,119.551,3
116,116,15.984,120.045,3
117,117,15.944,120.346,3
118,118,16.22,118.298,3
119,119,16.055,119.514,3
120,120,15.962,120.210,3
121,121,16.072,119.388,3
122,122,15.989,120.008,3
123,123,15.987,120.023,3
124,124,15.87,120.907,3
125,125,16.138,118.899,3
126,126,22.954,83.593,3
127,127,35.828,53.556,3
128,128,54.343,35.309,3
129,129,53.115,36.125,3
130,130,55.506,34.569,3
131,131,52.471,36.569,3
132,132,53.69,35.738,3
133,133,51.921,36.956,3
134,134,59.67,32.157,10
135,135,44.097,43.513,4
136,136,51.289,37.412,3
137,137,53.722,35.717,3
138,138,53.938,35.574,3
139,139,54.01,35.527,3
140,140,53.586,35.808,3
141,141,53.68,35.745,3
142,142,61.935,30.981,3
143,143,16.205,118.408,3
144,144,15.574,123.205,3
145,145,15.563,123.292,2
146,146,15.599,123.008,2
147,147,15.656,122.560,2
148,148,15.727,122.007,2
149,149,15.687,122.318,2
150,150,15.722,122.046,2
151,151,15.71,122.139,2
152,152,15.726,122.014,2
153,153,15.805,121.405,2
154,154,15.795,121.481,2
155,155,15.71,122.139,2
156,156,15.746,121.860,2
157,157,15.717,122.084,2
158,158,15.68,122.372,2
159,159,15.636,122.717,2
160,160,15.756,121.782,2
161,161,15.661,122.521,2
162,162,15.639,122.693,2
163,163,15.674,122.419,2
164,164,15.674,122.419,2
165,165,15.64,122.685,2
166,166,15.859,120.991,2
167,167,15.687,122.318,2
168,168,15.736,121.937,2
169,169,15.881,120.824,2
170,170,16.015,119.813,2
171,171,16.028,119.715,2
172,172,16.039,119.633,2
173,173,16.018,119.790,2
174,174,15.977,120.098,2
175,175,15.978,120.090,2
176,176,16.047,119.574,2
177,177,15.904,120.649,2
178,178,18.868,101.696,2
179,179,48.802,39.318,2
180,180,53.239,36.041,2
181,181,53.13,36.115,2
182,182,53.417,35.921,2
183,183,53.427,35.914,2
184,184,53.482,35.877,2
185,185,53.959,35.560,2
186,186,53.615,35.788,2
187,187,53.739,35.706,2
188,188,60.521,31.705,3
189,189,16.179,118.598,3
190,190,15.698,122.232,4
191,191,15.763,121.728,5
192,192,15.765,121.713,5
193,193,15.714,122.108,5
194,194,15.671,122.443,5
195,195,15.782,121.582,6
196,196,15.779,121.605,6
197,197,15.745,121.867,6
198,198,15.736,121.937,6
199,199,15.722,122.046,6
200,200,15.707,122.162,6
201,201,15.813,121.343,6
202,202,15.737,121.929,6
203,203,15.785,121.558,6
204,204,15.778,121.612,6
205,205,15.831,121.205,6
206,206,15.765,121.713,6
207,207,15.743,121.883,6
208,208,15.745,121.867,6
209,209,15.858,120.999,6
210,210,15.868,120.923,6
211,211,15.75,121.829,6
212,212,15.735,121.945,6
213,213,15.801,121.435,6
214,214,15.786,121.551,6
215,215,15.776,121.628,6
216,216,15.809,121.374,6
217,217,15.863,120.961,6
218,218,15.797,121.466,6
219,219,15.78,121.597,6
220,220,15.839,121.144,6
221,221,15.81,121.366,6
222,222,15.799,121.451,6
223,223,15.877,120.854,6
224,224,15.859,120.991,6
225,225,15.85,121.060,6
226,226,15.945,120.339,6
227,227,16.103,119.158,6
228,228,16.031,119.693,6
229,229,15.966,120.180,6
230,230,15.884,120.801,6
231,231,15.813,121.343,6
232,232,15.968,120.165,6
233,233,15.877,120.854,6
234,234,15.888,120.770,6
235,235,15.913,120.581,6
236,236,16.0,119.925,6
237,237,16.061,119.470,6
238,238,15.98,120.075,6
239,239,16.023,119.753,6
240,240,15.996,119.955,6
241,241,16.066,119.432,6
242,242,15.967,120.173,6
243,243,15.936,120.407,6
244,244,15.962,120.210,6
245,245,15.917,120.550,6
246,246,15.899,120.687,6
247,247,15.895,120.717,6
248,248,16.003,119.903,6
249,249,15.948,120.316,6
250,250,16.184,118.562,6
251,251,33.208,57.781,6
252,252,55.666,34.470,6
253,253,54.299,35.338,6
254,254,52.38,36.632,6
255,255,53.419,35.920,6
256,256,52.761,36.368,6
257,257,53.037,36.179,6
258,258,58.472,32.816,11
259,259,57.634,33.293,9
260,260,54.437,35.248,8
261,261,52.106,36.825,8
262,262,54.175,35.419,8
263,263,54.965,34.909,8
264,264,51.122,37.534,8
265,265,55.774,34.403,8
266,266,16.072,119.388,8
267,267,15.687,122.318,7
268,268,15.812,121.351,7
269,269,15.717,122.084,7
270,270,15.877,120.854,8
271,271,15.745,121.867,9
272,272,15.883,120.808,9
273,273,15.953,120.278,9
274,274,15.889,120.763,9
275,275,15.795,121.481,9
276,276,15.751,121.821,9
277,277,15.776,121.628,9
278,278,15.843,121.113,9
279,279,15.833,121.190,9
280,280,15.858,120.999,9
281,281,15.902,120.664,9
282,282,15.888,120.770,9
283,283,15.909,120.611,9
284,284,15.781,121.589,9
285,285,15.739,121.914,9
286,286,15.817,121.313,9
287,287,15.906,120.634,9
288,288,16.043,119.604,8
289,289,15.914,120.573,8
290,290,15.844,121.106,8
291,291,15.857,121.006,8
292,292,15.898,120.694,8
293,293,15.859,120.991,8
294,294,15.934,120.422,8
295,295,16.116,119.062,9
296,296,16.008,119.865,9
297,297,15.976,120.105,9
298,298,15.864,120.953,9
299,299,15.841,121.129,9
300,300,15.798,121.458,9
301,301,15.859,120.991,9
302,302,15.86,120.984,9
303,303,15.847,121.083,9
304,304,16.001,119.918,9
305,305,15.888,120.770,9
306,306,15.816,121.320,9
307,307,15.837,121.159,9
308,308,15.912,120.588,9
309,309,15.89,120.755,9
310,310,15.887,120.778,9
311,311,15.943,120.354,9
312,312,15.959,120.233,9
313,313,15.915,120.566,9
314,314,15.88,120.831,9
315,315,15.876,120.862,9
316,316,15.956,120.256,9
317,317,15.951,120.293,9
318,318,15.996,119.955,9
319,319,15.919,120.535,9
320,320,15.943,120.354,9
321,321,16.037,119.648,9
322,322,16.166,118.694,9
323,323,16.091,119.247,9
324,324,16.212,118.357,9
325,325,16.068,119.417,9
326,326,15.954,120.271,9
327,327,15.941,120.369,9
328,328,16.051,119.544,9
329,329,15.953,120.278,9
330,330,15.968,120.165,9
331,331,15.886,120.786,9
332,332,15.823,121.267,9
333,333,15.849,121.068,9
334,334,16.056,119.507,9
335,335,15.924,120.497,9
336,336,15.99,120.000,9
337,337,15.896,120.710,9
338,338,15.934,120.422,9
339,339,15.933,120.429,9
340,340,16.027,119.723,9
341,341,16.093,119.232,9
342,342,16.145,118.848,9
343,343,16.161,118.730,9
344,344,16.129,118.966,9
345,345,16.329,117.509,10
346,346,16.175,118.628,10
347,347,16.011,119.843,10
348,348,16.041,119.618,10
349,349,15.838,121.152,10
350,350,15.893,120.732,10
351,351,15.976,120.105,10
352,352,15.99,120.000,10
353,353,15.993,119.977,10
354,354,15.96,120.226,10
355,355,16.109,119.114,10
356,356,15.959,120.233,10
357,357,15.893,120.732,10
358,358,15.912,120.588,10
359,359,15.973,120.128,10
360,360,15.941,120.369,10
361,361,15.953,120.278,10
362,362,16.028,119.715,10
363,363,16.044,119.596,10
364,364,16.0,119.925,10
365,365,16.08,119.328,10
366,366,15.964,120.195,10
367,367,15.924,120.497,10
368,368,15.89,120.755,10
369,369,15.867,120.930,10
370,370,15.838,121.152,10
371,371,15.904,120.649,10
372,372,15.983,120.053,10
373,373,15.938,120.392,10
374,374,15.897,120.702,10
375,375,15.999,119.932,10
376,376,16.041,119.618,10
377,377,15.963,120.203,10
378,378,16.083,119.306,10
379,379,15.937,120.399,10
380,380,16.209,118.379,10
381,381,16.067,119.425,10
382,382,16.41,116.929,9
383,383,16.293,117.768,9
384,384,16.137,118.907,9
385,385,16.182,118.576,9
386,386,16.108,119.121,8
387,387,16.123,119.010,8
388,388,16.07,119.403,8
389,389,16.076,119.358,7
390,390,16.006,119.880,6
391,391,15.981,120.068,3
392,392,16.381,117.136,2
393,393,45.694,41.992,18
394,394,16.308,117.660,18
395,395,15.65,122.607,17
396,396,15.488,123.889,17
397,397,15.466,124.066,17
398,398,15.908,120.619,17
399,399,15.589,123.087,16
400,400,15.583,123.134,16
401,401,15.708,122.154,16
402,402,15.569,123.245,16
403,403,15.669,122.458,16
404,404,15.835,121.175,16
405,405,15.772,121.659,16
406,406,15.677,122.396,15
407,407,15.787,121.543,15
408,408,15.783,121.574,15
409,409,15.902,120.664,15
410,410,15.977,120.098,14
411,411,15.969,120.158,14
412,412,15.871,120.900,14
413,413,15.862,120.968,13
414,414,15.855,121.022,13
415,415,15.919,120.535,12
416,416,15.844,121.106,12
417,417,15.787,121.543,12
418,418,15.91,120.603,12
419,419,15.896,120.710,12
420,420,15.915,120.566,12
421,421,15.965,120.188,12
422,422,15.822,121.274,12
423,423,15.931,120.444,12
424,424,15.983,120.053,12
425,425,16.019,119.783,12
