,Lap,LapTime,LapSpeed,RunningPos
0,0,,,13
1,1,16.841,113.936,15
2,2,15.951,120.293,15
3,3,15.94,120.376,15
4,4,15.882,120.816,15
5,5,16.033,119.678,15
6,6,16.101,119.173,15
7,7,16.067,119.425,15
8,8,16.087,119.276,15
9,9,16.057,119.499,15
10,10,16.299,117.725,15
11,11,16.274,117.906,14
12,12,16.342,117.415,14
13,13,16.378,117.157,14
14,14,16.261,118.000,14
15,15,16.255,118.044,14
16,16,16.338,117.444,14
17,17,16.554,115.912,15
18,18,16.548,115.954,15
19,19,16.563,115.849,15
20,20,16.388,117.086,15
21,21,16.468,116.517,15
22,22,16.506,116.249,15
23,23,16.483,116.411,15
24,24,16.435,116.751,15
25,25,16.475,116.467,15
26,26,16.416,116.886,15
27,27,16.495,116.326,15
28,28,16.562,115.856,15
29,29,16.525,116.115,15
30,30,16.557,115.891,15
31,31,16.502,116.277,15
32,32,16.274,117.906,15
33,33,16.315,117.610,15
34,34,16.307,117.667,15
35,35,16.469,116.510,15
36,36,16.364,117.257,15
37,37,16.364,117.257,15
38,38,16.279,117.870,15
39,39,16.289,117.797,15
40,40,16.425,116.822,15
41,41,16.312,117.631,15
42,42,16.341,117.422,15
43,43,16.27,117.935,15
44,44,16.239,118.160,15
45,45,16.184,118.562,15
46,46,16.212,118.357,15
47,47,16.309,117.653,15
48,48,16.378,117.157,15
49,49,16.544,115.982,16
50,50,16.332,117.487,16
51,51,16.302,117.703,16
52,52,16.279,117.870,16
53,53,16.455,116.609,17
54,54,16.641,115.306,18
55,55,16.229,118.233,18
56,56,16.293,117.768,20
57,57,16.191,118.510,20
58,58,16.226,118.255,20
59,59,16.27,117.935,21
60,60,16.092,119.239,21
61,61,16.317,117.595,23
62,62,16.296,117.747,23
63,63,16.094,119.225,23
64,64,15.995,119.962,23
65,65,16.02,119.775,23
66,66,16.029,119.708,23
67,67,16.121,119.025,23
68,68,16.034,119.671,23
69,69,16.033,119.678,23
70,70,16.015,119.813,23
71,71,15.986,120.030,23
72,72,15.86,120.984,23
73,73,15.898,120.694,23
74,74,15.875,120.869,23
75,75,15.863,120.961,23
