,Lap,LapTime,LapSpeed,RunningPos
0,0,,,36
1,1,16.939,113.277,33
2,2,16.277,117.884,34
3,3,16.319,117.581,35
4,4,16.435,116.751,38
5,5,16.481,116.425,39
6,6,16.277,117.884,39
7,7,16.345,117.394,39
8,8,16.233,118.204,39
9,9,16.131,118.951,39
10,10,16.204,118.415,39
11,11,16.229,118.233,39
12,12,16.22,118.298,39
13,13,16.227,118.247,39
14,14,16.383,117.121,39
15,15,16.308,117.660,39
16,16,16.373,117.193,39
17,17,16.206,118.401,39
18,18,16.238,118.167,39
19,19,16.452,116.630,39
20,20,16.364,117.257,39
21,21,16.379,117.150,39
22,22,16.423,116.836,39
23,23,16.587,115.681,39
24,24,16.539,116.017,39
25,25,16.609,115.528,39
26,26,16.509,116.228,38
27,27,16.474,116.474,38
28,28,16.381,117.136,38
29,29,16.385,117.107,38
30,30,16.349,117.365,38
31,31,16.465,116.538,38
32,32,17.133,111.994,38
33,33,16.47,116.503,38
34,34,16.38,117.143,38
35,35,16.442,116.701,38
36,36,16.403,116.979,38
37,37,16.516,116.178,38
38,38,16.518,116.164,38
39,39,16.433,116.765,37
40,40,16.432,116.772,37
41,41,16.336,117.458,37
42,42,16.437,116.737,37
43,43,16.371,117.207,37
44,44,16.351,117.351,37
45,45,16.314,117.617,37
46,46,16.319,117.581,37
47,47,16.388,117.086,37
48,48,16.306,117.674,37
49,49,16.221,118.291,37
50,50,16.332,117.487,37
51,51,16.287,117.812,37
52,52,16.302,117.703,37
53,53,16.314,117.617,37
54,54,16.158,118.752,37
55,55,16.276,117.891,37
56,56,16.203,118.423,37
57,57,16.073,119.380,37
58,58,16.062,119.462,37
59,59,16.061,119.470,37
60,60,16.126,118.988,37
61,61,15.957,120.248,37
62,62,16.088,119.269,37
63,63,16.244,118.124,37
64,64,16.237,118.175,37
65,65,16.109,119.114,37
66,66,16.294,117.761,37
67,67,16.124,119.003,37
68,68,16.21,118.371,37
69,69,16.079,119.336,37
70,70,16.012,119.835,37
71,71,16.037,119.648,37
72,72,16.09,119.254,37
73,73,16.021,119.768,37
74,74,16.18,118.591,37
75,75,16.171,118.657,37
76,76,16.257,118.029,37
77,77,16.365,117.250,37
78,78,16.365,117.250,37
79,79,16.121,119.025,37
80,80,15.978,120.090,37
81,81,15.933,120.429,37
82,82,15.99,120.000,37
83,83,15.928,120.467,37
84,84,15.968,120.165,37
85,85,15.87,120.907,37
86,86,16.113,119.084,37
87,87,16.064,119.447,37
88,88,16.301,117.711,37
89,89,16.174,118.635,37
90,90,15.953,120.278,37
91,91,15.888,120.770,37
92,92,15.976,120.105,37
93,93,16.071,119.395,37
94,94,16.01,119.850,37
95,95,16.066,119.432,37
96,96,16.305,117.682,37
97,97,16.253,118.058,37
98,98,15.964,120.195,37
99,99,15.927,120.475,37
100,100,15.998,119.940,37
101,101,16.175,118.628,37
102,102,16.167,118.686,37
103,103,16.394,117.043,37
104,104,16.114,119.077,37
105,105,16.23,118.226,37
106,106,16.368,117.229,37
107,107,16.277,117.884,37
108,108,16.316,117.602,37
109,109,16.24,118.153,37
110,110,16.197,118.466,37
111,111,16.207,118.393,37
112,112,16.152,118.796,37
113,113,16.021,119.768,37
114,114,15.949,120.308,37
115,115,16.016,119.805,37
116,116,16.017,119.798,37
117,117,15.988,120.015,37
118,118,15.9,120.679,37
119,119,15.995,119.962,37
120,120,16.399,117.007,37
121,121,16.07,119.403,37
122,122,15.967,120.173,37
123,123,16.046,119.581,37
124,124,16.031,119.693,37
125,125,28.957,66.264,37
126,126,39.58,48.479,37
127,127,52.305,36.685,37
128,128,51.255,37.436,37
129,129,58.154,32.995,37
