,Lap,LapTime,LapSpeed,RunningPos
0,0,,,30
1,1,16.612,115.507,27
2,2,16.266,117.964,28
3,3,15.935,120.414,28
4,4,15.926,120.482,27
5,5,16.331,117.494,28
6,6,16.43,116.786,30
7,7,16.347,117.379,31
8,8,16.385,117.107,32
9,9,16.286,117.819,34
10,10,16.501,116.284,35
11,11,16.198,118.459,34
12,12,16.254,118.051,34
13,13,16.269,117.942,34
14,14,16.174,118.635,34
15,15,16.345,117.394,34
16,16,16.279,117.870,34
17,17,16.403,116.979,34
18,18,16.45,116.644,34
19,19,16.393,117.050,33
20,20,16.342,117.415,33
21,21,16.345,117.394,33
22,22,16.522,116.136,33
23,23,16.468,116.517,33
24,24,16.595,115.625,33
25,25,16.507,116.242,33
26,26,16.509,116.228,33
27,27,16.451,116.637,33
28,28,16.383,117.121,32
29,29,16.319,117.581,32
30,30,16.54,116.010,32
31,31,16.462,116.559,32
32,32,16.788,114.296,32
33,33,16.28,117.862,32
34,34,16.549,115.947,31
35,35,16.524,116.122,31
36,36,16.515,116.185,31
37,37,16.571,115.793,31
38,38,16.37,117.214,31
39,39,16.416,116.886,31
40,40,16.396,117.029,31
41,41,16.468,116.517,31
42,42,16.405,116.964,31
43,43,16.298,117.732,31
44,44,16.32,117.574,31
45,45,16.228,118.240,31
46,46,16.305,117.682,31
47,47,16.349,117.365,31
48,48,16.238,118.167,31
49,49,16.319,117.581,31
50,50,16.305,117.682,31
51,51,16.491,116.354,31
52,52,16.258,118.022,31
53,53,16.229,118.233,31
54,54,16.248,118.095,31
55,55,16.029,119.708,31
56,56,16.043,119.604,31
57,57,15.97,120.150,31
58,58,15.99,120.000,31
59,59,16.117,119.054,31
60,60,16.338,117.444,30
61,61,16.004,119.895,30
62,62,16.041,119.618,30
63,63,16.132,118.944,30
64,64,16.044,119.596,30
65,65,16.03,119.701,30
66,66,16.13,118.958,30
67,67,16.169,118.672,30
68,68,16.044,119.596,30
69,69,16.09,119.254,30
70,70,16.133,118.936,30
71,71,15.982,120.060,30
72,72,16.034,119.671,30
73,73,16.066,119.432,30
74,74,15.979,120.083,30
75,75,16.006,119.880,30
76,76,15.914,120.573,30
77,77,15.977,120.098,30
78,78,15.959,120.233,30
79,79,15.988,120.015,30
80,80,15.989,120.008,30
81,81,16.051,119.544,30
82,82,15.973,120.128,30
83,83,16.018,119.790,30
84,84,15.965,120.188,30
85,85,15.993,119.977,30
86,86,15.98,120.075,30
87,87,16.116,119.062,30
88,88,16.126,118.988,30
89,89,16.151,118.804,30
90,90,16.285,117.826,30
91,91,16.522,116.136,31
92,92,16.085,119.291,31
93,93,16.079,119.336,31
94,94,16.002,119.910,31
95,95,16.029,119.708,31
96,96,16.052,119.537,31
97,97,15.991,119.992,31
98,98,16.026,119.730,31
99,99,16.045,119.589,31
100,100,16.045,119.589,31
101,101,16.057,119.499,31
102,102,16.294,117.761,31
103,103,15.944,120.346,31
104,104,15.921,120.520,31
105,105,16.069,119.410,31
106,106,15.968,120.165,31
107,107,15.921,120.520,31
108,108,15.863,120.961,31
109,109,15.972,120.135,31
110,110,15.89,120.755,31
111,111,15.904,120.649,31
112,112,16.079,119.336,32
113,113,16.193,118.496,32
114,114,16.149,118.819,32
115,115,16.128,118.973,32
116,116,16.012,119.835,32
117,117,16.103,119.158,32
118,118,16.024,119.745,32
119,119,15.993,119.977,32
120,120,16.015,119.813,32
121,121,15.961,120.218,32
122,122,15.922,120.512,32
123,123,16.09,119.254,32
124,124,16.204,118.415,32
125,125,22.552,85.083,32
126,126,35.585,53.922,32
127,127,54.608,35.138,32
128,128,53.028,36.185,32
129,129,55.443,34.609,32
130,130,52.526,36.530,32
131,131,53.571,35.818,32
132,132,52.296,36.691,32
133,133,51.502,37.257,32
134,134,62.265,30.817,31
135,135,65.275,29.396,31
136,136,51.517,37.246,31
137,137,55.912,34.318,31
138,138,53.42,35.919,31
139,139,54.101,35.467,31
140,140,59.242,32.389,31
141,141,35.309,54.343,30
142,142,16.164,118.708,30
143,143,15.885,120.793,30
144,144,15.857,121.006,29
145,145,15.92,120.528,28
146,146,16.078,119.343,27
147,147,16.105,119.143,27
148,148,16.135,118.922,27
149,149,16.065,119.440,27
150,150,16.196,118.474,27
151,151,16.283,117.841,27
152,152,16.266,117.964,27
153,153,16.273,117.913,27
154,154,16.157,118.760,27
155,155,16.04,119.626,27
156,156,16.033,119.678,27
157,157,16.038,119.641,27
158,158,16.045,119.589,27
159,159,15.99,120.000,27
160,160,16.032,119.686,27
161,161,15.956,120.256,27
162,162,16.014,119.820,27
163,163,15.938,120.392,27
164,164,15.939,120.384,27
165,165,15.89,120.755,27
166,166,16.038,119.641,27
167,167,16.031,119.693,27
168,168,16.023,119.753,27
169,169,15.979,120.083,27
170,170,15.952,120.286,27
171,171,15.953,120.278,27
172,172,15.891,120.748,27
173,173,15.923,120.505,27
174,174,15.955,120.263,27
175,175,16.044,119.596,27
176,176,16.655,115.209,27
177,177,34.579,55.490,27
178,178,44.048,43.562,27
179,179,52.22,36.745,27
180,180,48.513,39.552,27
181,181,49.735,38.580,27
182,182,61.581,31.159,27
183,183,57.694,33.258,26
184,184,53.749,35.699,26
185,185,53.815,35.655,26
186,186,58.801,32.632,26
187,187,32.343,59.327,26
188,188,16.194,118.488,26
189,189,15.846,121.090,26
190,190,15.894,120.725,26
191,191,15.967,120.173,26
192,192,15.896,120.710,26
193,193,15.952,120.286,26
194,194,15.972,120.135,26
195,195,15.954,120.271,25
196,196,15.89,120.755,25
197,197,16.04,119.626,25
198,198,16.029,119.708,25
199,199,16.029,119.708,25
200,200,16.109,119.114,25
201,201,15.997,119.947,25
202,202,16.071,119.395,25
203,203,16.04,119.626,25
204,204,15.925,120.490,25
205,205,15.893,120.732,25
206,206,15.98,120.075,25
207,207,16.108,119.121,25
208,208,16.192,118.503,25
209,209,15.956,120.256,25
210,210,15.9,120.679,25
211,211,15.848,121.075,25
212,212,15.877,120.854,25
213,213,16.036,119.656,25
214,214,16.005,119.888,25
215,215,15.902,120.664,25
216,216,15.93,120.452,25
217,217,16.02,119.775,25
218,218,16.049,119.559,25
219,219,16.017,119.798,25
220,220,16.0,119.925,25
221,221,15.987,120.023,25
222,222,15.96,120.226,25
223,223,16.055,119.514,25
224,224,15.879,120.839,25
225,225,15.933,120.429,25
226,226,15.937,120.399,25
227,227,15.87,120.907,25
228,228,15.89,120.755,25
229,229,15.897,120.702,25
230,230,15.942,120.361,25
231,231,15.879,120.839,25
232,232,15.827,121.236,25
233,233,15.869,120.915,25
234,234,15.803,121.420,25
235,235,15.784,121.566,25
236,236,15.874,120.877,25
237,237,15.883,120.808,25
238,238,15.828,121.228,25
239,239,15.873,120.885,25
240,240,15.878,120.846,25
241,241,15.868,120.923,25
242,242,15.886,120.786,25
243,243,15.846,121.090,25
244,244,15.865,120.945,25
245,245,15.926,120.482,25
246,246,15.852,121.045,25
247,247,15.846,121.090,25
248,248,15.887,120.778,25
249,249,16.599,115.597,25
250,250,41.963,45.726,25
251,251,56.708,33.836,25
252,252,52.686,36.420,25
253,253,53.888,35.607,25
254,254,53.565,35.822,25
255,255,50.97,37.646,25
256,256,47.079,40.757,25
257,257,42.538,45.108,25
258,258,51.62,37.172,25
259,259,54.533,35.186,25
260,260,52.802,36.340,25
261,261,54.154,35.432,25
262,262,54.197,35.404,25
263,263,36.37,52.758,25
264,264,54.126,35.451,25
265,265,30.634,62.636,25
266,266,16.344,117.401,25
267,267,16.049,119.559,25
268,268,15.908,120.619,25
269,269,15.938,120.392,25
270,270,16.07,119.403,25
271,271,16.018,119.790,25
272,272,15.989,120.008,25
273,273,15.944,120.346,25
274,274,16.014,119.820,25
275,275,16.065,119.440,25
276,276,16.066,119.432,25
277,277,16.029,119.708,25
278,278,16.096,119.210,25
279,279,15.925,120.490,25
280,280,16.014,119.820,25
281,281,16.041,119.618,25
282,282,16.072,119.388,25
283,283,16.036,119.656,25
284,284,16.073,119.380,25
285,285,16.067,119.425,25
286,286,16.126,118.988,25
287,287,16.18,118.591,25
288,288,15.993,119.977,25
289,289,16.042,119.611,25
290,290,15.986,120.030,25
291,291,16.105,119.143,25
292,292,16.161,118.730,25
293,293,16.159,118.745,25
294,294,16.087,119.276,25
295,295,15.935,120.414,25
296,296,15.957,120.248,25
297,297,21.175,90.616,30
298,298,73.781,26.007,37
299,299,24.661,77.807,37
300,300,16.223,118.277,37
301,301,16.571,115.793,37
302,302,16.057,119.499,37
303,303,15.887,120.778,37
304,304,15.821,121.282,37
305,305,15.891,120.748,37
306,306,16.176,118.620,37
307,307,15.956,120.256,37
308,308,15.976,120.105,37
309,309,15.99,120.000,37
310,310,15.903,120.656,37
311,311,15.922,120.512,37
312,312,16.036,119.656,37
313,313,15.945,120.339,37
314,314,15.962,120.210,37
315,315,15.944,120.346,37
316,316,16.061,119.470,37
317,317,16.13,118.958,37
318,318,16.051,119.544,37
319,319,16.376,117.171,37
320,320,17.085,112.309,37
321,321,16.466,116.531,37
322,322,16.024,119.745,37
323,323,16.054,119.522,37
324,324,15.987,120.023,37
325,325,16.273,117.913,37
326,326,16.212,118.357,37
327,327,16.022,119.760,37
328,328,16.236,118.182,37
329,329,16.266,117.964,37
330,330,16.208,118.386,37
331,331,16.138,118.899,37
332,332,16.084,119.299,37
333,333,16.027,119.723,37
334,334,15.882,120.816,37
335,335,15.886,120.786,37
336,336,15.968,120.165,37
337,337,15.976,120.105,37
338,338,15.943,120.354,37
339,339,16.016,119.805,37
340,340,16.001,119.918,37
341,341,16.058,119.492,37
342,342,16.074,119.373,37
343,343,16.444,116.687,37
344,344,16.25,118.080,36
345,345,16.046,119.581,36
346,346,16.042,119.611,36
347,347,16.179,118.598,36
348,348,16.182,118.576,36
349,349,16.149,118.819,36
350,350,16.082,119.314,36
351,351,16.262,117.993,36
352,352,16.302,117.703,36
353,353,16.218,118.313,36
354,354,16.149,118.819,35
355,355,16.193,118.496,35
356,356,16.271,117.928,35
357,357,16.098,119.195,35
358,358,16.13,118.958,34
359,359,16.071,119.395,34
360,360,16.013,119.828,34
361,361,15.998,119.940,34
362,362,16.267,117.957,34
363,363,15.973,120.128,34
364,364,16.071,119.395,34
365,365,16.044,119.596,34
366,366,15.989,120.008,34
367,367,16.077,119.351,34
368,368,16.38,117.143,34
369,369,16.114,119.077,34
370,370,15.923,120.505,34
371,371,15.951,120.293,34
372,372,15.913,120.581,34
373,373,15.918,120.543,34
374,374,15.912,120.588,34
375,375,15.987,120.023,34
376,376,16.178,118.606,34
377,377,16.236,118.182,34
378,378,16.367,117.236,34
379,379,16.158,118.752,34
380,380,16.029,119.708,34
381,381,16.507,116.242,34
382,382,16.157,118.760,34
383,383,16.05,119.551,34
384,384,16.045,119.589,34
385,385,16.0,119.925,34
386,386,16.05,119.551,34
387,387,15.942,120.361,34
388,388,16.043,119.604,34
389,389,16.194,118.488,34
390,390,16.006,119.880,34
391,391,16.006,119.880,34
392,392,16.02,119.775,34
393,393,15.981,120.068,34
394,394,16.009,119.858,34
395,395,16.017,119.798,34
396,396,15.995,119.962,34
397,397,15.915,120.566,34
398,398,15.929,120.460,34
399,399,15.918,120.543,34
400,400,16.151,118.804,34
401,401,16.163,118.716,34
402,402,16.065,119.440,34
403,403,16.235,118.189,34
404,404,16.212,118.357,34
405,405,16.063,119.455,34
406,406,16.137,118.907,34
407,407,16.096,119.210,34
408,408,16.182,118.576,34
409,409,16.532,116.066,33
410,410,16.616,115.479,33
411,411,16.322,117.559,33
412,412,16.278,117.877,33
413,413,16.52,116.150,33
414,414,16.299,117.725,33
415,415,16.18,118.591,33
416,416,16.197,118.466,33
417,417,16.233,118.204,33
418,418,16.305,117.682,33
419,419,16.239,118.160,33
420,420,16.371,117.207,33
421,421,16.429,116.793,34
422,422,16.588,115.674,34
423,423,16.283,117.841,34
424,424,16.544,115.982,35
425,425,16.436,116.744,35
426,426,16.472,116.489,35
427,427,16.512,116.206,35
428,428,16.401,116.993,35
429,429,16.513,116.199,35
430,430,16.506,116.249,35
431,431,16.126,118.988,35
432,432,16.429,116.793,35
433,433,16.571,115.793,35
434,434,16.61,115.521,35
435,435,16.347,117.379,34
436,436,16.187,118.540,34
437,437,16.172,118.650,34
438,438,16.061,119.470,34
439,439,16.111,119.099,34
440,440,16.358,117.300,34
441,441,16.125,118.995,34
442,442,16.139,118.892,34
443,443,16.259,118.015,34
444,444,16.583,115.709,34
445,445,16.803,114.194,34
446,446,16.639,115.319,34
447,447,16.661,115.167,34
448,448,16.291,117.783,34
449,449,16.325,117.538,34
450,450,16.235,118.189,34
451,451,16.2,118.444,34
452,452,16.462,116.559,35
453,453,16.442,116.701,35
454,454,16.397,117.021,35
455,455,16.079,119.336,35
456,456,16.39,117.071,35
457,457,16.415,116.893,35
458,458,16.266,117.964,35
459,459,16.075,119.365,35
460,460,16.506,116.249,35
461,461,16.13,118.958,35
462,462,16.012,119.835,35
463,463,16.076,119.358,35
464,464,16.054,119.522,35
465,465,16.009,119.858,35
466,466,16.024,119.745,35
467,467,16.053,119.529,35
468,468,15.956,120.256,35
469,469,15.961,120.218,35
470,470,15.991,119.992,35
471,471,16.032,119.686,35
472,472,16.033,119.678,35
473,473,16.016,119.805,35
474,474,16.06,119.477,35
475,475,16.323,117.552,35
476,476,16.681,115.029,35
477,477,16.533,116.059,35
