,Lap,LapTime,LapSpeed,RunningPos
0,0,,,27
1,1,17.042,112.592,29
2,2,16.154,118.782,29
3,3,15.994,119.970,29
4,4,15.845,121.098,28
5,5,16.008,119.865,27
6,6,16.122,119.017,26
7,7,16.172,118.650,26
8,8,16.19,118.518,25
9,9,15.952,120.286,25
10,10,16.06,119.477,24
11,11,16.218,118.313,24
12,12,16.148,118.826,23
13,13,16.106,119.136,22
14,14,16.341,117.422,22
15,15,16.373,117.193,22
16,16,16.295,117.754,22
17,17,16.298,117.732,22
18,18,16.273,117.913,22
19,19,16.397,117.021,21
20,20,16.358,117.300,19
21,21,16.435,116.751,19
22,22,16.399,117.007,19
23,23,16.437,116.737,19
24,24,16.72,114.761,19
25,25,16.303,117.696,19
26,26,16.393,117.050,18
27,27,16.373,117.193,18
28,28,16.487,116.383,18
29,29,16.583,115.709,18
30,30,16.526,116.108,18
31,31,16.438,116.730,17
32,32,16.406,116.957,17
33,33,16.299,117.725,17
34,34,16.368,117.229,17
35,35,16.311,117.638,17
36,36,16.315,117.610,17
37,37,16.406,116.957,17
38,38,16.243,118.131,17
39,39,16.238,118.167,17
40,40,16.397,117.021,17
41,41,16.444,116.687,17
42,42,16.523,116.129,18
43,43,16.197,118.466,18
44,44,16.122,119.017,18
45,45,16.217,118.320,17
46,46,16.152,118.796,17
47,47,16.329,117.509,17
48,48,16.371,117.207,17
49,49,16.324,117.545,17
50,50,16.351,117.351,17
51,51,16.28,117.862,17
52,52,16.294,117.761,17
53,53,16.228,118.240,16
54,54,16.021,119.768,16
55,55,15.968,120.165,16
56,56,15.964,120.195,16
57,57,15.996,119.955,16
58,58,15.983,120.053,16
59,59,15.999,119.932,16
60,60,15.939,120.384,16
61,61,15.957,120.248,16
62,62,15.995,119.962,16
63,63,15.893,120.732,16
64,64,15.89,120.755,16
65,65,15.919,120.535,16
66,66,15.995,119.962,16
67,67,15.925,120.490,16
68,68,15.921,120.520,16
69,69,15.876,120.862,16
70,70,15.836,121.167,16
71,71,15.97,120.150,16
72,72,15.94,120.376,16
73,73,15.903,120.656,16
74,74,15.859,120.991,16
75,75,15.895,120.717,16
76,76,16.014,119.820,16
77,77,16.061,119.470,16
78,78,16.224,118.269,16
79,79,16.03,119.701,16
80,80,15.949,120.308,16
81,81,15.978,120.090,16
82,82,15.897,120.702,16
83,83,16.002,119.910,16
84,84,15.926,120.482,16
85,85,15.941,120.369,16
86,86,15.927,120.475,16
87,87,15.932,120.437,16
88,88,15.993,119.977,16
89,89,15.937,120.399,16
90,90,15.928,120.467,16
91,91,15.953,120.278,16
92,92,15.986,120.030,16
93,93,15.941,120.369,16
94,94,15.977,120.098,16
95,95,15.989,120.008,16
96,96,16.013,119.828,16
97,97,16.095,119.217,16
98,98,16.044,119.596,16
99,99,16.007,119.873,16
100,100,16.013,119.828,16
101,101,15.99,120.000,16
102,102,16.062,119.462,16
103,103,16.002,119.910,16
104,104,16.096,119.210,16
105,105,16.282,117.848,16
106,106,16.027,119.723,16
107,107,15.868,120.923,16
108,108,15.897,120.702,16
109,109,15.896,120.710,16
110,110,15.941,120.369,16
111,111,15.863,120.961,16
112,112,15.91,120.603,16
113,113,15.908,120.619,16
114,114,15.995,119.962,16
115,115,15.948,120.316,16
116,116,15.894,120.725,16
117,117,15.983,120.053,16
118,118,15.976,120.105,16
119,119,16.118,119.047,16
120,120,15.929,120.460,15
121,121,15.858,120.999,15
122,122,15.932,120.437,15
123,123,15.945,120.339,15
124,124,16.023,119.753,15
125,125,16.196,118.474,15
126,126,30.292,63.343,15
127,127,39.856,48.143,15
128,128,52.093,36.834,15
129,129,51.315,37.393,15
130,130,58.709,32.683,15
131,131,49.244,38.965,15
132,132,54.644,35.115,15
133,133,44.813,42.818,15
134,134,58.307,32.909,17
135,135,51.73,37.093,17
136,136,48.153,39.848,16
137,137,53.999,35.534,16
138,138,54.666,35.100,16
139,139,54.167,35.424,16
140,140,54.358,35.299,16
141,141,55.506,34.569,16
142,142,48.595,39.486,16
143,143,16.392,117.057,16
