,Lap,LapTime,LapSpeed,RunningPos
0,0,,,34
1,1,52.995,180.696,35
2,2,51.535,185.815,36
3,3,51.045,187.599,36
4,4,51.067,187.518,33
5,5,51.192,187.060,36
6,6,50.817,188.441,34
7,7,50.766,188.630,35
8,8,50.435,189.868,33
9,9,50.84,188.356,36
10,10,50.754,188.675,33
11,11,51.066,187.522,35
12,12,51.123,187.313,33
13,13,50.776,188.593,29
14,14,50.616,189.189,28
15,15,50.883,188.196,30
16,16,51.063,187.533,33
17,17,50.785,188.560,31
18,18,50.761,188.649,34
19,19,50.703,188.865,32
20,20,50.612,189.204,29
21,21,51.003,187.754,31
22,22,50.614,189.197,31
23,23,50.398,190.008,28
24,24,50.727,188.775,38
25,25,49.911,191.862,35
26,26,49.861,192.054,24
27,27,50.018,191.451,17
28,28,49.897,191.915,11
29,29,50.457,189.785,25
30,30,50.173,190.860,35
31,31,49.572,193.174,35
32,32,49.79,192.328,35
33,33,49.851,192.092,37
34,34,49.332,194.113,35
35,35,49.451,193.646,31
36,36,49.586,193.119,28
37,37,49.752,192.475,29
38,38,49.898,191.911,30
39,39,50.059,191.294,31
40,40,49.637,192.921,32
41,41,49.674,192.777,18
42,42,49.241,194.472,19
43,43,51.488,185.985,13
44,44,90.907,105.338,13
45,45,131.504,72.819,13
46,46,138.425,69.178,13
47,47,138.61,69.086,13
48,48,137.793,69.496,13
49,49,160.358,59.716,31
50,50,133.75,71.596,27
51,51,114.088,83.935,29
52,52,77.233,123.988,26
53,53,135.008,70.929,24
54,54,140.286,68.261,24
55,55,143.304,66.823,23
56,56,118.067,81.106,23
57,57,52.898,181.028,23
58,58,49.391,193.881,17
59,59,49.87,192.019,25
60,60,49.929,191.792,24
61,61,93.091,102.867,24
62,62,135.336,70.757,25
63,63,143.335,66.809,17
64,64,132.001,72.545,13
65,65,138.714,69.034,12
66,66,123.601,77.475,13
67,67,53.354,179.480,11
68,68,50.604,189.234,14
69,69,50.724,188.786,13
70,70,51.118,187.331,14
71,71,51.094,187.419,14
72,72,51.028,187.662,13
73,73,51.026,187.669,14
74,74,50.969,187.879,14
75,75,50.863,188.270,11
76,76,50.808,188.474,11
77,77,51.042,187.610,17
78,78,50.637,189.111,13
79,79,50.944,187.971,13
80,80,50.629,189.141,13
81,81,51.33,186.558,23
82,82,51.137,187.262,26
83,83,51.037,187.629,27
84,84,50.969,187.879,26
85,85,51.172,187.134,27
86,86,51.081,187.467,26
87,87,51.041,187.614,27
88,88,50.071,191.248,22
89,89,50.115,191.081,18
90,90,50.394,190.023,18
91,91,50.607,189.223,18
92,92,50.689,188.917,18
93,93,50.725,188.783,19
94,94,50.792,188.534,23
95,95,50.774,188.600,21
96,96,50.633,189.126,16
97,97,50.79,188.541,14
98,98,50.83,188.393,19
99,99,50.941,187.982,20
100,100,51.125,187.306,26
101,101,50.661,189.021,27
102,102,50.262,190.522,27
103,103,50.764,188.638,28
104,104,50.585,189.305,28
105,105,50.161,190.905,27
106,106,49.886,191.958,26
107,107,50.052,191.321,26
108,108,50.587,189.298,26
109,109,50.183,190.822,18
110,110,49.487,193.505,15
111,111,50.156,190.924,9
112,112,77.423,123.684,13
113,113,56.233,170.291,20
114,114,49.421,193.764,19
115,115,49.32,194.161,17
116,116,48.99,195.468,15
117,117,49.145,194.852,15
118,118,49.299,194.243,15
119,119,49.141,194.868,16
120,120,48.775,196.330,16
121,121,89.614,106.858,16
122,122,130.532,73.361,16
123,123,162.103,59.074,28
124,124,125.493,76.307,27
125,125,143.192,66.875,27
126,126,114.857,83.373,27
127,127,52.268,183.210,26
128,128,50.487,189.673,20
129,129,50.287,190.427,19
130,130,50.568,189.369,17
131,131,50.464,189.759,18
132,132,50.402,189.992,17
133,133,50.343,190.215,21
134,134,49.968,191.643,20
135,135,49.596,193.080,13
136,136,49.761,192.440,14
137,137,49.592,193.096,15
138,138,49.793,192.316,16
139,139,49.865,192.039,15
140,140,49.966,191.650,16
141,141,50.153,190.936,16
142,142,49.796,192.305,16
143,143,50.204,190.742,14
144,144,50.223,190.670,11
145,145,50.035,191.386,10
146,146,49.798,192.297,10
147,147,49.746,192.498,10
148,148,50.153,190.936,12
149,149,50.114,191.084,12
150,150,49.952,191.704,16
151,151,49.335,194.102,15
152,152,49.437,193.701,15
153,153,49.517,193.388,15
154,154,49.658,192.839,18
155,155,49.642,192.901,17
156,156,49.789,192.332,18
157,157,49.939,191.754,19
158,158,49.973,191.623,20
159,159,50.145,190.966,21
160,160,49.951,191.708,20
161,161,49.728,192.568,20
162,162,50.123,191.050,22
163,163,50.305,190.359,22
164,164,78.566,121.885,23
165,165,56.694,168.907,24
166,166,50.085,191.195,24
167,167,49.662,192.823,24
168,168,49.798,192.297,24
169,169,49.895,191.923,24
170,170,49.462,193.603,24
171,171,49.515,193.396,24
172,172,50.327,190.276,28
173,173,49.15,194.832,19
174,174,49.098,195.038,18
175,175,49.435,193.709,18
176,176,49.287,194.291,17
177,177,49.671,192.789,18
178,178,49.501,193.451,18
179,179,49.679,192.758,19
180,180,49.253,194.425,20
181,181,49.394,193.870,21
182,182,49.668,192.800,19
183,183,49.563,193.209,20
184,184,49.47,193.572,21
185,185,49.326,194.137,21
186,186,49.185,194.694,22
187,187,49.119,194.955,23
188,188,48.7,196.632,20
