,Lap,LapTime,LapSpeed,RunningPos
0,0,,,2
1,1,54.772,174.834,3
2,2,51.354,186.470,4
3,3,51.337,186.532,4
4,4,51.337,186.532,11
5,5,50.912,188.089,4
6,6,50.985,187.820,12
7,7,50.71,188.838,11
8,8,50.545,189.455,9
9,9,50.696,188.891,7
10,10,50.827,188.404,8
11,11,51.072,187.500,8
12,12,51.146,187.229,10
13,13,50.992,187.794,11
14,14,50.628,189.144,11
15,15,50.697,188.887,8
16,16,51.017,187.702,9
17,17,50.801,188.500,9
18,18,50.658,189.032,7
19,19,50.793,188.530,8
20,20,50.816,188.445,11
21,21,50.714,188.824,4
22,22,50.591,189.283,2
23,23,50.321,190.298,1
24,24,50.223,190.670,1
25,25,50.172,190.863,1
26,26,50.414,189.947,6
27,27,50.597,189.260,18
28,28,50.347,190.200,27
29,29,49.65,192.870,20
30,30,49.476,193.548,19
31,31,49.582,193.135,18
32,32,49.833,192.162,18
33,33,49.714,192.622,18
34,34,49.406,193.823,18
35,35,49.946,191.727,18
36,36,49.919,191.831,21
37,37,49.637,192.921,21
38,38,49.652,192.862,20
39,39,49.905,191.885,19
40,40,49.672,192.785,21
41,41,49.649,192.874,12
42,42,49.556,193.236,11
43,43,77.312,123.862,17
44,44,310.474,30.843,37
45,45,60.897,157.249,37
46,46,215.566,44.423,37
47,47,60.408,158.522,37
48,48,110.521,86.644,37
49,49,151.923,63.032,37
50,50,111.336,86.010,37
51,51,81.221,117.901,37
52,52,112.835,84.867,35
53,53,67.353,142.176,35
54,54,99.382,96.355,35
55,55,140.324,68.242,31
56,56,112.192,85.354,28
57,57,52.655,181.863,30
58,58,51.086,187.449,35
59,59,51.149,187.218,35
60,60,51.267,186.787,33
61,61,92.989,102.980,33
62,62,135.002,70.932,33
63,63,123.533,77.518,3
64,64,266.553,35.925,35
65,65,59.093,162.050,35
66,66,86.356,110.890,35
67,67,52.03,184.048,29
68,68,50.553,189.425,30
69,69,50.522,189.541,26
70,70,50.89,188.171,22
71,71,51.097,187.408,22
72,72,51.031,187.651,20
73,73,51.015,187.709,20
74,74,51.016,187.706,22
75,75,50.923,188.049,23
76,76,50.809,188.471,25
77,77,51.008,187.735,26
78,78,50.683,188.939,25
79,79,50.848,188.326,22
80,80,50.581,189.320,21
81,81,51.174,187.126,24
82,82,50.895,188.152,22
83,83,50.857,188.293,17
84,84,50.835,188.374,16
85,85,51.184,187.090,16
86,86,51.448,186.130,25
87,87,50.503,189.612,18
88,88,50.555,189.417,19
89,89,50.217,190.692,14
90,90,50.398,190.008,16
91,91,50.62,189.174,15
92,92,50.66,189.025,14
93,93,50.712,188.831,16
94,94,50.715,188.820,17
95,95,50.86,188.282,16
96,96,50.637,189.111,12
97,97,50.796,188.519,10
98,98,50.772,188.608,15
99,99,85.693,111.748,34
100,100,58.617,163.366,34
101,101,52.967,180.792,34
102,102,52.843,181.216,34
103,103,52.709,181.677,34
104,104,51.658,185.373,34
105,105,49.92,191.827,34
106,106,50.059,191.294,33
107,107,50.505,189.605,34
108,108,50.497,189.635,34
109,109,49.545,193.279,33
110,110,50.155,190.928,33
111,111,50.632,189.129,33
112,112,50.681,188.947,32
113,113,51.206,187.009,32
114,114,50.915,188.078,31
115,115,51.151,187.210,30
116,116,51.368,186.420,29
117,117,51.444,186.144,25
118,118,51.47,186.050,25
119,119,51.576,185.668,25
120,120,52.034,184.034,25
121,121,63.062,151.851,25
122,122,214.078,44.731,31
123,123,167.635,57.124,32
124,124,62.274,153.772,32
125,125,157.835,60.671,32
126,126,67.353,142.176,32
127,127,51.504,185.927,32
128,128,50.002,191.512,23
129,129,50.285,190.435,20
130,130,50.577,189.335,20
131,131,50.482,189.691,19
132,132,50.381,190.072,19
133,133,50.259,190.533,20
134,134,49.88,191.981,17
135,135,49.583,193.131,11
136,136,49.747,192.494,12
137,137,49.603,193.053,13
138,138,49.793,192.316,14
139,139,49.877,191.992,14
140,140,49.959,191.677,14
141,141,50.135,191.004,14
142,142,49.818,192.220,14
143,143,50.202,190.749,12
144,144,50.232,190.635,9
145,145,50.029,191.409,9
146,146,49.806,192.266,9
147,147,49.742,192.513,9
148,148,50.155,190.928,10
149,149,50.091,191.172,10
150,150,49.931,191.785,13
151,151,49.376,193.940,13
152,152,49.452,193.642,14
153,153,49.51,193.415,14
154,154,49.633,192.936,15
155,155,49.656,192.847,15
156,156,49.787,192.339,16
157,157,49.942,191.742,17
158,158,49.969,191.639,18
159,159,50.142,190.978,19
160,160,49.942,191.742,18
161,161,49.745,192.502,18
162,162,50.136,191.000,20
163,163,50.264,190.514,19
164,164,50.353,190.177,10
165,165,49.874,192.004,7
166,166,49.544,193.283,7
167,167,49.573,193.170,4
168,168,49.678,192.761,4
169,169,50.123,191.050,5
170,170,50.064,191.275,5
171,171,49.835,192.154,2
172,172,76.747,124.774,7
173,173,74.942,127.779,29
174,174,57.168,167.506,31
175,175,51.257,186.823,30
176,176,51.284,186.725,30
177,177,51.218,186.966,30
178,178,51.254,186.834,30
179,179,51.132,187.280,30
180,180,51.013,187.717,30
181,181,50.955,187.931,30
182,182,51.03,187.654,30
183,183,51.088,187.441,30
184,184,51.068,187.515,30
185,185,51.049,187.584,30
186,186,51.056,187.559,30
187,187,50.931,188.019,30
188,188,51.061,187.540,29
