,Lap,LapTime,LapSpeed,RunningPos
0,0,,,25
1,1,53.478,179.064,24
2,2,51.261,186.809,22
3,3,51.4,186.304,30
4,4,51.32,186.594,34
5,5,50.977,187.849,31
6,6,50.826,188.408,31
7,7,50.756,188.667,31
8,8,50.605,189.230,32
9,9,50.693,188.902,32
10,10,50.955,187.931,34
11,11,51.031,187.651,33
12,12,51.199,187.035,35
13,13,50.955,187.931,35
14,14,50.569,189.365,34
15,15,50.707,188.850,31
16,16,51.027,187.665,32
17,17,50.82,188.430,33
18,18,50.739,188.731,31
19,19,50.765,188.634,33
20,20,50.753,188.679,32
21,21,50.979,187.842,35
22,22,50.578,189.331,36
23,23,50.711,188.835,37
24,24,50.133,191.012,35
25,25,49.892,191.935,29
26,26,49.834,192.158,17
27,27,50.115,191.081,13
28,28,50.176,190.848,17
29,29,49.55,193.259,15
30,30,49.589,193.107,14
31,31,49.656,192.847,14
32,32,49.804,192.274,12
33,33,49.692,192.707,13
34,34,49.428,193.736,13
35,35,49.936,191.765,13
36,36,49.691,192.711,11
37,37,49.572,193.174,11
38,38,49.702,192.668,12
39,39,49.979,191.600,13
40,40,49.652,192.862,13
41,41,49.813,192.239,6
42,42,49.57,193.181,6
43,43,49.671,192.789,4
44,44,81.886,116.943,4
45,45,134.702,71.090,4
46,46,138.948,68.918,4
47,47,139.089,68.848,4
48,48,139.931,68.434,4
49,49,154.676,61.910,20
50,50,135.769,70.532,19
51,51,122.001,78.491,18
52,52,74.818,127.991,18
53,53,134.264,71.322,17
54,54,137.783,69.501,17
55,55,143.671,66.652,17
56,56,123.961,77.250,18
57,57,52.93,180.918,15
58,58,49.505,193.435,11
59,59,49.342,194.074,2
60,60,49.868,192.027,1
61,61,83.476,114.716,1
62,62,131.995,72.548,1
63,63,150.93,63.447,6
64,64,145.249,65.928,25
65,65,152.743,62.694,33
66,66,103.978,92.096,33
67,67,52.404,182.734,27
68,68,50.371,190.109,23
69,69,50.647,189.073,21
70,70,51.148,187.221,23
71,71,51.112,187.353,24
72,72,51.01,187.728,22
73,73,51.091,187.430,24
74,74,50.943,187.975,25
75,75,50.907,188.108,25
76,76,50.718,188.809,24
77,77,51.006,187.743,25
78,78,50.669,188.991,24
79,79,50.78,188.578,19
80,80,50.663,189.014,20
81,81,50.772,188.608,14
82,82,51.145,187.232,15
83,83,50.952,187.942,15
84,84,50.901,188.130,15
85,85,51.222,186.951,17
86,86,51.257,186.823,21
87,87,50.554,189.421,15
88,88,50.455,189.793,12
89,89,50.728,188.771,22
90,90,50.365,190.132,21
91,91,50.541,189.470,21
92,92,50.698,188.883,19
93,93,50.687,188.924,20
94,94,50.661,189.021,20
95,95,50.907,188.108,23
96,96,50.788,188.548,23
97,97,50.768,188.623,21
98,98,50.646,189.077,20
99,99,50.736,188.742,17
100,100,50.77,188.615,14
101,101,50.483,189.688,9
102,102,50.498,189.631,14
103,103,50.548,189.444,9
104,104,50.108,191.107,6
105,105,50.33,190.264,7
106,106,50.003,191.509,9
107,107,50.189,190.799,10
108,108,50.578,189.331,11
109,109,75.414,126.979,25
110,110,57.513,166.501,25
111,111,50.606,189.227,24
112,112,49.536,193.314,22
113,113,50.811,188.463,12
114,114,49.255,194.417,11
115,115,49.466,193.588,9
116,116,49.084,195.094,9
117,117,49.062,195.182,8
118,118,49.317,194.172,8
119,119,49.113,194.979,8
120,120,48.638,196.883,3
121,121,82.247,116.430,3
122,122,130.482,73.389,3
123,123,157.517,60.793,8
124,124,122.35,78.267,6
125,125,139.456,68.667,5
126,126,131.672,72.726,5
127,127,54.12,176.940,6
128,128,50.747,188.701,7
129,129,50.443,189.838,9
130,130,50.504,189.609,7
131,131,50.471,189.733,6
132,132,50.446,189.827,8
133,133,50.321,190.298,8
134,134,50.024,191.428,10
135,135,49.84,192.135,12
136,136,49.649,192.874,11
137,137,49.502,193.447,10
138,138,49.629,192.952,9
139,139,49.971,191.631,9
140,140,49.901,191.900,9
141,141,50.176,190.848,9
142,142,49.808,192.258,9
143,143,50.434,189.872,11
144,144,50.416,189.940,13
145,145,50.118,191.069,14
146,146,49.937,191.762,15
147,147,49.65,192.870,15
148,148,50.063,191.279,14
149,149,50.004,191.505,13
150,150,49.696,192.692,11
151,151,49.396,193.862,11
152,152,49.344,194.066,9
153,153,49.538,193.306,10
154,154,49.391,193.881,8
155,155,49.794,192.312,9
156,156,49.768,192.413,10
157,157,49.955,191.693,11
158,158,49.943,191.739,12
159,159,50.1,191.138,13
160,160,49.945,191.731,12
161,161,49.709,192.641,10
162,162,49.96,191.673,9
163,163,50.292,190.408,8
164,164,50.729,188.768,6
165,165,50.03,191.405,8
166,166,49.632,192.940,8
167,167,49.775,192.386,10
168,168,49.665,192.812,11
169,169,50.156,190.924,11
170,170,49.971,191.631,9
171,171,50.1,191.138,6
172,172,75.55,126.750,3
173,173,56.578,169.253,3
174,174,50.093,191.164,3
175,175,49.406,193.823,3
176,176,49.339,194.086,3
177,177,49.691,192.711,4
178,178,49.441,193.685,3
179,179,49.566,193.197,4
180,180,49.306,194.216,4
181,181,49.319,194.165,4
182,182,49.643,192.897,3
183,183,49.547,193.271,3
184,184,49.314,194.184,4
185,185,49.191,194.670,4
186,186,49.328,194.129,4
187,187,49.031,195.305,4
188,188,48.55,197.240,3
