,Lap,LapTime,LapSpeed,RunningPos
0,0,,,32
1,1,53.046,180.523,32
2,2,51.442,186.151,32
3,3,50.978,187.846,29
4,4,51.142,187.243,28
5,5,51.047,187.592,28
6,6,50.814,188.452,26
7,7,50.766,188.630,27
8,8,50.596,189.264,29
9,9,50.683,188.939,28
10,10,50.959,187.916,31
11,11,51.15,187.214,32
12,12,51.166,187.156,34
13,13,50.977,187.849,34
14,14,50.554,189.421,32
15,15,50.799,188.508,32
16,16,50.9,188.134,30
17,17,50.887,188.182,32
18,18,50.742,188.719,32
19,19,50.789,188.545,34
20,20,50.771,188.612,35
21,21,50.736,188.742,30
22,22,50.577,189.335,30
23,23,50.51,189.586,31
24,24,50.458,189.782,33
25,25,50.126,191.039,33
26,26,49.816,192.227,23
27,27,50.16,190.909,19
28,28,50.014,191.466,20
29,29,50.114,191.084,22
30,30,49.638,192.917,24
31,31,49.605,193.045,24
32,32,49.908,191.873,25
33,33,49.618,192.994,24
34,34,49.536,193.314,25
35,35,49.822,192.204,25
36,36,49.526,193.353,20
37,37,49.638,192.917,20
38,38,49.755,192.463,21
39,39,49.943,191.739,21
40,40,49.535,193.318,20
41,41,49.774,192.390,14
42,42,49.559,193.224,14
43,43,49.672,192.785,8
44,44,86.533,110.663,8
45,45,133.472,71.745,8
46,46,139.427,68.681,8
47,47,138.676,69.053,8
48,48,138.069,69.357,8
49,49,157.136,60.941,24
50,50,136.696,70.053,23
51,51,117.146,81.744,23
52,52,74.638,128.299,20
53,53,135.893,70.467,20
54,54,138.642,69.070,20
55,55,144.369,66.330,20
56,56,120.589,79.410,20
57,57,52.88,181.089,18
58,58,49.625,192.967,18
59,59,49.584,193.127,19
60,60,49.979,191.600,19
61,61,90.88,105.370,20
62,62,134.471,71.212,19
63,63,145.154,65.971,11
64,64,128.06,74.777,7
65,65,138.14,69.321,6
66,66,129.081,74.186,8
67,67,53.704,178.311,7
68,68,50.417,189.936,3
69,69,50.743,188.716,2
70,70,51.061,187.540,2
71,71,51.182,187.097,5
72,72,51.095,187.416,6
73,73,50.956,187.927,5
74,74,50.755,188.671,1
75,75,51.043,187.607,2
76,76,50.926,188.038,2
77,77,50.736,188.742,1
78,78,50.801,188.500,1
79,79,50.876,188.222,1
80,80,50.66,189.025,1
81,81,50.991,187.798,3
82,82,50.952,187.942,1
83,83,50.992,187.794,1
84,84,50.994,187.787,2
85,85,51.071,187.504,3
86,86,51.107,187.372,1
87,87,50.877,188.219,5
88,88,50.531,189.507,5
89,89,50.502,189.616,7
90,90,50.225,190.662,4
91,91,50.647,189.073,5
92,92,50.772,188.608,6
93,93,50.534,189.496,2
94,94,50.63,189.137,1
95,95,50.768,188.623,1
96,96,50.971,187.872,4
97,97,50.774,188.600,4
98,98,50.613,189.200,3
99,99,50.774,188.600,2
100,100,50.944,187.971,1
101,101,50.832,188.385,8
102,102,50.361,190.147,7
103,103,50.763,188.641,10
104,104,50.361,190.147,11
105,105,50.297,190.389,12
106,106,50.072,191.245,15
107,107,50.146,190.962,16
108,108,50.55,189.436,16
109,109,77.241,123.976,29
110,110,57.388,166.864,29
111,111,51.789,184.904,28
112,112,51.429,186.198,28
113,113,51.651,185.398,26
114,114,50.391,190.034,25
115,115,50.534,189.496,25
116,116,50.121,191.058,25
117,117,50.352,190.181,21
118,118,50.076,191.229,21
119,119,50.289,190.419,21
120,120,51.862,184.644,21
121,121,80.413,119.085,21
122,122,129.293,74.064,20
123,123,154.178,62.110,23
124,124,125.098,76.548,22
125,125,143.486,66.738,24
126,126,117.779,81.305,24
127,127,52.69,181.742,24
128,128,50.503,189.612,19
129,129,50.367,190.124,18
130,130,50.731,188.760,21
131,131,50.408,189.970,20
132,132,50.516,189.564,22
133,133,50.256,190.544,22
134,134,50.159,190.913,24
135,135,49.832,192.166,21
136,136,49.725,192.579,23
137,137,50.584,189.309,29
138,138,49.31,194.200,28
139,139,49.738,192.529,30
140,140,50.203,190.746,31
141,141,50.143,190.974,31
142,142,50.173,190.860,31
143,143,49.669,192.796,29
144,144,50.307,190.351,27
145,145,49.937,191.762,28
146,146,50.169,190.875,28
147,147,50.039,191.371,29
148,148,49.708,192.645,28
149,149,50.017,191.455,29
150,150,50.388,190.045,31
151,151,49.725,192.579,31
152,152,48.624,196.940,31
153,153,49.642,192.901,31
154,154,49.872,192.012,31
155,155,49.35,194.043,31
156,156,49.956,191.689,31
157,157,50.205,190.738,31
158,158,49.873,192.008,31
159,159,49.047,195.241,28
160,160,50.483,189.688,29
161,161,49.992,191.551,30
162,162,49.657,192.843,30
163,163,49.853,192.085,28
164,164,50.28,190.453,19
165,165,49.939,191.754,15
166,166,49.604,193.049,15
167,167,49.682,192.746,15
168,168,49.611,193.022,14
169,169,50.147,190.959,14
170,170,50.112,191.092,15
171,171,77.2,124.041,18
172,172,57.062,167.817,24
173,173,49.318,194.168,22
174,174,48.955,195.608,16
175,175,49.41,193.807,15
176,176,49.379,193.929,16
177,177,49.593,193.092,15
178,178,49.448,193.658,15
179,179,49.584,193.127,15
180,180,49.283,194.306,15
181,181,49.418,193.776,17
182,182,49.668,192.800,17
183,183,49.532,193.330,17
184,184,49.296,194.255,16
185,185,49.256,194.413,17
186,186,49.294,194.263,18
187,187,48.945,195.648,17
188,188,50.046,191.344,22
