,Lap,LapTime,LapSpeed,RunningPos
0,0,,,36
1,1,31.265,172.717,36
2,2,30.573,176.626,36
3,3,30.28,178.336,35
4,4,30.602,176.459,34
5,5,30.673,176.051,35
6,6,30.312,178.147,35
7,7,30.405,177.602,34
8,8,30.231,178.625,34
9,9,30.178,178.938,34
10,10,30.554,176.736,35
11,11,30.224,178.666,35
12,12,30.302,178.206,35
13,13,30.188,178.879,35
14,14,30.276,178.359,35
15,15,30.141,179.158,35
16,16,30.121,179.277,35
17,17,30.304,178.194,35
18,18,30.192,178.855,35
19,19,30.198,178.820,35
20,20,41.188,131.106,34
21,21,53.707,100.546,34
22,22,63.519,85.014,20
23,23,108.302,49.861,36
24,24,101.006,53.462,35
25,25,61.599,87.664,32
26,26,31.907,169.242,35
27,27,30.551,176.754,37
28,28,30.679,176.016,37
29,29,30.622,176.344,37
30,30,30.119,179.289,36
31,31,31.306,172.491,37
32,32,30.103,179.384,36
33,33,29.981,180.114,36
34,34,30.016,179.904,36
35,35,30.267,178.412,36
36,36,30.21,178.749,36
37,37,30.245,178.542,36
38,38,30.252,178.501,36
39,39,30.189,178.873,36
40,40,30.278,178.347,36
41,41,30.327,178.059,36
42,42,30.292,178.265,36
43,43,30.344,177.959,36
44,44,30.284,178.312,36
45,45,30.187,178.885,36
46,46,30.163,179.027,36
47,47,30.168,178.998,36
48,48,30.221,178.684,36
49,49,30.229,178.636,36
50,50,30.263,178.436,36
51,51,30.662,176.114,36
52,52,30.396,177.655,36
53,53,30.175,178.956,36
54,54,30.145,179.134,36
55,55,30.18,178.926,36
56,56,30.144,179.140,36
57,57,30.279,178.341,36
58,58,30.332,178.030,36
59,59,30.534,176.852,36
60,60,30.474,177.200,36
61,61,30.526,176.898,36
62,62,30.525,176.904,36
63,63,30.3,178.218,36
64,64,30.408,177.585,36
65,65,30.276,178.359,36
66,66,30.521,176.927,36
67,67,30.503,177.032,36
68,68,30.38,177.749,36
69,69,30.227,178.648,36
70,70,30.322,178.089,36
71,71,30.304,178.194,36
72,72,30.289,178.283,36
73,73,30.563,176.684,36
74,74,37.704,143.221,35
75,75,53.208,101.488,35
76,76,55.4,97.473,35
77,77,94.963,56.864,35
78,78,97.413,55.434,35
79,79,95.754,56.395,35
80,80,95.744,56.400,35
81,81,93.929,57.490,35
82,82,93.23,57.921,35
83,83,78.121,69.124,7
