,Lap,LapTime,LapSpeed,RunningPos
0,0,,,15
1,1,31.506,171.396,15
2,2,29.983,180.102,15
3,3,30.025,179.850,15
4,4,30.114,179.319,16
5,5,29.596,182.457,16
6,6,29.952,180.288,16
7,7,29.631,182.242,16
8,8,29.561,182.673,16
9,9,29.923,180.463,16
10,10,29.89,180.662,16
11,11,29.812,181.135,16
12,12,29.979,180.126,16
13,13,29.795,181.238,16
14,14,30.163,179.027,16
15,15,30.138,179.176,16
16,16,30.118,179.295,16
17,17,30.01,179.940,16
18,18,30.072,179.569,16
19,19,30.022,179.868,16
20,20,33.091,163.186,16
21,21,51.588,104.676,16
22,22,75.166,71.841,9
23,23,98.286,54.942,18
24,24,99.962,54.021,18
25,25,78.569,68.729,17
26,26,31.875,169.412,17
27,27,30.435,177.427,18
28,28,29.993,180.042,17
29,29,29.886,180.687,17
30,30,29.866,180.808,17
31,31,30.07,179.581,17
32,32,30.125,179.253,18
33,33,29.878,180.735,18
34,34,29.744,181.549,18
35,35,29.944,180.337,18
36,36,29.767,181.409,18
37,37,30.086,179.485,18
38,38,29.896,180.626,18
39,39,29.958,180.252,18
40,40,30.037,179.778,18
41,41,29.79,181.269,18
42,42,30.074,179.557,18
43,43,29.914,180.517,18
44,44,30.105,179.372,18
45,45,29.995,180.030,18
46,46,29.972,180.168,18
47,47,30.384,177.725,18
48,48,29.867,180.802,18
49,49,30.125,179.253,18
50,50,30.476,177.189,19
51,51,30.006,179.964,19
52,52,30.014,179.916,19
53,53,29.898,180.614,19
54,54,29.843,180.947,19
55,55,30.224,178.666,19
56,56,30.313,178.141,20
57,57,30.39,177.690,20
58,58,30.127,179.241,20
59,59,29.807,181.165,19
60,60,29.782,181.318,19
61,61,29.787,181.287,19
62,62,29.832,181.014,19
63,63,30.736,175.690,19
64,64,30.435,177.427,19
65,65,29.96,180.240,18
66,66,29.814,181.123,18
67,67,29.76,181.452,18
68,68,29.835,180.995,18
69,69,29.928,180.433,18
70,70,29.655,182.094,18
71,71,29.758,181.464,18
72,72,29.694,181.855,18
73,73,29.655,182.094,18
74,74,30.129,179.229,18
75,75,48.329,111.734,18
76,76,71.71,75.303,18
77,77,97.692,55.276,18
78,78,96.065,56.212,18
79,79,96.306,56.071,18
80,80,94.509,57.137,18
81,81,95.077,56.796,18
82,82,95.423,56.590,18
83,83,89.769,60.154,13
84,84,103.479,52.185,21
85,85,93.136,57.980,20
86,86,103.341,52.254,22
87,87,75.549,71.477,36
88,88,37.645,143.445,35
89,89,59.697,90.457,34
90,90,88.715,60.869,33
91,91,97.101,55.612,33
92,92,98.346,54.908,25
93,93,71.605,75.414,33
94,94,30.71,175.838,33
95,95,29.996,180.024,34
96,96,29.945,180.331,33
97,97,29.79,181.269,31
98,98,30.102,179.390,31
99,99,30.224,178.666,31
100,100,30.159,179.051,31
101,101,29.807,181.165,31
102,102,30.617,176.373,31
103,103,30.049,179.706,31
104,104,30.15,179.104,31
105,105,29.585,182.525,31
106,106,29.965,180.210,30
107,107,29.818,181.099,30
108,108,29.875,180.753,30
109,109,29.919,180.487,30
110,110,30.079,179.527,30
111,111,30.077,179.539,30
112,112,29.903,180.584,30
113,113,29.983,180.102,30
114,114,29.939,180.367,30
115,115,29.791,181.263,30
116,116,29.833,181.008,30
117,117,29.95,180.301,29
118,118,29.552,182.729,29
119,119,29.754,181.488,29
120,120,29.657,182.082,29
121,121,29.736,181.598,29
122,122,30.044,179.736,29
123,123,29.854,180.880,29
124,124,29.845,180.935,29
125,125,43.329,124.628,29
126,126,53.453,101.023,28
127,127,61.435,87.898,16
128,128,106.467,50.720,31
129,129,94.339,57.240,29
130,130,98.74,54.689,29
131,131,70.248,76.871,25
132,132,32.155,167.937,29
133,133,30.453,177.322,31
134,134,29.811,181.141,29
135,135,29.801,181.202,26
136,136,29.978,180.132,26
137,137,29.758,181.464,26
138,138,29.726,181.659,26
139,139,29.778,181.342,26
140,140,30.105,179.372,27
141,141,30.108,179.354,26
142,142,29.699,181.824,26
143,143,30.006,179.964,26
144,144,29.737,181.592,26
145,145,29.694,181.855,26
146,146,29.806,181.172,26
147,147,30.028,179.832,26
148,148,29.788,181.281,25
149,149,30.119,179.289,26
150,150,29.938,180.373,26
151,151,29.744,181.549,26
152,152,29.937,180.379,26
153,153,29.903,180.584,26
154,154,29.813,181.129,26
155,155,30.162,179.033,27
156,156,29.785,181.299,27
157,157,30.144,179.140,27
158,158,29.847,180.923,27
159,159,29.795,181.238,27
160,160,29.769,181.397,27
161,161,30.515,176.962,26
162,162,48.529,111.274,26
163,163,60.747,88.893,26
164,164,94.84,56.938,26
165,165,95.737,56.405,26
166,166,94.46,57.167,26
167,167,87.098,61.999,15
168,168,100.997,53.467,24
169,169,96.831,55.767,23
170,170,103.049,52.402,25
171,171,69.734,77.437,21
172,172,37.198,145.169,16
173,173,83.549,64.633,17
174,174,97.404,55.439,16
175,175,95.651,56.455,16
176,176,95.003,56.840,16
177,177,97.982,55.112,16
178,178,80.162,67.364,16
179,179,31.396,171.996,16
180,180,29.788,181.281,15
181,181,29.756,181.476,16
182,182,29.583,182.537,16
183,183,29.721,181.690,16
184,184,29.77,181.391,16
185,185,29.881,180.717,16
186,186,29.688,181.892,16
187,187,29.699,181.824,16
188,188,29.579,182.562,16
189,189,29.574,182.593,16
190,190,29.94,180.361,16
191,191,29.823,181.068,16
192,192,30.133,179.206,17
193,193,29.626,182.272,17
194,194,29.703,181.800,17
195,195,29.741,181.568,17
196,196,29.812,181.135,16
197,197,29.63,182.248,16
198,198,29.446,183.387,16
199,199,29.534,182.840,15
200,200,29.749,181.519,15
201,201,29.8,181.208,15
202,202,30.293,178.259,16
203,203,29.847,180.923,16
204,204,29.911,180.536,16
205,205,30.262,178.442,17
206,206,30.654,176.160,18
207,207,30.165,179.015,19
208,208,30.174,178.962,20
209,209,41.583,129.861,28
210,210,57.52,93.880,29
211,211,29.348,183.999,29
212,212,29.179,185.065,29
213,213,29.145,185.280,29
214,214,29.117,185.459,29
215,215,29.752,181.500,29
216,216,29.147,185.268,29
217,217,32.688,165.198,29
218,218,46.562,115.974,28
219,219,58.04,93.039,28
220,220,85.589,63.092,28
221,221,93.862,57.531,28
222,222,95.613,56.478,28
223,223,73.046,73.926,28
224,224,47.082,114.694,28
225,225,68.032,79.374,26
226,226,32.621,165.538,26
227,227,29.471,183.231,25
228,228,29.914,180.517,26
229,229,35.01,154.242,24
230,230,56.693,95.250,24
231,231,85.229,63.359,25
232,232,96.955,55.696,25
233,233,99.793,54.112,25
234,234,73.668,73.302,24
235,235,32.012,168.687,25
236,236,29.681,181.935,23
237,237,33.983,158.903,18
238,238,89.156,60.568,18
239,239,94.739,56.999,18
240,240,96.593,55.905,18
241,241,94.863,56.924,18
242,242,101.129,53.397,18
243,243,99.372,54.341,18
244,244,77.474,69.701,17
245,245,31.905,169.252,17
246,246,29.867,180.802,17
247,247,34.15,158.126,16
248,248,83.665,64.543,16
249,249,96.359,56.040,16
250,250,95.725,56.412,16
251,251,99.43,54.310,16
252,252,79.166,68.211,16
253,253,31.632,170.713,16
254,254,47.963,112.587,15
255,255,85.828,62.917,15
256,256,99.152,54.462,15
257,257,81.573,66.198,16
258,258,31.61,170.832,16
259,259,29.649,182.131,12
260,260,30.141,179.158,12
261,261,29.621,182.303,12
262,262,29.573,182.599,12
263,263,29.544,182.778,12
264,264,30.018,179.892,13
265,265,34.244,157.692,12
266,266,86.014,62.780,12
267,267,94.715,57.013,12
268,268,101.49,53.207,12
269,269,87.853,61.466,11
270,270,32.689,165.193,14
271,271,30.001,179.994,15
