,Lap,LapTime,LapSpeed,RunningPos
0,0,,,36
1,1,33.034,163.468,34
2,2,32.058,168.445,34
3,3,31.654,170.595,30
4,4,31.545,171.184,28
5,5,31.485,171.510,27
6,6,31.925,169.146,25
7,7,53.474,100.984,26
8,8,85.622,63.068,26
9,9,106.492,50.708,18
10,10,80.631,66.972,17
11,11,33.687,160.299,13
12,12,31.93,169.120,16
13,13,31.897,169.295,17
14,14,32.024,168.624,17
15,15,31.504,171.407,17
16,16,31.656,170.584,18
17,17,31.849,169.550,19
18,18,32.108,168.182,20
19,19,31.934,169.099,21
20,20,31.898,169.290,19
21,21,32.026,168.613,20
22,22,32.031,168.587,20
23,23,31.984,168.834,20
24,24,32.278,167.297,20
25,25,32.044,168.518,21
26,26,32.183,167.790,21
27,27,32.181,167.801,21
28,28,31.98,168.856,21
29,29,32.284,167.266,21
30,30,32.075,168.355,21
31,31,32.175,167.832,20
32,32,31.95,169.014,20
33,33,31.869,169.444,20
34,34,31.95,169.014,20
35,35,32.293,167.219,17
36,36,43.765,123.386,21
37,37,58.377,92.502,28
38,38,31.018,174.092,27
39,39,31.022,174.070,26
40,40,31.008,174.149,25
41,41,31.152,173.344,23
42,42,31.437,171.772,22
43,43,31.224,172.944,21
44,44,31.271,172.684,20
45,45,31.327,172.375,18
46,46,31.406,171.942,17
47,47,31.389,172.035,16
48,48,31.399,171.980,16
49,49,31.63,170.724,16
50,50,31.593,170.924,16
51,51,31.582,170.983,16
52,52,31.653,170.600,16
53,53,31.746,170.100,15
54,54,31.721,170.234,15
55,55,31.789,169.870,15
56,56,31.693,170.385,15
57,57,31.889,169.337,15
58,58,32.261,167.385,15
59,59,32.102,168.214,14
60,60,31.964,168.940,15
61,61,32.348,166.935,14
62,62,32.079,168.334,14
63,63,32.264,167.369,14
64,64,32.265,167.364,14
65,65,32.224,167.577,14
66,66,32.607,165.609,15
67,67,32.637,165.456,14
68,68,32.594,165.675,14
69,69,32.284,167.266,14
70,70,32.576,165.766,15
71,71,32.646,165.411,15
72,72,32.658,165.350,15
73,73,32.507,166.118,15
74,74,32.458,166.369,15
75,75,32.46,166.359,15
76,76,32.45,166.410,15
77,77,32.726,165.006,15
78,78,32.459,166.364,15
79,79,32.411,166.610,15
80,80,32.763,164.820,14
81,81,49.693,108.667,14
82,82,82.517,65.441,14
83,83,102.155,52.861,14
84,84,90.008,59.995,9
85,85,106.516,50.697,13
86,86,98.0,55.102,13
87,87,104.837,51.509,13
88,88,88.154,61.256,14
89,89,33.11,163.093,12
90,90,30.752,175.598,12
91,91,30.905,174.729,12
92,92,31.128,173.477,12
93,93,30.993,174.233,12
94,94,31.451,171.696,12
95,95,31.658,170.573,11
96,96,31.41,171.920,10
97,97,31.278,172.645,10
98,98,31.423,171.849,10
99,99,31.37,172.139,10
100,100,31.522,171.309,10
101,101,31.587,170.956,10
102,102,31.606,170.854,10
103,103,31.822,169.694,10
104,104,31.706,170.315,10
105,105,31.699,170.352,10
106,106,31.601,170.881,10
107,107,31.772,169.961,10
108,108,31.846,169.566,10
109,109,31.818,169.715,10
110,110,31.809,169.763,10
111,111,31.863,169.476,10
112,112,31.941,169.062,9
113,113,31.957,168.977,9
114,114,31.828,169.662,9
115,115,31.873,169.422,9
116,116,31.975,168.882,9
117,117,31.951,169.009,9
118,118,31.915,169.199,9
119,119,32.112,168.161,9
120,120,32.146,167.984,9
121,121,32.194,167.733,9
122,122,32.18,167.806,8
123,123,32.124,168.099,8
124,124,32.124,168.099,7
125,125,32.053,168.471,5
126,126,43.961,122.836,7
127,127,57.911,93.247,11
128,128,30.991,174.244,10
129,129,31.062,173.846,8
130,130,31.139,173.416,8
131,131,30.987,174.267,7
132,132,31.154,173.332,7
133,133,31.307,172.485,7
134,134,31.59,170.940,7
135,135,31.334,172.337,7
136,136,31.535,171.238,7
137,137,31.59,170.940,7
138,138,31.517,171.336,7
139,139,31.607,170.848,7
140,140,31.56,171.103,7
141,141,31.546,171.179,7
142,142,31.805,169.785,7
143,143,31.526,171.287,7
144,144,31.677,170.471,7
145,145,31.756,170.047,7
146,146,31.753,170.063,7
147,147,31.972,168.898,7
148,148,31.869,169.444,7
149,149,31.787,169.881,7
150,150,31.814,169.737,7
151,151,31.72,170.240,7
152,152,31.951,169.009,7
153,153,32.076,168.350,7
154,154,32.068,168.392,7
155,155,31.932,169.109,7
156,156,31.947,169.030,7
157,157,31.901,169.274,7
158,158,31.835,169.625,7
159,159,31.943,169.051,7
160,160,31.958,168.972,7
161,161,31.911,169.221,7
162,162,32.173,167.843,7
163,163,32.378,166.780,7
164,164,32.461,166.353,7
165,165,32.731,164.981,6
166,166,48.05,112.383,7
167,167,88.757,60.840,6
168,168,102.529,52.668,6
169,169,98.052,55.073,5
170,170,107.357,50.299,5
171,171,101.065,53.431,5
172,172,104.855,51.500,4
173,173,104.338,51.755,4
174,174,32.468,166.318,3
175,175,30.439,177.404,3
176,176,30.575,176.615,3
177,177,30.84,175.097,2
178,178,31.294,172.557,3
179,179,31.274,172.667,2
180,180,30.91,174.701,2
181,181,31.013,174.121,2
182,182,31.017,174.098,2
183,183,31.041,173.963,2
184,184,31.033,174.008,2
185,185,31.112,173.566,2
186,186,31.189,173.138,2
187,187,31.206,173.044,2
188,188,31.255,172.772,2
189,189,31.296,172.546,2
190,190,31.219,172.972,2
191,191,31.268,172.701,2
192,192,31.276,172.656,2
193,193,31.392,172.018,2
194,194,31.533,171.249,2
