,Lap,LapTime,LapSpeed,RunningPos
0,0,,,5
1,1,32.773,164.770,4
2,2,30.698,175.907,4
3,3,31.124,173.500,5
4,4,31.244,172.833,5
5,5,31.173,173.227,5
6,6,31.071,173.796,5
7,7,44.348,121.764,5
8,8,90.132,59.912,6
9,9,103.596,52.126,5
10,10,93.333,57.857,5
11,11,33.618,160.628,7
12,12,31.392,172.018,7
13,13,31.194,173.110,7
14,14,31.402,171.964,7
15,15,31.326,172.381,7
16,16,31.476,171.559,7
17,17,31.814,169.737,8
18,18,31.542,171.200,8
19,19,31.522,171.309,8
20,20,31.524,171.298,8
21,21,31.6,170.886,8
22,22,31.61,170.832,8
23,23,31.72,170.240,8
24,24,31.834,169.630,9
25,25,32.04,168.539,9
26,26,32.018,168.655,9
27,27,32.081,168.324,9
28,28,32.684,165.218,11
29,29,32.351,166.919,11
30,30,32.571,165.792,11
31,31,32.501,166.149,12
32,32,32.317,167.095,11
33,33,32.131,168.062,11
34,34,32.105,168.198,11
35,35,32.048,168.497,10
36,36,57.04,94.670,26
37,37,45.368,119.027,24
38,38,31.204,173.055,23
39,39,31.196,173.099,22
40,40,31.299,172.529,21
41,41,31.421,171.860,18
42,42,31.467,171.608,17
43,43,31.544,171.189,16
44,44,31.574,171.027,15
45,45,31.493,171.467,13
46,46,31.467,171.608,12
47,47,31.744,170.111,12
48,48,31.533,171.249,12
49,49,31.497,171.445,12
50,50,31.54,171.211,12
51,51,31.567,171.065,12
52,52,31.491,171.478,12
53,53,31.624,170.756,12
54,54,31.767,169.988,12
55,55,31.662,170.551,12
56,56,31.783,169.902,12
57,57,31.904,169.258,12
58,58,31.932,169.109,11
59,59,32.051,168.481,10
60,60,31.924,169.152,10
61,61,31.859,169.497,10
62,62,31.867,169.454,10
63,63,31.905,169.252,10
64,64,31.854,169.523,10
65,65,31.956,168.982,10
66,66,31.855,169.518,9
67,67,31.832,169.641,9
68,68,32.042,168.529,9
69,69,32.225,167.572,9
70,70,32.195,167.728,9
71,71,32.267,167.354,9
72,72,32.228,167.556,9
73,73,32.34,166.976,9
74,74,32.359,166.878,9
75,75,32.351,166.919,9
76,76,32.457,166.374,10
77,77,32.471,166.302,10
78,78,32.756,164.855,10
79,79,32.831,164.479,9
80,80,32.842,164.424,9
81,81,50.865,106.163,9
82,82,84.76,63.709,9
83,83,102.049,52.916,9
84,84,104.837,51.509,17
85,85,92.435,58.419,9
86,86,98.697,54.713,9
87,87,103.781,52.033,9
88,88,91.503,59.014,10
89,89,33.464,161.367,15
90,90,31.527,171.282,17
91,91,30.928,174.599,16
92,92,31.204,173.055,16
93,93,31.196,173.099,15
94,94,31.306,172.491,15
95,95,31.506,171.396,15
96,96,31.782,169.907,17
97,97,31.833,169.635,17
98,98,32.07,168.382,17
99,99,32.058,168.445,16
100,100,31.862,169.481,16
101,101,31.614,170.810,16
102,102,31.61,170.832,16
103,103,31.781,169.913,16
104,104,31.833,169.635,16
105,105,31.85,169.545,16
106,106,32.058,168.445,16
107,107,32.292,167.224,16
108,108,31.921,169.168,16
109,109,31.883,169.369,15
110,110,31.85,169.545,15
111,111,31.955,168.988,15
112,112,31.922,169.162,15
113,113,31.857,169.507,15
114,114,31.991,168.797,15
115,115,32.252,167.431,14
116,116,32.148,167.973,14
117,117,32.093,168.261,14
118,118,32.044,168.518,14
119,119,32.24,167.494,14
120,120,32.184,167.785,13
121,121,32.184,167.785,13
122,122,32.357,166.888,12
123,123,32.323,167.064,12
124,124,32.415,166.590,11
125,125,32.414,166.595,7
126,126,57.233,94.351,10
127,127,45.165,119.562,15
128,128,31.132,173.455,15
129,129,31.165,173.271,14
130,130,31.067,173.818,14
131,131,31.101,173.628,14
132,132,31.001,174.188,13
133,133,31.217,172.983,13
134,134,31.164,173.277,13
135,135,31.332,172.348,13
136,136,31.318,172.425,13
137,137,31.331,172.353,13
138,138,31.443,171.739,13
139,139,31.538,171.222,13
140,140,31.513,171.358,13
141,141,31.575,171.021,13
142,142,31.796,169.833,13
143,143,31.861,169.486,13
144,144,31.695,170.374,13
145,145,31.729,170.191,13
146,146,31.787,169.881,13
147,147,31.946,169.035,13
148,148,31.943,169.051,13
149,149,31.974,168.887,13
150,150,32.012,168.687,13
151,151,32.112,168.161,13
152,152,32.06,168.434,13
153,153,32.091,168.271,13
154,154,32.28,167.286,13
155,155,32.28,167.286,13
156,156,32.247,167.457,13
157,157,32.115,168.146,12
158,158,32.421,166.559,12
159,159,32.501,166.149,12
160,160,32.69,165.188,12
161,161,32.367,166.837,12
162,162,32.431,166.507,12
163,163,32.539,165.955,12
164,164,32.615,165.568,12
165,165,32.837,164.449,12
166,166,48.491,111.361,12
167,167,83.671,64.538,12
168,168,102.372,52.749,12
169,169,106.04,50.924,14
