,Lap,LapTime,LapSpeed,RunningPos
0,0,,,33
1,1,51.972,173.170,36
2,2,47.562,189.227,38
3,3,48.186,186.776,41
4,4,51.88,173.477,41
5,5,49.151,183.109,41
6,6,49.173,183.027,41
7,7,49.193,182.953,41
8,8,49.347,182.382,41
9,9,50.814,177.117,41
10,10,113.684,79.167,41
11,11,9999.999,0.900,41
12,12,105.911,84.977,41
13,13,146.432,61.462,41
14,14,132.351,68.001,41
15,15,124.064,72.543,41
16,16,108.417,83.013,37
17,17,132.807,67.768,32
18,18,135.54,66.401,40
19,19,128.602,69.983,38
20,20,205.414,43.814,37
21,21,1459.49,6.167,37
22,22,133.638,67.346,41
23,23,93.593,96.161,40
24,24,48.973,183.775,40
25,25,46.789,192.353,41
26,26,48.133,186.982,41
27,27,47.766,188.419,40
28,28,47.375,189.974,41
29,29,47.128,190.969,41
30,30,47.052,191.278,41
31,31,47.539,189.318,41
32,32,48.067,187.239,41
33,33,47.255,190.456,41
34,34,47.721,188.596,41
35,35,46.639,192.972,41
36,36,48.372,186.058,41
37,37,46.988,191.538,41
38,38,46.036,195.499,39
39,39,49.043,183.512,41
40,40,46.027,195.537,35
41,41,49.147,183.124,41
42,42,47.469,189.597,41
43,43,48.625,185.090,40
44,44,47.346,190.090,40
45,45,47.059,191.249,40
46,46,46.936,191.750,38
47,47,46.66,192.885,38
48,48,46.169,194.936,38
49,49,47.189,190.722,38
50,50,46.507,193.519,38
51,51,46.87,192.020,40
52,52,46.854,192.086,40
53,53,47.351,190.070,40
54,54,47.347,190.086,40
55,55,46.964,191.636,40
56,56,47.24,190.517,40
57,57,48.267,186.463,40
58,58,48.578,185.269,40
59,59,48.63,185.071,40
60,60,48.606,185.162,40
61,61,48.664,184.942,40
62,62,49.105,183.281,40
63,63,74.929,120.114,39
64,64,102.932,87.436,39
65,65,130.18,69.135,38
66,66,130.733,68.843,38
67,67,117.147,76.827,24
68,68,143.599,62.675,33
69,69,136.513,65.928,37
70,70,99.827,90.156,38
71,71,87.921,102.365,30
72,72,117.783,76.412,30
73,73,129.448,69.526,31
74,74,120.224,74.860,16
75,75,143.872,62.556,30
76,76,108.121,83.240,29
77,77,50.842,177.019,32
78,78,48.044,187.328,30
79,79,47.531,189.350,30
80,80,47.852,188.080,30
81,81,48.12,187.032,30
82,82,48.331,186.216,30
83,83,85.232,105.594,30
84,84,121.855,73.858,10
85,85,142.381,63.211,25
86,86,115.874,77.671,30
87,87,50.764,177.291,34
88,88,47.568,189.203,34
89,89,47.579,189.159,34
90,90,47.7,188.679,34
91,91,47.677,188.770,34
92,92,47.599,189.080,34
93,93,47.368,190.002,34
94,94,46.948,191.701,33
95,95,47.518,189.402,33
96,96,47.365,190.014,33
97,97,47.223,190.585,33
98,98,47.648,188.885,33
99,99,47.119,191.006,33
100,100,47.323,190.182,33
101,101,47.271,190.392,33
102,102,47.032,191.359,33
103,103,47.433,189.741,33
104,104,47.849,188.092,33
105,105,47.804,188.269,33
106,106,47.618,189.004,33
107,107,47.689,188.723,33
108,108,47.306,190.251,33
109,109,47.415,189.813,34
110,110,46.492,193.582,32
111,111,46.038,195.491,28
112,112,47.291,190.311,30
113,113,47.003,191.477,30
114,114,46.917,191.828,31
115,115,46.924,191.800,30
116,116,47.275,190.375,29
117,117,46.586,193.191,29
118,118,46.511,193.503,29
119,119,45.55,197.585,23
120,120,48.821,184.347,31
121,121,47.021,191.404,31
122,122,46.108,195.194,31
123,123,47.576,189.171,31
124,124,46.095,195.249,29
125,125,47.201,190.674,29
126,126,46.249,194.599,28
127,127,46.072,195.346,28
128,128,46.039,195.486,27
129,129,46.807,192.279,27
130,130,47.725,188.580,27
131,131,84.358,106.688,27
132,132,122.361,73.553,27
133,133,116.459,77.280,1
134,134,151.405,59.443,33
135,135,121.594,74.017,31
136,136,140.586,64.018,34
137,137,103.714,86.777,34
138,138,50.251,179.101,34
139,139,48.047,187.317,34
140,140,47.927,187.786,34
141,141,47.609,189.040,34
142,142,47.805,188.265,34
143,143,47.714,188.624,34
144,144,48.24,186.567,34
145,145,47.58,189.155,34
146,146,47.507,189.446,32
147,147,48.321,186.254,30
148,148,47.99,187.539,30
149,149,47.903,187.880,30
150,150,48.218,186.652,30
151,151,47.962,187.649,30
152,152,48.347,186.154,30
153,153,48.192,186.753,30
154,154,47.771,188.399,30
155,155,48.119,187.036,30
156,156,48.261,186.486,30
157,157,48.449,185.762,30
158,158,48.094,187.134,30
159,159,48.293,186.362,30
160,160,47.931,187.770,34
161,161,48.235,186.587,34
162,162,67.679,132.981,34
163,163,123.878,72.652,14
164,164,146.097,61.603,30
165,165,121.061,74.343,29
166,166,50.65,177.690,33
167,167,46.545,193.361,32
168,168,47.027,191.379,33
169,169,45.45,198.020,30
170,170,47.567,189.207,33
171,171,45.524,197.698,32
172,172,47.142,190.913,33
173,173,46.794,192.332,33
174,174,45.611,197.321,29
175,175,47.222,190.589,31
176,176,46.392,193.999,31
177,177,46.29,194.426,31
178,178,46.824,192.209,33
179,179,45.334,198.526,24
180,180,47.962,187.649,32
181,181,46.743,192.542,31
182,182,46.438,193.807,31
183,183,47.051,191.282,31
184,184,47.47,189.593,31
185,185,47.651,188.873,31
186,186,81.452,110.495,28
187,187,110.951,81.117,26
188,188,123.44,72.910,25
189,189,125.292,71.832,23
190,190,130.81,68.802,22
191,191,133.428,67.452,22
192,192,111.375,80.808,23
193,193,53.976,166.741,28
194,194,47.684,188.743,28
195,195,47.48,189.553,28
196,196,69.373,129.733,23
