,Lap,LapTime,LapSpeed,RunningPos
0,0,,,12
1,1,51.819,173.681,12
2,2,47.89,187.931,12
3,3,48.019,187.426,12
4,4,48.112,187.064,13
5,5,48.281,186.409,15
6,6,48.056,187.282,13
7,7,47.759,188.446,13
8,8,47.513,189.422,7
9,9,48.093,187.137,7
10,10,110.455,81.481,6
11,11,9999.999,0.900,26
12,12,197.202,45.638,8
13,13,160.524,56.066,8
14,14,128.895,69.824,8
15,15,128.787,69.883,8
16,16,131.848,68.260,21
17,17,131.369,68.509,22
18,18,127.677,70.490,17
19,19,127.122,70.798,15
20,20,142.96,62.955,15
21,21,1516.306,5.935,15
22,22,124.875,72.072,12
23,23,120.899,74.442,9
24,24,51.555,174.571,9
25,25,47.916,187.829,8
26,26,47.79,188.324,9
27,27,47.547,189.286,9
28,28,47.19,190.718,6
29,29,47.067,191.217,5
30,30,47.121,190.998,6
31,31,47.584,189.139,3
32,32,47.182,190.751,1
33,33,47.395,189.893,1
34,34,47.322,190.186,1
35,35,47.563,189.223,2
36,36,47.446,189.689,2
37,37,47.231,190.553,2
38,38,47.501,189.470,2
39,39,47.645,188.897,6
40,40,47.473,189.581,5
41,41,47.472,189.585,5
42,42,47.842,188.119,10
43,43,47.307,190.247,9
44,44,47.477,189.565,11
45,45,47.654,188.861,13
46,46,47.403,189.861,21
47,47,46.743,192.542,20
48,48,47.024,191.392,22
49,49,46.319,194.305,12
50,50,46.79,192.349,8
51,51,46.728,192.604,6
52,52,46.876,191.996,10
53,53,46.754,192.497,11
54,54,46.582,193.208,12
55,55,46.564,193.282,14
56,56,46.455,193.736,14
57,57,46.465,193.694,18
58,58,47.549,189.278,29
59,59,46.38,194.049,31
60,60,46.982,191.563,30
61,61,46.56,193.299,31
62,62,46.206,194.780,30
63,63,72.935,123.398,29
64,64,116.553,77.218,29
65,65,129.981,69.241,28
66,66,132.527,67.911,28
67,67,142.017,63.373,34
68,68,118.946,75.665,30
69,69,123.416,72.924,24
70,70,113.822,79.071,22
71,71,80.821,111.357,19
72,72,120.997,74.382,19
73,73,129.625,69.431,20
74,74,134.489,66.920,29
75,75,125.934,71.466,19
76,76,116.741,77.094,19
77,77,51.299,175.442,24
78,78,48.019,187.426,21
79,79,47.637,188.929,21
80,80,47.776,188.379,19
81,81,48.025,187.402,18
82,82,48.342,186.174,18
83,83,82.882,108.588,19
84,84,135.657,66.344,30
85,85,131.717,68.328,24
86,86,114.788,78.405,22
87,87,51.219,175.716,20
88,88,47.64,188.917,21
89,89,47.473,189.581,22
90,90,47.524,189.378,22
91,91,47.881,187.966,23
92,92,47.361,190.030,19
93,93,47.252,190.468,20
94,94,47.384,189.938,22
95,95,47.215,190.617,18
96,96,47.231,190.553,15
97,97,47.326,190.170,14
98,98,47.202,190.670,10
99,99,47.318,190.202,10
100,100,47.376,189.970,12
101,101,47.17,190.799,11
102,102,47.046,191.302,10
103,103,47.514,189.418,10
104,104,47.747,188.494,9
105,105,47.753,188.470,9
106,106,47.853,188.076,11
