,Lap,LapTime,LapSpeed,RunningPos
0,0,,,29
1,1,51.845,173.594,27
2,2,47.383,189.942,26
3,3,47.889,187.935,26
4,4,48.151,186.912,26
5,5,48.205,186.703,26
6,6,47.91,187.852,28
7,7,47.745,188.501,28
8,8,47.723,188.588,28
9,9,48.489,185.609,29
10,10,120.802,74.502,28
11,11,150.018,59.993,16
12,12,9999.999,0.900,28
13,13,163.097,55.182,28
14,14,130.173,69.139,28
15,15,122.803,73.288,28
16,16,116.333,77.364,23
17,17,141.009,63.826,35
18,18,125.382,71.781,29
19,19,126.637,71.069,27
20,20,169.051,53.238,27
21,21,1494.456,6.022,27
22,22,123.559,72.840,25
23,23,111.305,80.859,20
24,24,51.127,176.032,21
25,25,47.8,188.285,23
26,26,47.928,187.782,24
27,27,47.482,189.546,24
28,28,47.323,190.182,22
29,29,46.892,191.930,15
30,30,47.14,190.921,18
31,31,47.638,188.925,18
32,32,47.437,189.725,21
33,33,47.469,189.597,21
34,34,47.386,189.930,25
35,35,47.308,190.243,23
36,36,47.475,189.573,20
37,37,47.316,190.210,22
38,38,47.433,189.741,24
39,39,47.643,188.905,29
40,40,47.616,189.012,29
41,41,47.352,190.066,25
42,42,48.477,185.655,31
43,43,46.605,193.112,26
44,44,47.306,190.251,25
45,45,47.589,189.119,26
46,46,47.069,191.209,22
47,47,46.801,192.304,24
48,48,47.324,190.178,28
49,49,46.561,193.295,31
50,50,46.956,191.669,31
51,51,47.15,190.880,31
52,52,46.545,193.361,27
53,53,46.763,192.460,26
54,54,46.334,194.242,26
55,55,46.494,193.573,25
56,56,46.406,193.940,23
57,57,46.138,195.067,23
58,58,46.542,193.374,24
59,59,46.83,192.184,27
60,60,46.603,193.121,29
61,61,46.929,191.779,28
62,62,46.411,193.920,28
63,63,70.29,128.041,27
64,64,118.228,76.124,26
65,65,430.79,20.892,39
66,66,100.298,89.733,39
67,67,127.909,70.363,39
68,68,103.912,86.612,39
69,69,87.924,102.361,39
70,70,107.62,83.628,39
71,71,96.107,93.646,37
72,72,63.291,142.200,36
73,73,103.271,87.149,35
74,74,137.749,65.336,34
75,75,112.367,80.095,34
76,76,50.97,176.574,34
77,77,48.347,186.154,34
78,78,47.961,187.652,34
79,79,2153.923,4.178,36
80,80,71.945,125.096,36
81,81,49.847,180.552,36
82,82,50.037,179.867,36
83,83,50.205,179.265,36
84,84,50.19,179.319,36
85,85,50.247,179.115,36
86,86,50.345,178.767,36
87,87,50.264,179.055,36
88,88,50.27,179.033,36
89,89,50.279,179.001,36
90,90,53.389,168.574,36
91,91,57.324,157.002,36
92,92,110.689,81.309,36
93,93,118.928,75.676,36
94,94,124.124,72.508,36
95,95,184.155,48.872,36
96,96,90.728,99.198,36
97,97,110.862,81.182,36
98,98,50.126,179.548,36
99,99,47.991,187.535,36
100,100,47.753,188.470,36
101,101,48.159,186.881,36
102,102,47.839,188.131,36
103,103,48.539,185.418,36
104,104,50.206,179.261,36
105,105,51.258,175.582,36
