,Lap,LapTime,LapSpeed,RunningPos
0,0,,,21
1,1,51.689,174.118,22
2,2,47.804,188.269,22
3,3,47.789,188.328,21
4,4,48.144,186.939,22
5,5,48.3,186.335,22
6,6,47.742,188.513,18
7,7,47.755,188.462,19
8,8,47.514,189.418,13
9,9,48.172,186.831,13
10,10,114.504,78.600,14
11,11,141.901,63.425,6
12,12,9999.999,0.900,14
13,13,161.793,55.627,14
14,14,127.545,70.563,14
15,15,127.905,70.365,14
16,16,120.216,74.865,8
17,17,135.25,66.543,19
18,18,126.959,70.889,14
19,19,129.163,69.679,12
20,20,140.34,64.130,12
21,21,1518.01,5.929,12
22,22,125.847,71.515,10
23,23,122.405,73.526,8
24,24,51.625,174.334,7
25,25,47.949,187.699,7
26,26,47.792,188.316,4
27,27,47.541,189.310,6
28,28,47.196,190.694,4
29,29,47.065,191.225,4
30,30,47.108,191.050,3
31,31,47.85,188.088,7
32,32,47.397,189.885,8
33,33,47.353,190.062,6
34,34,47.203,190.666,4
35,35,47.42,189.793,3
36,36,47.482,189.546,3
37,37,47.279,190.359,4
38,38,47.459,189.637,5
39,39,47.452,189.665,4
40,40,47.46,189.633,3
41,41,47.475,189.573,3
42,42,47.495,189.494,2
43,43,47.586,189.131,3
44,44,47.577,189.167,10
45,45,47.539,189.318,8
46,46,46.959,191.657,6
47,47,46.599,193.137,4
48,48,46.653,192.914,4
49,49,46.739,192.559,4
50,50,47.129,190.965,4
51,51,46.889,191.943,4
52,52,47.006,191.465,8
53,53,46.753,192.501,9
54,54,46.564,193.282,10
55,55,46.579,193.220,12
56,56,46.441,193.794,12
57,57,46.437,193.811,15
58,58,46.773,192.419,21
59,59,46.81,192.267,25
60,60,46.435,193.819,22
61,61,46.674,192.827,19
62,62,46.577,193.228,22
63,63,63.955,140.724,20
64,64,121.517,74.064,20
65,65,130.371,69.034,20
66,66,129.92,69.273,20
67,67,124.267,72.425,15
68,68,139.883,64.339,26
69,69,124.067,72.541,19
70,70,118.395,76.017,35
71,71,116.26,77.413,34
72,72,122.177,73.664,34
73,73,96.844,92.933,29
74,74,162.993,55.217,33
75,75,96.153,93.601,29
76,76,115.301,78.057,32
77,77,48.914,183.996,27
78,78,47.917,187.825,27
79,79,47.483,189.542,24
80,80,47.931,187.770,24
81,81,48.06,187.266,24
82,82,48.383,186.016,26
83,83,85.03,105.845,26
84,84,126.231,71.298,18
85,85,141.731,63.501,31
86,86,114.128,78.859,33
87,87,49.23,182.815,31
88,88,47.441,189.709,28
89,89,47.438,189.721,27
90,90,47.509,189.438,26
91,91,47.768,188.411,24
92,92,47.576,189.171,27
93,93,47.244,190.500,28
94,94,47.232,190.549,26
95,95,47.358,190.042,27
96,96,47.435,189.733,28
97,97,47.388,189.921,29
98,98,47.172,190.791,24
99,99,47.256,190.452,25
100,100,47.415,189.813,26
101,101,47.191,190.714,26
102,102,46.988,191.538,25
103,103,47.537,189.326,26
104,104,47.781,188.359,25
105,105,47.708,188.648,25
106,106,47.897,187.903,26
107,107,47.597,189.088,28
108,108,47.365,190.014,28
109,109,47.053,191.274,25
110,110,46.529,193.428,20
111,111,46.683,192.790,20
112,112,46.902,191.889,19
113,113,47.087,191.136,26
114,114,46.593,193.162,24
115,115,46.609,193.096,21
116,116,46.923,191.804,21
117,117,46.564,193.282,18
118,118,46.645,192.947,14
119,119,46.872,192.012,8
120,120,46.836,192.160,7
121,121,46.899,191.902,7
122,122,46.911,191.853,7
123,123,47.045,191.306,14
124,124,46.382,194.041,13
125,125,46.429,193.844,13
126,126,46.287,194.439,13
127,127,46.556,193.316,12
128,128,46.47,193.673,13
129,129,46.293,194.414,12
130,130,46.046,195.457,10
131,131,79.359,113.409,9
132,132,122.94,73.206,10
133,133,127.661,70.499,9
134,134,127.571,70.549,4
135,135,128.239,70.181,4
136,136,129.846,69.313,4
137,137,125.775,71.556,2
138,138,51.92,173.344,2
139,139,47.872,188.001,5
140,140,47.663,188.826,5
141,141,47.734,188.545,4
142,142,47.72,188.600,3
143,143,47.602,189.068,3
144,144,47.783,188.352,3
145,145,47.854,188.072,6
146,146,47.889,187.935,4
147,147,48.022,187.414,5
148,148,48.188,186.768,9
149,149,47.736,188.537,5
150,150,48.117,187.044,5
151,151,48.325,186.239,7
152,152,48.221,186.641,6
153,153,48.028,187.391,6
154,154,48.053,187.293,8
155,155,47.892,187.923,5
156,156,48.341,186.177,7
157,157,48.314,186.281,6
158,158,48.331,186.216,10
159,159,48.09,187.149,4
160,160,48.407,185.924,6
161,161,48.412,185.904,6
162,162,62.422,144.180,6
163,163,126.248,71.288,5
164,164,134.558,66.886,7
165,165,134.661,66.834,5
166,166,51.098,176.132,6
167,167,46.564,193.282,3
168,168,46.511,193.503,3
169,169,46.474,193.657,3
170,170,46.42,193.882,3
171,171,46.452,193.748,3
172,172,46.417,193.894,3
173,173,46.613,193.079,3
174,174,46.609,193.096,3
175,175,46.533,193.411,3
176,176,46.5,193.548,3
177,177,46.386,194.024,3
178,178,46.314,194.326,3
179,179,46.489,193.594,3
180,180,46.511,193.503,3
181,181,46.592,193.166,3
182,182,46.222,194.712,3
183,183,46.613,193.079,3
184,184,46.478,193.640,3
185,185,46.471,193.669,5
186,186,619.625,14.525,33
